period,change_date,change,file,company
Q2-07,2006-03-09,7.59,05-31-2007,ABN Amro
Q2-07,2006-06-07,7.61,05-31-2007,ABN Amro
Q2-07,2006-07-14,7.63,05-31-2007,ABN Amro
Q2-07,2006-09-08,7.75,05-31-2007,ABN Amro
Q2-07,2006-09-20,7.75,05-31-2007,ABN Amro
Q2-07,2006-10-16,7.71,05-31-2007,ABN Amro
Q2-07,2006-11-14,7.65,05-31-2007,ABN Amro
Q2-07,2006-12-18,7.61,05-31-2007,ABN Amro
Q2-07,2007-01-22,7.61,05-31-2007,ABN Amro
Q2-07,2007-02-13,7.61,05-31-2007,ABN Amro
Q2-07,2007-03-16,7.61,05-31-2007,ABN Amro
Q2-07,2007-04-10,7.61,05-31-2007,ABN Amro
Q2-07,2007-04-13,7.61,05-31-2007,ABN Amro
Q2-07,2007-05-15,7.64,05-31-2007,ABN Amro
Q3-07,2006-03-09,7.53,05-31-2007,ABN Amro
Q3-07,2006-09-08,7.69,05-31-2007,ABN Amro
Q3-07,2006-09-20,7.69,05-31-2007,ABN Amro
Q3-07,2006-10-16,7.64,05-31-2007,ABN Amro
Q3-07,2006-11-14,7.56,05-31-2007,ABN Amro
Q3-07,2006-12-18,7.52,05-31-2007,ABN Amro
Q3-07,2007-01-22,7.52,05-31-2007,ABN Amro
Q3-07,2007-02-13,7.52,05-31-2007,ABN Amro
Q3-07,2007-03-16,7.52,05-31-2007,ABN Amro
Q3-07,2007-04-10,7.52,05-31-2007,ABN Amro
Q3-07,2007-04-13,7.52,05-31-2007,ABN Amro
Q3-07,2007-05-15,7.55,05-31-2007,ABN Amro
Q4-07,2006-03-09,7.47,05-31-2007,ABN Amro
Q4-07,2006-04-11,7.49,05-31-2007,ABN Amro
Q4-07,2006-05-05,7.49,05-31-2007,ABN Amro
Q4-07,2006-05-16,7.49,05-31-2007,ABN Amro
Q4-07,2006-06-07,7.49,05-31-2007,ABN Amro
Q4-07,2006-07-14,7.51,05-31-2007,ABN Amro
Q4-07,2006-09-08,7.63,05-31-2007,ABN Amro
Q4-07,2006-09-20,7.63,05-31-2007,ABN Amro
Q4-07,2006-10-16,7.55,05-31-2007,ABN Amro
Q4-07,2006-11-14,7.5,05-31-2007,ABN Amro
Q4-07,2006-12-18,7.4,05-31-2007,ABN Amro
Q4-07,2007-01-22,7.4,05-31-2007,ABN Amro
Q4-07,2007-02-13,7.4,05-31-2007,ABN Amro
Q4-07,2007-03-16,7.4,05-31-2007,ABN Amro
Q4-07,2007-04-10,7.4,05-31-2007,ABN Amro
Q4-07,2007-04-13,7.4,05-31-2007,ABN Amro
Q4-07,2007-05-15,7.4,05-31-2007,ABN Amro
Q1-08,2007-03-16,7.31,05-31-2007,ABN Amro
Q1-08,2007-04-10,7.31,05-31-2007,ABN Amro
Q1-08,2007-04-13,7.31,05-31-2007,ABN Amro
Q1-08,2007-05-15,7.31,05-31-2007,ABN Amro
2008,2006-11-14,7.25,05-31-2007,ABN Amro
2008,2006-12-18,7.1,05-31-2007,ABN Amro
2008,2007-01-22,7.1,05-31-2007,ABN Amro
2008,2007-02-13,7.1,05-31-2007,ABN Amro
2008,2007-03-16,7.1,05-31-2007,ABN Amro
2008,2007-04-10,7.1,05-31-2007,ABN Amro
2008,2007-04-13,7.1,05-31-2007,ABN Amro
2008,2007-05-15,7.1,05-31-2007,ABN Amro
Q3-20,2019-09-05,7.5,08-31-2020,ABN Amro
Q3-20,2019-10-14,7.5,08-31-2020,ABN Amro
Q3-20,2019-12-02,7.15,08-31-2020,ABN Amro
Q3-20,2020-01-07,7.15,08-31-2020,ABN Amro
Q3-20,2020-01-14,7.15,08-31-2020,ABN Amro
Q3-20,2020-02-05,7.0,08-31-2020,ABN Amro
Q3-20,2020-02-21,7.0,08-31-2020,ABN Amro
Q3-20,2020-03-09,7.0,08-31-2020,ABN Amro
Q3-20,2020-03-24,7.15,08-31-2020,ABN Amro
Q3-20,2020-04-06,7.1,08-31-2020,ABN Amro
Q3-20,2020-04-17,7.15,08-31-2020,ABN Amro
