period,change_date,change,file,company
Q2-16,2015-07-06,6.2,05-31-2016,AFEX
Q2-16,2015-08-06,6.2,05-31-2016,AFEX
Q1-16,2015-07-06,6.23,02-28-2016,AFEX
Q1-16,2015-08-06,6.23,02-28-2016,AFEX
Q2-16,2015-07-06,6.2,02-28-2016,AFEX
Q2-16,2015-08-06,6.2,02-28-2016,AFEX
Q3-15,2015-07-06,6.22,08-31-2015,AFEX
Q3-15,2015-08-06,6.22,08-31-2015,AFEX
Q4-15,2015-07-06,6.22,08-31-2015,AFEX
Q4-15,2015-08-06,6.22,08-31-2015,AFEX
Q1-16,2015-07-06,6.23,08-31-2015,AFEX
Q1-16,2015-08-06,6.23,08-31-2015,AFEX
Q2-16,2015-07-06,6.2,08-31-2015,AFEX
Q2-16,2015-08-06,6.2,08-31-2015,AFEX
Q4-15,2015-07-06,6.22,11-30-2015,AFEX
Q4-15,2015-08-06,6.22,11-30-2015,AFEX
Q1-16,2015-07-06,6.23,11-30-2015,AFEX
Q1-16,2015-08-06,6.23,11-30-2015,AFEX
Q2-16,2015-07-06,6.2,11-30-2015,AFEX
Q2-16,2015-08-06,6.2,11-30-2015,AFEX
