period,change_date,change,file,company
Q2-19,2018-11-28,7.05,05-31-2019,Acciones y Valores
Q2-19,2019-01-30,6.85,05-31-2019,Acciones y Valores
Q3-19,2018-11-28,7.0,05-31-2019,Acciones y Valores
Q3-19,2019-01-30,6.75,05-31-2019,Acciones y Valores
Q4-19,2018-11-28,6.95,05-31-2019,Acciones y Valores
Q4-19,2019-01-30,6.7,05-31-2019,Acciones y Valores
Q1-19,2018-11-28,7.03,02-28-2019,Acciones y Valores
Q1-19,2019-01-30,6.8,02-28-2019,Acciones y Valores
Q2-19,2018-11-28,7.05,02-28-2019,Acciones y Valores
Q2-19,2019-01-30,6.85,02-28-2019,Acciones y Valores
Q3-19,2018-11-28,7.0,02-28-2019,Acciones y Valores
Q3-19,2019-01-30,6.75,02-28-2019,Acciones y Valores
Q4-19,2018-11-28,6.95,02-28-2019,Acciones y Valores
Q4-19,2019-01-30,6.7,02-28-2019,Acciones y Valores
Q4-18,2018-11-28,6.97,11-30-2018,Acciones y Valores
Q1-19,2018-11-28,7.03,11-30-2018,Acciones y Valores
Q2-19,2018-11-28,7.05,11-30-2018,Acciones y Valores
Q3-19,2018-11-28,7.0,11-30-2018,Acciones y Valores
2019,2018-11-28,6.95,11-30-2018,Acciones y Valores
Q4-19,2018-11-28,6.95,11-30-2019,Acciones y Valores
Q4-19,2019-01-30,6.7,11-30-2019,Acciones y Valores
Q3-19,2018-11-28,7.0,08-31-2019,Acciones y Valores
Q3-19,2019-01-30,6.75,08-31-2019,Acciones y Valores
Q4-19,2018-11-28,6.95,08-31-2019,Acciones y Valores
Q4-19,2019-01-30,6.7,08-31-2019,Acciones y Valores
