period,change_date,change,file,company
Q4-07,2007-11-29,7.3,11-30-2007,Advanced Currency Markets
Q1-08,2007-11-29,7.1,11-30-2007,Advanced Currency Markets
Q2-08,2007-11-29,7.05,11-30-2007,Advanced Currency Markets
Q3-08,2007-11-29,6.98,11-30-2007,Advanced Currency Markets
2008,2007-11-29,6.8,11-30-2007,Advanced Currency Markets
Q4-08,2007-11-29,6.8,11-30-2008,Advanced Currency Markets
Q4-08,2008-01-04,6.8,11-30-2008,Advanced Currency Markets
Q4-08,2008-02-25,6.8,11-30-2008,Advanced Currency Markets
Q3-08,2007-11-29,6.98,08-31-2008,Advanced Currency Markets
Q3-08,2008-01-04,6.98,08-31-2008,Advanced Currency Markets
Q3-08,2008-02-25,6.98,08-31-2008,Advanced Currency Markets
Q4-08,2007-11-29,6.8,08-31-2008,Advanced Currency Markets
Q4-08,2008-01-04,6.8,08-31-2008,Advanced Currency Markets
Q4-08,2008-02-25,6.8,08-31-2008,Advanced Currency Markets
Q2-08,2007-11-29,7.05,05-31-2008,Advanced Currency Markets
Q2-08,2008-01-04,7.05,05-31-2008,Advanced Currency Markets
Q2-08,2008-02-25,7.05,05-31-2008,Advanced Currency Markets
Q3-08,2007-11-29,6.98,05-31-2008,Advanced Currency Markets
Q3-08,2008-01-04,6.98,05-31-2008,Advanced Currency Markets
Q3-08,2008-02-25,6.98,05-31-2008,Advanced Currency Markets
Q4-08,2007-11-29,6.8,05-31-2008,Advanced Currency Markets
Q4-08,2008-01-04,6.8,05-31-2008,Advanced Currency Markets
Q4-08,2008-02-25,6.8,05-31-2008,Advanced Currency Markets
Q1-08,2007-11-29,7.1,02-28-2008,Advanced Currency Markets
Q1-08,2008-01-04,7.1,02-28-2008,Advanced Currency Markets
Q1-08,2008-02-25,7.1,02-28-2008,Advanced Currency Markets
Q2-08,2007-11-29,7.05,02-28-2008,Advanced Currency Markets
Q2-08,2008-01-04,7.05,02-28-2008,Advanced Currency Markets
Q2-08,2008-02-25,7.05,02-28-2008,Advanced Currency Markets
Q3-08,2007-11-29,6.98,02-28-2008,Advanced Currency Markets
Q3-08,2008-01-04,6.98,02-28-2008,Advanced Currency Markets
Q3-08,2008-02-25,6.98,02-28-2008,Advanced Currency Markets
Q4-08,2007-11-29,6.8,02-28-2008,Advanced Currency Markets
Q4-08,2008-01-04,6.8,02-28-2008,Advanced Currency Markets
Q4-08,2008-02-25,6.8,02-28-2008,Advanced Currency Markets
