period,change_date,change,file,company
Q1-10,2009-03-05,6.7,02-28-2010,Ageas
Q1-10,2009-03-27,6.75,02-28-2010,Ageas
Q1-10,2009-06-04,6.75,02-28-2010,Ageas
Q2-10,2009-06-04,6.7,02-28-2010,Ageas
Q2-10,2009-06-04,6.7,05-31-2010,Ageas
Q4-08,2008-03-14,6.6,11-30-2008,Ageas
Q4-08,2008-04-30,6.65,11-30-2008,Ageas
Q4-08,2008-06-20,6.65,11-30-2008,Ageas
Q4-08,2008-08-22,6.65,11-30-2008,Ageas
Q4-08,2008-11-19,6.83,11-30-2008,Ageas
Q1-09,2008-03-14,6.5,11-30-2008,Ageas
Q1-09,2008-04-30,6.6,11-30-2008,Ageas
Q1-09,2008-06-20,6.6,11-30-2008,Ageas
Q1-09,2008-08-22,6.6,11-30-2008,Ageas
Q1-09,2008-11-19,6.83,11-30-2008,Ageas
Q2-09,2008-06-20,6.55,11-30-2008,Ageas
Q2-09,2008-08-22,6.55,11-30-2008,Ageas
Q2-09,2008-11-19,6.8,11-30-2008,Ageas
Q3-09,2008-11-19,6.75,11-30-2008,Ageas
2009,2008-08-22,6.45,11-30-2008,Ageas
2009,2008-11-19,6.7,11-30-2008,Ageas
Q3-08,2008-03-14,6.7,08-31-2008,Ageas
Q3-08,2008-04-30,6.75,08-31-2008,Ageas
Q3-08,2008-06-20,6.75,08-31-2008,Ageas
Q3-08,2008-08-22,6.75,08-31-2008,Ageas
Q4-08,2008-03-14,6.6,08-31-2008,Ageas
Q4-08,2008-04-30,6.65,08-31-2008,Ageas
Q4-08,2008-06-20,6.65,08-31-2008,Ageas
Q4-08,2008-08-22,6.65,08-31-2008,Ageas
Q1-09,2008-03-14,6.5,08-31-2008,Ageas
Q1-09,2008-04-30,6.6,08-31-2008,Ageas
Q1-09,2008-06-20,6.6,08-31-2008,Ageas
Q1-09,2008-08-22,6.6,08-31-2008,Ageas
Q2-09,2008-06-20,6.55,08-31-2008,Ageas
Q2-09,2008-08-22,6.55,08-31-2008,Ageas
2009,2008-08-22,6.45,08-31-2008,Ageas
Q3-09,2008-11-19,6.75,08-31-2009,Ageas
Q3-09,2008-12-08,6.85,08-31-2009,Ageas
Q3-09,2009-01-14,6.85,08-31-2009,Ageas
Q3-09,2009-02-02,6.85,08-31-2009,Ageas
Q3-09,2009-03-05,6.85,08-31-2009,Ageas
Q3-09,2009-03-27,6.85,08-31-2009,Ageas
Q3-09,2009-06-04,6.85,08-31-2009,Ageas
Q4-09,2008-08-22,6.45,08-31-2009,Ageas
Q4-09,2008-11-19,6.7,08-31-2009,Ageas
Q4-09,2008-12-08,6.8,08-31-2009,Ageas
Q4-09,2009-01-14,6.8,08-31-2009,Ageas
Q4-09,2009-02-02,6.8,08-31-2009,Ageas
Q4-09,2009-03-05,6.8,08-31-2009,Ageas
Q4-09,2009-03-27,6.8,08-31-2009,Ageas
Q4-09,2009-06-04,6.8,08-31-2009,Ageas
Q1-10,2009-03-05,6.7,08-31-2009,Ageas
Q1-10,2009-03-27,6.75,08-31-2009,Ageas
Q1-10,2009-06-04,6.75,08-31-2009,Ageas
Q2-10,2009-06-04,6.7,08-31-2009,Ageas
Q4-09,2008-08-22,6.45,11-30-2009,Ageas
Q4-09,2008-11-19,6.7,11-30-2009,Ageas
Q4-09,2008-12-08,6.8,11-30-2009,Ageas
Q4-09,2009-01-14,6.8,11-30-2009,Ageas
Q4-09,2009-02-02,6.8,11-30-2009,Ageas
Q4-09,2009-03-05,6.8,11-30-2009,Ageas
Q4-09,2009-03-27,6.8,11-30-2009,Ageas
Q4-09,2009-06-04,6.8,11-30-2009,Ageas
Q1-10,2009-03-05,6.7,11-30-2009,Ageas
Q1-10,2009-03-27,6.75,11-30-2009,Ageas
Q1-10,2009-06-04,6.75,11-30-2009,Ageas
Q2-10,2009-06-04,6.7,11-30-2009,Ageas
Q1-09,2008-03-14,6.5,02-28-2009,Ageas
Q1-09,2008-04-30,6.6,02-28-2009,Ageas
Q1-09,2008-06-20,6.6,02-28-2009,Ageas
Q1-09,2008-08-22,6.6,02-28-2009,Ageas
Q1-09,2008-11-19,6.83,02-28-2009,Ageas
Q1-09,2008-12-08,6.85,02-28-2009,Ageas
Q1-09,2009-01-14,6.85,02-28-2009,Ageas
Q1-09,2009-02-02,6.85,02-28-2009,Ageas
Q2-09,2008-06-20,6.55,02-28-2009,Ageas
Q2-09,2008-08-22,6.55,02-28-2009,Ageas
Q2-09,2008-11-19,6.8,02-28-2009,Ageas
Q2-09,2008-12-08,6.9,02-28-2009,Ageas
Q2-09,2009-01-14,6.9,02-28-2009,Ageas
Q2-09,2009-02-02,6.9,02-28-2009,Ageas
Q3-09,2008-11-19,6.75,02-28-2009,Ageas
Q3-09,2008-12-08,6.85,02-28-2009,Ageas
Q3-09,2009-01-14,6.85,02-28-2009,Ageas
Q3-09,2009-02-02,6.85,02-28-2009,Ageas
Q4-09,2008-08-22,6.45,02-28-2009,Ageas
Q4-09,2008-11-19,6.7,02-28-2009,Ageas
Q4-09,2008-12-08,6.8,02-28-2009,Ageas
Q4-09,2009-01-14,6.8,02-28-2009,Ageas
Q4-09,2009-02-02,6.8,02-28-2009,Ageas
Q2-09,2008-06-20,6.55,05-31-2009,Ageas
Q2-09,2008-08-22,6.55,05-31-2009,Ageas
Q2-09,2008-11-19,6.8,05-31-2009,Ageas
Q2-09,2008-12-08,6.9,05-31-2009,Ageas
Q2-09,2009-01-14,6.9,05-31-2009,Ageas
Q2-09,2009-02-02,6.9,05-31-2009,Ageas
Q2-09,2009-03-05,6.85,05-31-2009,Ageas
Q2-09,2009-03-27,6.85,05-31-2009,Ageas
Q3-09,2008-11-19,6.75,05-31-2009,Ageas
Q3-09,2008-12-08,6.85,05-31-2009,Ageas
Q3-09,2009-01-14,6.85,05-31-2009,Ageas
Q3-09,2009-02-02,6.85,05-31-2009,Ageas
Q3-09,2009-03-05,6.85,05-31-2009,Ageas
Q3-09,2009-03-27,6.85,05-31-2009,Ageas
Q4-09,2008-08-22,6.45,05-31-2009,Ageas
Q4-09,2008-11-19,6.7,05-31-2009,Ageas
Q4-09,2008-12-08,6.8,05-31-2009,Ageas
Q4-09,2009-01-14,6.8,05-31-2009,Ageas
Q4-09,2009-02-02,6.8,05-31-2009,Ageas
Q4-09,2009-03-05,6.8,05-31-2009,Ageas
Q4-09,2009-03-27,6.8,05-31-2009,Ageas
Q1-10,2009-03-05,6.7,05-31-2009,Ageas
Q1-10,2009-03-27,6.75,05-31-2009,Ageas
Q2-08,2008-03-14,6.85,05-31-2008,Ageas
Q2-08,2008-04-30,6.85,05-31-2008,Ageas
Q3-08,2008-03-14,6.7,05-31-2008,Ageas
Q3-08,2008-04-30,6.75,05-31-2008,Ageas
Q4-08,2008-03-14,6.6,05-31-2008,Ageas
Q4-08,2008-04-30,6.65,05-31-2008,Ageas
Q1-09,2008-03-14,6.5,05-31-2008,Ageas
Q1-09,2008-04-30,6.6,05-31-2008,Ageas
