period,change_date,change,file,company
Q4-16,2014-09-23,5.9,08-31-2016,Ausbil Investment Management Limited
Q4-16,2014-11-06,5.9,08-31-2016,Ausbil Investment Management Limited
2017,2014-09-23,5.8,08-31-2016,Ausbil Investment Management Limited
2017,2014-11-06,5.8,08-31-2016,Ausbil Investment Management Limited
2018,2014-09-23,5.7,08-31-2016,Ausbil Investment Management Limited
2018,2014-11-06,5.7,08-31-2016,Ausbil Investment Management Limited
2019,2014-09-23,5.6,08-31-2016,Ausbil Investment Management Limited
2019,2014-11-06,5.6,08-31-2016,Ausbil Investment Management Limited
Q4-16,2014-06-30,5.9,05-31-2016,Ausbil Investment Management Limited
Q4-16,2014-08-04,5.9,05-31-2016,Ausbil Investment Management Limited
Q4-16,2014-09-23,5.9,05-31-2016,Ausbil Investment Management Limited
Q4-16,2014-11-06,5.9,05-31-2016,Ausbil Investment Management Limited
2017,2014-06-30,5.8,05-31-2016,Ausbil Investment Management Limited
2017,2014-08-04,5.8,05-31-2016,Ausbil Investment Management Limited
2017,2014-09-23,5.8,05-31-2016,Ausbil Investment Management Limited
2017,2014-11-06,5.8,05-31-2016,Ausbil Investment Management Limited
2018,2014-06-30,5.7,05-31-2016,Ausbil Investment Management Limited
2018,2014-08-04,5.7,05-31-2016,Ausbil Investment Management Limited
2018,2014-09-23,5.7,05-31-2016,Ausbil Investment Management Limited
2018,2014-11-06,5.7,05-31-2016,Ausbil Investment Management Limited
2019,2014-06-30,5.6,05-31-2016,Ausbil Investment Management Limited
2019,2014-08-04,5.6,05-31-2016,Ausbil Investment Management Limited
2019,2014-09-23,5.6,05-31-2016,Ausbil Investment Management Limited
2019,2014-11-06,5.6,05-31-2016,Ausbil Investment Management Limited
Q4-16,2014-03-05,5.9,02-28-2016,Ausbil Investment Management Limited
Q4-16,2014-04-14,5.9,02-28-2016,Ausbil Investment Management Limited
Q4-16,2014-05-22,5.9,02-28-2016,Ausbil Investment Management Limited
Q4-16,2014-06-30,5.9,02-28-2016,Ausbil Investment Management Limited
Q4-16,2014-08-04,5.9,02-28-2016,Ausbil Investment Management Limited
Q4-16,2014-09-23,5.9,02-28-2016,Ausbil Investment Management Limited
Q4-16,2014-11-06,5.9,02-28-2016,Ausbil Investment Management Limited
2017,2014-03-05,5.8,02-28-2016,Ausbil Investment Management Limited
2017,2014-04-14,5.8,02-28-2016,Ausbil Investment Management Limited
2017,2014-05-22,5.8,02-28-2016,Ausbil Investment Management Limited
2017,2014-06-30,5.8,02-28-2016,Ausbil Investment Management Limited
2017,2014-08-04,5.8,02-28-2016,Ausbil Investment Management Limited
2017,2014-09-23,5.8,02-28-2016,Ausbil Investment Management Limited
2017,2014-11-06,5.8,02-28-2016,Ausbil Investment Management Limited
2018,2014-03-05,5.7,02-28-2016,Ausbil Investment Management Limited
2018,2014-04-14,5.7,02-28-2016,Ausbil Investment Management Limited
2018,2014-05-22,5.7,02-28-2016,Ausbil Investment Management Limited
2018,2014-06-30,5.7,02-28-2016,Ausbil Investment Management Limited
2018,2014-08-04,5.7,02-28-2016,Ausbil Investment Management Limited
2018,2014-09-23,5.7,02-28-2016,Ausbil Investment Management Limited
2018,2014-11-06,5.7,02-28-2016,Ausbil Investment Management Limited
2019,2014-03-05,5.6,02-28-2016,Ausbil Investment Management Limited
2019,2014-04-14,5.6,02-28-2016,Ausbil Investment Management Limited
2019,2014-05-22,5.6,02-28-2016,Ausbil Investment Management Limited
