period,change_date,change,file,company
Q2-07,2006-09-11,7.73,05-31-2007,Australia & New Zealand Banking Group
Q2-07,2006-10-17,7.67,05-31-2007,Australia & New Zealand Banking Group
Q2-07,2006-11-21,7.67,05-31-2007,Australia & New Zealand Banking Group
Q2-07,2007-01-18,7.73,05-31-2007,Australia & New Zealand Banking Group
Q2-07,2007-02-22,7.62,05-31-2007,Australia & New Zealand Banking Group
Q2-07,2007-04-03,7.64,05-31-2007,Australia & New Zealand Banking Group
Q2-07,2007-05-08,7.65,05-31-2007,Australia & New Zealand Banking Group
Q3-07,2006-09-11,7.61,05-31-2007,Australia & New Zealand Banking Group
Q3-07,2006-10-17,7.61,05-31-2007,Australia & New Zealand Banking Group
Q3-07,2006-11-21,7.61,05-31-2007,Australia & New Zealand Banking Group
Q3-07,2007-01-18,7.67,05-31-2007,Australia & New Zealand Banking Group
Q3-07,2007-02-22,7.53,05-31-2007,Australia & New Zealand Banking Group
Q3-07,2007-04-03,7.55,05-31-2007,Australia & New Zealand Banking Group
Q3-07,2007-05-08,7.56,05-31-2007,Australia & New Zealand Banking Group
Q4-07,2006-09-11,7.55,05-31-2007,Australia & New Zealand Banking Group
Q4-07,2006-10-17,7.55,05-31-2007,Australia & New Zealand Banking Group
Q4-07,2006-11-21,7.55,05-31-2007,Australia & New Zealand Banking Group
Q4-07,2007-01-18,7.61,05-31-2007,Australia & New Zealand Banking Group
Q4-07,2007-02-22,7.45,05-31-2007,Australia & New Zealand Banking Group
Q4-07,2007-04-03,7.45,05-31-2007,Australia & New Zealand Banking Group
Q4-07,2007-05-08,7.45,05-31-2007,Australia & New Zealand Banking Group
Q1-08,2007-04-03,7.43,05-31-2007,Australia & New Zealand Banking Group
Q1-08,2007-05-08,7.43,05-31-2007,Australia & New Zealand Banking Group
2008,2006-09-11,7.35,05-31-2007,Australia & New Zealand Banking Group
2008,2006-10-17,7.35,05-31-2007,Australia & New Zealand Banking Group
2008,2006-11-21,7.35,05-31-2007,Australia & New Zealand Banking Group
2008,2007-01-18,7.55,05-31-2007,Australia & New Zealand Banking Group
2008,2007-02-22,7.35,05-31-2007,Australia & New Zealand Banking Group
2008,2007-04-03,7.35,05-31-2007,Australia & New Zealand Banking Group
2008,2007-05-08,7.35,05-31-2007,Australia & New Zealand Banking Group
2009,2007-01-18,7.35,05-31-2007,Australia & New Zealand Banking Group
2009,2007-04-03,7.73,05-31-2007,Australia & New Zealand Banking Group
2009,2007-05-08,7.73,05-31-2007,Australia & New Zealand Banking Group
2010,2007-04-03,7.72,05-31-2007,Australia & New Zealand Banking Group
2010,2007-05-08,7.72,05-31-2007,Australia & New Zealand Banking Group
2011,2007-04-03,7.72,05-31-2007,Australia & New Zealand Banking Group
2011,2007-05-08,7.72,05-31-2007,Australia & New Zealand Banking Group
Q2-11,2010-08-02,6.42,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2010-09-02,6.42,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2010-10-12,6.42,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2010-11-01,6.29,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2010-12-02,6.29,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2011-02-01,6.44,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2011-03-03,6.44,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2011-04-01,6.44,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2011-05-03,6.43,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2011-05-11,6.43,05-31-2011,Australia & New Zealand Banking Group
Q2-11,2011-05-12,6.43,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2010-09-02,6.32,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2010-10-12,6.32,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2010-11-01,6.2,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2010-12-02,6.2,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2011-02-01,6.36,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2011-03-03,6.36,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2011-04-01,6.36,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2011-05-03,6.33,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2011-05-11,6.33,05-31-2011,Australia & New Zealand Banking Group
Q3-11,2011-05-12,6.33,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2009-06-12,6.47,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2009-06-26,6.73,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2009-08-17,6.8,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2009-09-18,6.8,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2009-10-23,6.53,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2009-11-18,6.66,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2009-11-20,6.38,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2009-12-21,6.38,05-31-2011,Australia & New Zealand Banking Group
Q4-11,2010-02-01,6.38,05-31-2011,Australia & New Zealand Banking Group
