period,change_date,change,file,company
Q3-20,2019-09-03,7.25,08-31-2020,BMO Capital Markets
Q3-20,2019-10-09,7.25,08-31-2020,BMO Capital Markets
Q3-20,2019-11-12,7.15,08-31-2020,BMO Capital Markets
Q4-20,2019-09-03,7.2,08-31-2020,BMO Capital Markets
Q4-20,2019-10-09,7.2,08-31-2020,BMO Capital Markets
Q4-20,2019-11-12,7.05,08-31-2020,BMO Capital Markets
2021,2019-09-03,7.0,08-31-2020,BMO Capital Markets
2021,2019-10-09,7.0,08-31-2020,BMO Capital Markets
2021,2019-11-12,7.0,08-31-2020,BMO Capital Markets
Q4-16,2015-01-21,6.05,11-30-2016,BMO Capital Markets
Q4-16,2015-03-24,6.11,11-30-2016,BMO Capital Markets
Q4-16,2015-05-12,6.06,11-30-2016,BMO Capital Markets
Q4-16,2015-06-15,6.08,11-30-2016,BMO Capital Markets
Q4-16,2015-07-21,6.08,11-30-2016,BMO Capital Markets
Q4-16,2015-08-18,6.5,11-30-2016,BMO Capital Markets
Q4-16,2015-10-09,6.5,11-30-2016,BMO Capital Markets
Q4-16,2015-11-26,6.45,11-30-2016,BMO Capital Markets
Q4-16,2016-02-08,6.67,11-30-2016,BMO Capital Markets
Q4-16,2016-04-20,6.57,11-30-2016,BMO Capital Markets
Q1-17,2016-04-20,6.58,11-30-2016,BMO Capital Markets
2017,2015-11-26,6.4,11-30-2016,BMO Capital Markets
2017,2016-02-08,6.6,11-30-2016,BMO Capital Markets
2017,2016-04-20,6.5,11-30-2016,BMO Capital Markets
Q3-16,2015-10-09,6.48,08-31-2016,BMO Capital Markets
Q3-16,2015-11-26,6.42,08-31-2016,BMO Capital Markets
Q3-16,2016-02-08,6.64,08-31-2016,BMO Capital Markets
Q3-16,2016-04-20,6.55,08-31-2016,BMO Capital Markets
Q4-16,2014-11-19,5.86,08-31-2016,BMO Capital Markets
Q4-16,2015-01-21,6.05,08-31-2016,BMO Capital Markets
Q4-16,2015-03-24,6.11,08-31-2016,BMO Capital Markets
Q4-16,2015-05-12,6.06,08-31-2016,BMO Capital Markets
Q4-16,2015-06-15,6.08,08-31-2016,BMO Capital Markets
Q4-16,2015-07-21,6.08,08-31-2016,BMO Capital Markets
Q4-16,2015-08-18,6.5,08-31-2016,BMO Capital Markets
Q4-16,2015-10-09,6.5,08-31-2016,BMO Capital Markets
Q4-16,2015-11-26,6.45,08-31-2016,BMO Capital Markets
Q4-16,2016-02-08,6.67,08-31-2016,BMO Capital Markets
Q4-16,2016-04-20,6.57,08-31-2016,BMO Capital Markets
Q1-17,2016-04-20,6.58,08-31-2016,BMO Capital Markets
2017,2015-11-26,6.4,08-31-2016,BMO Capital Markets
2017,2016-02-08,6.6,08-31-2016,BMO Capital Markets
2017,2016-04-20,6.5,08-31-2016,BMO Capital Markets
Q4-20,2019-09-03,7.2,11-30-2020,BMO Capital Markets
Q4-20,2019-10-09,7.2,11-30-2020,BMO Capital Markets
Q4-20,2019-11-12,7.05,11-30-2020,BMO Capital Markets
2021,2019-09-03,7.0,11-30-2020,BMO Capital Markets
2021,2019-10-09,7.0,11-30-2020,BMO Capital Markets
2021,2019-11-12,7.0,11-30-2020,BMO Capital Markets
Q4-17,2015-11-26,6.4,08-31-2017,BMO Capital Markets
Q4-17,2016-02-08,6.6,08-31-2017,BMO Capital Markets
Q4-17,2016-04-20,6.5,08-31-2017,BMO Capital Markets
Q4-17,2016-02-08,6.6,11-30-2017,BMO Capital Markets
Q4-17,2016-04-20,6.5,11-30-2017,BMO Capital Markets
Q4-21,2019-09-03,7.0,08-31-2021,BMO Capital Markets
Q4-21,2019-10-09,7.0,08-31-2021,BMO Capital Markets
Q4-21,2019-11-12,7.0,08-31-2021,BMO Capital Markets
Q1-17,2016-04-20,6.58,02-28-2017,BMO Capital Markets
Q4-17,2015-11-26,6.4,02-28-2017,BMO Capital Markets
Q4-17,2016-02-08,6.6,02-28-2017,BMO Capital Markets
Q4-17,2016-04-20,6.5,02-28-2017,BMO Capital Markets
Q4-21,2019-09-03,7.0,05-31-2021,BMO Capital Markets
Q4-21,2019-10-09,7.0,05-31-2021,BMO Capital Markets
Q4-21,2019-11-12,7.0,05-31-2021,BMO Capital Markets
Q4-17,2015-11-26,6.4,05-31-2017,BMO Capital Markets
Q4-17,2016-02-08,6.6,05-31-2017,BMO Capital Markets
Q4-17,2016-04-20,6.5,05-31-2017,BMO Capital Markets
Q4-21,2019-09-03,7.0,02-28-2021,BMO Capital Markets
Q4-21,2019-10-09,7.0,02-28-2021,BMO Capital Markets
Q4-21,2019-11-12,7.0,02-28-2021,BMO Capital Markets
2022,2019-09-03,7.0,02-28-2021,BMO Capital Markets
2022,2019-10-09,7.0,02-28-2021,BMO Capital Markets
2022,2019-11-12,7.0,02-28-2021,BMO Capital Markets
Q4-11,2011-06-22,6.25,11-30-2011,BMO Capital Markets
Q4-11,2011-07-21,6.25,11-30-2011,BMO Capital Markets
