period,change_date,change,file,company
Q2-07,2007-01-05,7.6,05-31-2007,B. Metzler seel. Sohn & Co.
Q2-07,2007-02-05,7.6,05-31-2007,B. Metzler seel. Sohn & Co.
Q2-07,2007-03-09,7.6,05-31-2007,B. Metzler seel. Sohn & Co.
Q2-07,2007-04-19,7.73,05-31-2007,B. Metzler seel. Sohn & Co.
Q2-07,2007-05-10,7.6,05-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-01-05,7.54,05-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-02-05,7.54,05-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-03-09,7.54,05-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-04-19,7.6,05-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-05-10,7.54,05-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-01-05,7.43,05-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-02-05,7.43,05-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-03-09,7.43,05-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-04-19,7.54,05-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-05-10,7.43,05-31-2007,B. Metzler seel. Sohn & Co.
Q1-08,2007-04-19,7.43,05-31-2007,B. Metzler seel. Sohn & Co.
Q1-07,2007-01-05,7.73,02-28-2007,B. Metzler seel. Sohn & Co.
Q1-07,2007-02-05,7.73,02-28-2007,B. Metzler seel. Sohn & Co.
Q2-07,2007-01-05,7.6,02-28-2007,B. Metzler seel. Sohn & Co.
Q2-07,2007-02-05,7.6,02-28-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-01-05,7.54,02-28-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-02-05,7.54,02-28-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-01-05,7.43,02-28-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-02-05,7.43,02-28-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-01-05,7.43,11-30-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-02-05,7.43,11-30-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-03-09,7.43,11-30-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-04-19,7.54,11-30-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-05-10,7.43,11-30-2007,B. Metzler seel. Sohn & Co.
Q1-08,2007-04-19,7.43,11-30-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-01-05,7.54,08-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-02-05,7.54,08-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-03-09,7.54,08-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-04-19,7.6,08-31-2007,B. Metzler seel. Sohn & Co.
Q3-07,2007-05-10,7.54,08-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-01-05,7.43,08-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-02-05,7.43,08-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-03-09,7.43,08-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-04-19,7.54,08-31-2007,B. Metzler seel. Sohn & Co.
Q4-07,2007-05-10,7.43,08-31-2007,B. Metzler seel. Sohn & Co.
Q1-08,2007-04-19,7.43,08-31-2007,B. Metzler seel. Sohn & Co.
Q4-08,2008-01-02,6.65,11-30-2008,B. Metzler seel. Sohn & Co.
Q3-08,2008-01-02,6.85,08-31-2008,B. Metzler seel. Sohn & Co.
Q4-08,2008-01-02,6.65,08-31-2008,B. Metzler seel. Sohn & Co.
Q2-08,2008-01-02,6.97,05-31-2008,B. Metzler seel. Sohn & Co.
Q3-08,2008-01-02,6.85,05-31-2008,B. Metzler seel. Sohn & Co.
Q4-08,2008-01-02,6.65,05-31-2008,B. Metzler seel. Sohn & Co.
Q1-08,2007-04-19,7.43,02-28-2008,B. Metzler seel. Sohn & Co.
Q1-08,2008-01-02,7.15,02-28-2008,B. Metzler seel. Sohn & Co.
Q2-08,2008-01-02,6.97,02-28-2008,B. Metzler seel. Sohn & Co.
Q3-08,2008-01-02,6.85,02-28-2008,B. Metzler seel. Sohn & Co.
Q4-08,2008-01-02,6.65,02-28-2008,B. Metzler seel. Sohn & Co.
