period,change_date,change,file,company
Q2-07,2006-03-09,7.4,05-31-2007,BNP Paribas
Q2-07,2006-07-03,7.4,05-31-2007,BNP Paribas
Q2-07,2006-08-08,7.4,05-31-2007,BNP Paribas
Q2-07,2006-09-20,7.6,05-31-2007,BNP Paribas
Q2-07,2006-11-07,7.6,05-31-2007,BNP Paribas
Q2-07,2006-12-12,7.6,05-31-2007,BNP Paribas
Q2-07,2007-01-16,7.6,05-31-2007,BNP Paribas
Q2-07,2007-02-21,7.6,05-31-2007,BNP Paribas
Q2-07,2007-03-08,7.6,05-31-2007,BNP Paribas
Q2-07,2007-03-22,7.6,05-31-2007,BNP Paribas
Q2-07,2007-03-27,7.6,05-31-2007,BNP Paribas
Q2-07,2007-04-03,7.6,05-31-2007,BNP Paribas
Q2-07,2007-05-24,7.6,05-31-2007,BNP Paribas
Q2-07,2007-05-31,7.6,05-31-2007,BNP Paribas
Q3-07,2006-03-09,7.3,05-31-2007,BNP Paribas
Q3-07,2006-09-20,7.5,05-31-2007,BNP Paribas
Q3-07,2006-11-07,7.5,05-31-2007,BNP Paribas
Q3-07,2006-12-12,7.5,05-31-2007,BNP Paribas
Q3-07,2007-01-16,7.5,05-31-2007,BNP Paribas
Q3-07,2007-02-21,7.5,05-31-2007,BNP Paribas
Q3-07,2007-03-08,7.5,05-31-2007,BNP Paribas
Q3-07,2007-03-22,7.5,05-31-2007,BNP Paribas
Q3-07,2007-03-27,7.5,05-31-2007,BNP Paribas
Q3-07,2007-04-03,7.5,05-31-2007,BNP Paribas
Q3-07,2007-05-24,7.5,05-31-2007,BNP Paribas
Q3-07,2007-05-31,7.5,05-31-2007,BNP Paribas
Q4-07,2006-03-09,7.3,05-31-2007,BNP Paribas
Q4-07,2006-05-18,7.2,05-31-2007,BNP Paribas
Q4-07,2006-07-03,7.2,05-31-2007,BNP Paribas
Q4-07,2006-08-08,7.2,05-31-2007,BNP Paribas
Q4-07,2006-09-20,7.4,05-31-2007,BNP Paribas
Q4-07,2006-11-07,7.4,05-31-2007,BNP Paribas
Q4-07,2006-12-12,7.4,05-31-2007,BNP Paribas
Q4-07,2007-01-16,7.4,05-31-2007,BNP Paribas
Q4-07,2007-02-21,7.4,05-31-2007,BNP Paribas
Q4-07,2007-03-08,7.4,05-31-2007,BNP Paribas
Q4-07,2007-03-22,7.4,05-31-2007,BNP Paribas
Q4-07,2007-03-27,7.4,05-31-2007,BNP Paribas
Q4-07,2007-04-03,7.4,05-31-2007,BNP Paribas
Q4-07,2007-05-24,7.4,05-31-2007,BNP Paribas
Q4-07,2007-05-31,7.4,05-31-2007,BNP Paribas
Q1-08,2007-03-22,7.3,05-31-2007,BNP Paribas
Q1-08,2007-03-27,7.3,05-31-2007,BNP Paribas
Q1-08,2007-04-03,7.3,05-31-2007,BNP Paribas
Q1-08,2007-05-24,7.3,05-31-2007,BNP Paribas
Q1-08,2007-05-31,7.3,05-31-2007,BNP Paribas
2008,2006-05-18,7.3,05-31-2007,BNP Paribas
2008,2006-07-03,6.8,05-31-2007,BNP Paribas
2008,2006-08-08,6.8,05-31-2007,BNP Paribas
2008,2006-09-20,7.0,05-31-2007,BNP Paribas
2008,2006-11-07,7.0,05-31-2007,BNP Paribas
2008,2006-12-12,7.0,05-31-2007,BNP Paribas
2008,2007-01-16,7.0,05-31-2007,BNP Paribas
2008,2007-02-21,7.0,05-31-2007,BNP Paribas
2008,2007-03-08,7.0,05-31-2007,BNP Paribas
2008,2007-03-22,7.0,05-31-2007,BNP Paribas
2008,2007-03-27,7.0,05-31-2007,BNP Paribas
2008,2007-04-03,7.0,05-31-2007,BNP Paribas
2008,2007-05-24,7.0,05-31-2007,BNP Paribas
2008,2007-05-31,7.0,05-31-2007,BNP Paribas
2009,2006-05-18,7.2,05-31-2007,BNP Paribas
2009,2006-07-03,7.2,05-31-2007,BNP Paribas
2009,2006-08-08,7.2,05-31-2007,BNP Paribas
2009,2006-09-20,7.2,05-31-2007,BNP Paribas
2009,2006-11-07,7.2,05-31-2007,BNP Paribas
