period,change_date,change,file,company
Q4-16,2015-08-18,6.5,11-30-2016,BOCOM International
Q4-16,2015-08-18,6.5,08-31-2016,BOCOM International
Q2-16,2015-08-18,6.5,05-31-2016,BOCOM International
Q4-16,2015-08-18,6.5,05-31-2016,BOCOM International
Q1-16,2015-08-18,6.5,02-28-2016,BOCOM International
Q2-16,2015-08-18,6.5,02-28-2016,BOCOM International
Q4-16,2015-08-18,6.5,02-28-2016,BOCOM International
Q3-15,2015-08-18,6.45,08-31-2015,BOCOM International
Q4-15,2015-08-18,6.5,08-31-2015,BOCOM International
Q1-16,2015-08-18,6.5,08-31-2015,BOCOM International
Q2-16,2015-08-18,6.5,08-31-2015,BOCOM International
2016,2015-08-18,6.5,08-31-2015,BOCOM International
Q4-15,2015-08-18,6.5,11-30-2015,BOCOM International
Q1-16,2015-08-18,6.5,11-30-2015,BOCOM International
Q2-16,2015-08-18,6.5,11-30-2015,BOCOM International
2016,2015-08-18,6.5,11-30-2015,BOCOM International
