period,change_date,change,file,company
Q2-11,2011-05-20,6.46,05-31-2011,Banco Bilbao Vizcaya Argentaria
Q3-11,2011-05-20,6.37,05-31-2011,Banco Bilbao Vizcaya Argentaria
Q4-11,2011-05-20,6.3,05-31-2011,Banco Bilbao Vizcaya Argentaria
Q1-12,2011-05-20,6.24,05-31-2011,Banco Bilbao Vizcaya Argentaria
2012,2011-05-20,6.0,05-31-2011,Banco Bilbao Vizcaya Argentaria
Q3-20,2019-10-03,7.05,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2019-11-18,6.92,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2019-11-28,6.92,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2019-12-26,6.92,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2020-01-24,6.92,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2020-02-28,6.92,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2020-04-01,7.04,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2020-05-29,7.07,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2020-07-06,7.04,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q3-20,2020-08-28,6.91,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2018-11-08,6.6,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2018-12-21,6.6,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-02-01,6.6,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-02-28,6.6,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-04-09,6.6,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-05-17,6.63,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-05-30,6.63,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-06-28,6.63,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-07-02,6.63,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-07-11,6.63,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-07-16,6.63,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-08-30,7.0,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-10-03,7.0,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-11-18,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-11-28,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2019-12-26,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2020-01-24,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2020-02-28,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2020-04-01,7.0,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2020-05-29,7.0,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2020-07-06,7.0,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-20,2020-08-28,6.95,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q1-21,2020-04-01,6.97,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q1-21,2020-05-29,6.97,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q1-21,2020-07-06,6.97,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q1-21,2020-08-28,6.96,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q2-21,2020-07-06,6.95,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q2-21,2020-08-28,6.95,08-31-2020,Banco Bilbao Vizcaya Argentaria
2021,2019-11-18,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
2021,2019-11-28,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
2021,2020-04-01,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
2021,2020-05-29,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
2021,2020-07-06,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
2021,2020-08-28,6.9,08-31-2020,Banco Bilbao Vizcaya Argentaria
Q4-16,2014-12-15,5.95,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-01-21,6.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-02-20,6.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-03-20,6.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-03-31,6.05,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-04-22,6.05,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-05-21,6.05,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-07-01,6.02,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-07-29,6.15,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-09-25,6.55,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-11-03,6.7,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-12-15,6.8,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-02-01,6.9,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-03-03,6.9,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-04-05,6.8,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-04-29,6.8,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-05-11,6.8,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-05-30,6.8,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-06-14,6.8,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-06-29,6.8,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-07-08,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-07-29,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-09-02,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-09-29,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-10-31,6.8,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-11-30,6.9,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-03-03,6.95,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-04-05,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-04-29,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-05-11,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-05-30,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-06-14,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-06-29,6.85,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-07-08,6.92,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-07-29,6.92,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-09-02,6.92,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-09-29,6.92,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-10-31,6.9,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-11-30,7.04,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q2-17,2016-06-14,6.9,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q2-17,2016-06-29,6.9,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q2-17,2016-07-08,6.98,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q2-17,2016-07-29,6.98,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q2-17,2016-09-02,6.98,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q2-17,2016-09-29,6.98,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q2-17,2016-10-31,6.98,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q2-17,2016-11-30,7.14,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q3-17,2016-09-02,7.04,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q3-17,2016-09-29,7.04,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q3-17,2016-10-31,7.04,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q3-17,2016-11-30,7.17,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2015-12-15,6.9,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-02-01,7.1,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-03-03,7.1,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-04-05,7.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-04-29,7.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-05-11,7.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-05-30,7.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-06-14,7.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-06-29,7.0,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-07-08,7.1,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-07-29,7.1,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-09-02,7.1,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-09-29,7.1,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-10-31,7.1,11-30-2016,Banco Bilbao Vizcaya Argentaria
2017,2016-11-30,7.2,11-30-2016,Banco Bilbao Vizcaya Argentaria
2018,2016-05-30,7.08,11-30-2016,Banco Bilbao Vizcaya Argentaria
2018,2016-06-29,7.1,11-30-2016,Banco Bilbao Vizcaya Argentaria
2018,2016-11-30,7.3,11-30-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2015-09-25,6.62,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2015-11-03,6.64,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2015-12-15,6.72,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-02-01,6.82,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-03-03,6.82,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-04-05,6.72,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-04-29,6.72,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-05-11,6.72,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-05-30,6.72,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-06-14,6.72,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-06-29,6.72,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-07-08,6.78,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q3-16,2016-07-29,6.76,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2014-12-15,5.95,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-01-21,6.0,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-02-20,6.0,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-03-20,6.0,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-03-31,6.05,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-04-22,6.05,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-05-21,6.05,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-07-01,6.02,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-07-29,6.15,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-09-25,6.55,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-11-03,6.7,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2015-12-15,6.8,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-02-01,6.9,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-03-03,6.9,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-04-05,6.8,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-04-29,6.8,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-05-11,6.8,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-05-30,6.8,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-06-14,6.8,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-06-29,6.8,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-07-08,6.85,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q4-16,2016-07-29,6.85,08-31-2016,Banco Bilbao Vizcaya Argentaria
Q1-17,2016-03-03,6.95,08-31-2016,Banco Bilbao Vizcaya Argentaria
