period,change_date,change,file,company
Q3-20,2020-05-15,7.0,08-31-2020,Banco Santander
Q4-20,2020-05-15,6.85,08-31-2020,Banco Santander
Q1-21,2020-05-15,6.75,08-31-2020,Banco Santander
Q4-20,2020-05-15,6.85,11-30-2020,Banco Santander
Q1-21,2020-05-15,6.75,11-30-2020,Banco Santander
Q4-21,2021-01-27,6.65,11-30-2021,Banco Santander
Q4-21,2021-09-03,6.65,11-30-2021,Banco Santander
Q1-22,2021-09-03,6.7,11-30-2021,Banco Santander
Q2-22,2021-09-03,6.7,11-30-2021,Banco Santander
Q3-22,2021-09-03,6.7,11-30-2021,Banco Santander
Q3-21,2021-01-27,6.65,08-31-2021,Banco Santander
Q4-21,2021-01-27,6.65,08-31-2021,Banco Santander
Q2-21,2021-01-27,6.5,05-31-2021,Banco Santander
Q3-21,2021-01-27,6.65,05-31-2021,Banco Santander
Q4-21,2021-01-27,6.65,05-31-2021,Banco Santander
Q1-21,2020-05-15,6.75,02-28-2021,Banco Santander
Q1-21,2021-01-27,6.5,02-28-2021,Banco Santander
Q2-21,2021-01-27,6.5,02-28-2021,Banco Santander
Q3-21,2021-01-27,6.65,02-28-2021,Banco Santander
Q4-21,2021-01-27,6.65,02-28-2021,Banco Santander
2022,2021-01-27,6.65,02-28-2021,Banco Santander
Q2-20,2020-05-15,7.2,05-31-2020,Banco Santander
Q3-20,2020-05-15,7.0,05-31-2020,Banco Santander
Q4-20,2020-05-15,6.85,05-31-2020,Banco Santander
Q1-21,2020-05-15,6.75,05-31-2020,Banco Santander
Q2-19,2018-10-17,6.7,05-31-2019,Banco Santander
Q2-19,2018-10-30,6.7,05-31-2019,Banco Santander
Q3-19,2018-10-17,6.7,05-31-2019,Banco Santander
Q3-19,2018-10-30,6.7,05-31-2019,Banco Santander
Q4-19,2018-10-17,6.7,05-31-2019,Banco Santander
Q4-19,2018-10-30,6.7,05-31-2019,Banco Santander
Q1-19,2018-10-17,6.8,02-28-2019,Banco Santander
Q1-19,2018-10-30,6.8,02-28-2019,Banco Santander
Q2-19,2018-10-17,6.7,02-28-2019,Banco Santander
Q2-19,2018-10-30,6.7,02-28-2019,Banco Santander
Q3-19,2018-10-17,6.7,02-28-2019,Banco Santander
Q3-19,2018-10-30,6.7,02-28-2019,Banco Santander
Q4-19,2018-10-17,6.7,02-28-2019,Banco Santander
Q4-19,2018-10-30,6.7,02-28-2019,Banco Santander
Q1-22,2021-09-03,6.7,02-28-2022,Banco Santander
Q2-22,2021-09-03,6.7,02-28-2022,Banco Santander
Q3-22,2021-09-03,6.7,02-28-2022,Banco Santander
Q4-18,2018-10-17,6.7,11-30-2018,Banco Santander
Q4-18,2018-10-30,6.8,11-30-2018,Banco Santander
Q1-19,2018-10-17,6.8,11-30-2018,Banco Santander
Q1-19,2018-10-30,6.8,11-30-2018,Banco Santander
Q2-19,2018-10-17,6.7,11-30-2018,Banco Santander
Q2-19,2018-10-30,6.7,11-30-2018,Banco Santander
Q3-19,2018-10-17,6.7,11-30-2018,Banco Santander
Q3-19,2018-10-30,6.7,11-30-2018,Banco Santander
2019,2018-10-17,6.7,11-30-2018,Banco Santander
2019,2018-10-30,6.7,11-30-2018,Banco Santander
Q4-19,2018-10-17,6.7,11-30-2019,Banco Santander
Q4-19,2018-10-30,6.7,11-30-2019,Banco Santander
Q3-19,2018-10-17,6.7,08-31-2019,Banco Santander
Q3-19,2018-10-30,6.7,08-31-2019,Banco Santander
Q4-19,2018-10-17,6.7,08-31-2019,Banco Santander
Q4-19,2018-10-30,6.7,08-31-2019,Banco Santander
