period,change_date,change,file,company
Q4-16,2015-02-05,6.03,11-30-2016,Bank Julius Baer
Q4-16,2015-07-02,6.26,11-30-2016,Bank Julius Baer
Q4-16,2015-08-10,6.26,11-30-2016,Bank Julius Baer
2017,2015-02-05,6.0,11-30-2016,Bank Julius Baer
2017,2015-07-02,6.3,11-30-2016,Bank Julius Baer
2017,2015-08-10,6.3,11-30-2016,Bank Julius Baer
Q3-16,2015-07-02,6.25,08-31-2016,Bank Julius Baer
Q4-16,2015-02-05,6.03,08-31-2016,Bank Julius Baer
Q4-16,2015-07-02,6.26,08-31-2016,Bank Julius Baer
Q4-16,2015-08-10,6.26,08-31-2016,Bank Julius Baer
2017,2015-02-05,6.0,08-31-2016,Bank Julius Baer
2017,2015-07-02,6.3,08-31-2016,Bank Julius Baer
2017,2015-08-10,6.3,08-31-2016,Bank Julius Baer
Q4-17,2015-07-02,6.3,02-28-2017,Bank Julius Baer
Q4-17,2015-08-10,6.3,02-28-2017,Bank Julius Baer
Q4-17,2016-12-30,6.3,02-28-2017,Bank Julius Baer
Q4-17,2015-07-02,6.3,05-31-2017,Bank Julius Baer
Q4-17,2015-08-10,6.3,05-31-2017,Bank Julius Baer
Q4-17,2016-12-30,6.3,05-31-2017,Bank Julius Baer
Q2-16,2015-08-10,6.25,05-31-2016,Bank Julius Baer
Q3-16,2015-07-02,6.25,05-31-2016,Bank Julius Baer
Q4-16,2015-02-05,6.03,05-31-2016,Bank Julius Baer
Q4-16,2015-07-02,6.26,05-31-2016,Bank Julius Baer
Q4-16,2015-08-10,6.26,05-31-2016,Bank Julius Baer
2017,2015-02-05,6.0,05-31-2016,Bank Julius Baer
2017,2015-07-02,6.3,05-31-2016,Bank Julius Baer
2017,2015-08-10,6.3,05-31-2016,Bank Julius Baer
Q1-16,2015-07-02,6.25,02-28-2016,Bank Julius Baer
Q1-16,2015-08-10,6.22,02-28-2016,Bank Julius Baer
Q2-16,2015-08-10,6.25,02-28-2016,Bank Julius Baer
Q3-16,2015-07-02,6.25,02-28-2016,Bank Julius Baer
Q4-16,2015-02-05,6.03,02-28-2016,Bank Julius Baer
Q4-16,2015-07-02,6.26,02-28-2016,Bank Julius Baer
Q4-16,2015-08-10,6.26,02-28-2016,Bank Julius Baer
2017,2015-02-05,6.0,02-28-2016,Bank Julius Baer
2017,2015-07-02,6.3,02-28-2016,Bank Julius Baer
2017,2015-08-10,6.3,02-28-2016,Bank Julius Baer
Q2-15,2015-02-05,6.25,02-28-2015,Bank Julius Baer
Q3-15,2015-02-05,6.2,02-28-2015,Bank Julius Baer
Q4-15,2015-02-05,6.12,02-28-2015,Bank Julius Baer
2016,2015-02-05,6.03,02-28-2015,Bank Julius Baer
2017,2015-02-05,6.0,02-28-2015,Bank Julius Baer
Q2-15,2015-02-05,6.25,05-31-2015,Bank Julius Baer
Q3-15,2015-02-05,6.2,05-31-2015,Bank Julius Baer
Q4-15,2015-02-05,6.12,05-31-2015,Bank Julius Baer
2016,2015-02-05,6.03,05-31-2015,Bank Julius Baer
2017,2015-02-05,6.0,05-31-2015,Bank Julius Baer
Q3-15,2015-02-05,6.2,08-31-2015,Bank Julius Baer
Q3-15,2015-07-02,6.25,08-31-2015,Bank Julius Baer
Q3-15,2015-08-10,6.2,08-31-2015,Bank Julius Baer
Q4-15,2015-02-05,6.12,08-31-2015,Bank Julius Baer
Q4-15,2015-07-02,6.25,08-31-2015,Bank Julius Baer
Q4-15,2015-08-10,6.2,08-31-2015,Bank Julius Baer
Q1-16,2015-07-02,6.25,08-31-2015,Bank Julius Baer
Q1-16,2015-08-10,6.22,08-31-2015,Bank Julius Baer
Q2-16,2015-08-10,6.25,08-31-2015,Bank Julius Baer
2016,2015-02-05,6.03,08-31-2015,Bank Julius Baer
2016,2015-07-02,6.26,08-31-2015,Bank Julius Baer
2016,2015-08-10,6.26,08-31-2015,Bank Julius Baer
2017,2015-02-05,6.0,08-31-2015,Bank Julius Baer
2017,2015-07-02,6.3,08-31-2015,Bank Julius Baer
2017,2015-08-10,6.3,08-31-2015,Bank Julius Baer
Q4-15,2015-02-05,6.12,11-30-2015,Bank Julius Baer
Q4-15,2015-07-02,6.25,11-30-2015,Bank Julius Baer
Q4-15,2015-08-10,6.2,11-30-2015,Bank Julius Baer
Q1-16,2015-07-02,6.25,11-30-2015,Bank Julius Baer
Q1-16,2015-08-10,6.22,11-30-2015,Bank Julius Baer
Q2-16,2015-08-10,6.25,11-30-2015,Bank Julius Baer
Q3-16,2015-07-02,6.25,11-30-2015,Bank Julius Baer
2016,2015-02-05,6.03,11-30-2015,Bank Julius Baer
2016,2015-07-02,6.26,11-30-2015,Bank Julius Baer
2016,2015-08-10,6.26,11-30-2015,Bank Julius Baer
2017,2015-02-05,6.0,11-30-2015,Bank Julius Baer
2017,2015-07-02,6.3,11-30-2015,Bank Julius Baer
2017,2015-08-10,6.3,11-30-2015,Bank Julius Baer
