period,change_date,change,file,company
Q2-07,2006-03-16,7.55,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-07-05,7.55,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-07-11,7.55,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-07-18,7.55,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-07-20,7.55,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-07-26,7.55,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-08-01,7.55,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-08-22,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-08-30,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-09-06,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-09-12,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-09-20,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-09-22,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-10-03,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-10-17,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-10-18,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-10-19,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-10-24,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-10-31,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-11-07,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-11-14,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-12-14,7.62,05-31-2007,Bank of America Merrill Lynch
Q2-07,2006-12-20,7.6,05-31-2007,Bank of America Merrill Lynch
Q2-07,2007-01-03,7.7,05-31-2007,Bank of America Merrill Lynch
Q2-07,2007-01-10,7.6,05-31-2007,Bank of America Merrill Lynch
Q2-07,2007-01-12,7.6,05-31-2007,Bank of America Merrill Lynch
