period,change_date,change,file,company
Q1-10,2009-03-03,6.6,02-28-2010,Bank of New York Mellon
Q1-10,2009-05-12,6.74,02-28-2010,Bank of New York Mellon
Q1-10,2009-06-10,6.75,02-28-2010,Bank of New York Mellon
Q1-10,2009-07-15,6.75,02-28-2010,Bank of New York Mellon
Q2-10,2009-03-03,6.55,02-28-2010,Bank of New York Mellon
Q2-10,2009-05-12,6.72,02-28-2010,Bank of New York Mellon
Q2-10,2009-06-10,6.72,02-28-2010,Bank of New York Mellon
Q2-10,2009-07-15,6.72,02-28-2010,Bank of New York Mellon
Q4-10,2009-02-26,6.55,02-28-2010,Bank of New York Mellon
Q2-10,2009-03-03,6.55,05-31-2010,Bank of New York Mellon
Q2-10,2009-05-12,6.72,05-31-2010,Bank of New York Mellon
Q2-10,2009-06-10,6.72,05-31-2010,Bank of New York Mellon
Q2-10,2009-07-15,6.72,05-31-2010,Bank of New York Mellon
Q4-10,2009-02-26,6.55,05-31-2010,Bank of New York Mellon
Q4-10,2009-02-26,6.55,08-31-2010,Bank of New York Mellon
Q4-10,2009-02-26,6.55,11-30-2010,Bank of New York Mellon
Q3-09,2009-02-26,6.7,08-31-2009,Bank of New York Mellon
Q3-09,2009-03-03,6.7,08-31-2009,Bank of New York Mellon
Q3-09,2009-05-12,6.78,08-31-2009,Bank of New York Mellon
Q3-09,2009-06-10,6.8,08-31-2009,Bank of New York Mellon
Q3-09,2009-07-15,6.8,08-31-2009,Bank of New York Mellon
Q4-09,2009-02-26,6.65,08-31-2009,Bank of New York Mellon
Q4-09,2009-03-03,6.65,08-31-2009,Bank of New York Mellon
Q4-09,2009-05-12,6.76,08-31-2009,Bank of New York Mellon
Q4-09,2009-06-10,6.78,08-31-2009,Bank of New York Mellon
Q4-09,2009-07-15,6.78,08-31-2009,Bank of New York Mellon
Q1-10,2009-03-03,6.6,08-31-2009,Bank of New York Mellon
Q1-10,2009-05-12,6.74,08-31-2009,Bank of New York Mellon
Q1-10,2009-06-10,6.75,08-31-2009,Bank of New York Mellon
Q1-10,2009-07-15,6.75,08-31-2009,Bank of New York Mellon
Q2-10,2009-03-03,6.55,08-31-2009,Bank of New York Mellon
Q2-10,2009-05-12,6.72,08-31-2009,Bank of New York Mellon
Q2-10,2009-06-10,6.72,08-31-2009,Bank of New York Mellon
Q2-10,2009-07-15,6.72,08-31-2009,Bank of New York Mellon
2010,2009-02-26,6.55,08-31-2009,Bank of New York Mellon
Q4-09,2009-02-26,6.65,11-30-2009,Bank of New York Mellon
Q4-09,2009-03-03,6.65,11-30-2009,Bank of New York Mellon
Q4-09,2009-05-12,6.76,11-30-2009,Bank of New York Mellon
Q4-09,2009-06-10,6.78,11-30-2009,Bank of New York Mellon
Q4-09,2009-07-15,6.78,11-30-2009,Bank of New York Mellon
Q1-10,2009-03-03,6.6,11-30-2009,Bank of New York Mellon
Q1-10,2009-05-12,6.74,11-30-2009,Bank of New York Mellon
Q1-10,2009-06-10,6.75,11-30-2009,Bank of New York Mellon
Q1-10,2009-07-15,6.75,11-30-2009,Bank of New York Mellon
Q2-10,2009-03-03,6.55,11-30-2009,Bank of New York Mellon
Q2-10,2009-05-12,6.72,11-30-2009,Bank of New York Mellon
Q2-10,2009-06-10,6.72,11-30-2009,Bank of New York Mellon
Q2-10,2009-07-15,6.72,11-30-2009,Bank of New York Mellon
2010,2009-02-26,6.55,11-30-2009,Bank of New York Mellon
Q1-09,2009-02-26,6.8,02-28-2009,Bank of New York Mellon
Q2-09,2009-02-26,6.75,02-28-2009,Bank of New York Mellon
Q3-09,2009-02-26,6.7,02-28-2009,Bank of New York Mellon
Q4-09,2009-02-26,6.65,02-28-2009,Bank of New York Mellon
2010,2009-02-26,6.55,02-28-2009,Bank of New York Mellon
Q2-09,2009-02-26,6.75,05-31-2009,Bank of New York Mellon
Q2-09,2009-03-03,6.75,05-31-2009,Bank of New York Mellon
Q2-09,2009-05-12,6.81,05-31-2009,Bank of New York Mellon
Q3-09,2009-02-26,6.7,05-31-2009,Bank of New York Mellon
Q3-09,2009-03-03,6.7,05-31-2009,Bank of New York Mellon
Q3-09,2009-05-12,6.78,05-31-2009,Bank of New York Mellon
Q4-09,2009-02-26,6.65,05-31-2009,Bank of New York Mellon
Q4-09,2009-03-03,6.65,05-31-2009,Bank of New York Mellon
Q4-09,2009-05-12,6.76,05-31-2009,Bank of New York Mellon
Q1-10,2009-03-03,6.6,05-31-2009,Bank of New York Mellon
Q1-10,2009-05-12,6.74,05-31-2009,Bank of New York Mellon
2010,2009-02-26,6.55,05-31-2009,Bank of New York Mellon
