period,change_date,change,file,company
Q4-15,2013-09-09,6.1,02-28-2015,Bank of New Zealand
Q4-15,2013-09-23,6.1,02-28-2015,Bank of New Zealand
Q4-15,2013-09-09,6.1,05-31-2015,Bank of New Zealand
Q4-15,2013-09-23,6.1,05-31-2015,Bank of New Zealand
Q2-14,2013-06-27,6.1,05-31-2014,Bank of New Zealand
Q2-14,2013-08-07,6.1,05-31-2014,Bank of New Zealand
Q2-14,2013-08-12,6.1,05-31-2014,Bank of New Zealand
Q2-14,2013-09-09,6.1,05-31-2014,Bank of New Zealand
Q2-14,2013-09-23,6.1,05-31-2014,Bank of New Zealand
Q3-14,2013-09-23,6.1,05-31-2014,Bank of New Zealand
Q4-14,2013-02-12,6.0,05-31-2014,Bank of New Zealand
Q4-14,2013-02-25,6.0,05-31-2014,Bank of New Zealand
Q4-14,2013-03-04,6.0,05-31-2014,Bank of New Zealand
Q4-14,2013-06-27,6.1,05-31-2014,Bank of New Zealand
Q4-14,2013-08-07,6.1,05-31-2014,Bank of New Zealand
Q4-14,2013-08-12,6.1,05-31-2014,Bank of New Zealand
Q4-14,2013-09-09,6.1,05-31-2014,Bank of New Zealand
Q4-14,2013-09-23,6.1,05-31-2014,Bank of New Zealand
2015,2013-09-09,6.1,05-31-2014,Bank of New Zealand
2015,2013-09-23,6.1,05-31-2014,Bank of New Zealand
Q4-13,2013-01-14,6.11,11-30-2013,Bank of New Zealand
Q4-13,2013-02-12,6.11,11-30-2013,Bank of New Zealand
Q4-13,2013-02-25,6.11,11-30-2013,Bank of New Zealand
Q4-13,2013-03-04,6.11,11-30-2013,Bank of New Zealand
Q4-13,2013-06-27,6.1,11-30-2013,Bank of New Zealand
Q4-13,2013-08-07,6.1,11-30-2013,Bank of New Zealand
Q4-13,2013-08-12,6.1,11-30-2013,Bank of New Zealand
Q4-13,2013-09-09,6.1,11-30-2013,Bank of New Zealand
Q4-13,2013-09-23,6.1,11-30-2013,Bank of New Zealand
Q1-14,2013-06-27,6.1,11-30-2013,Bank of New Zealand
Q1-14,2013-08-07,6.1,11-30-2013,Bank of New Zealand
Q1-14,2013-08-12,6.1,11-30-2013,Bank of New Zealand
Q1-14,2013-09-09,6.1,11-30-2013,Bank of New Zealand
Q1-14,2013-09-23,6.1,11-30-2013,Bank of New Zealand
Q2-14,2013-06-27,6.1,11-30-2013,Bank of New Zealand
Q2-14,2013-08-07,6.1,11-30-2013,Bank of New Zealand
Q2-14,2013-08-12,6.1,11-30-2013,Bank of New Zealand
Q2-14,2013-09-09,6.1,11-30-2013,Bank of New Zealand
Q2-14,2013-09-23,6.1,11-30-2013,Bank of New Zealand
Q3-14,2013-09-23,6.1,11-30-2013,Bank of New Zealand
2014,2013-02-12,6.0,11-30-2013,Bank of New Zealand
2014,2013-02-25,6.0,11-30-2013,Bank of New Zealand
2014,2013-03-04,6.0,11-30-2013,Bank of New Zealand
2014,2013-06-27,6.1,11-30-2013,Bank of New Zealand
2014,2013-08-07,6.1,11-30-2013,Bank of New Zealand
2014,2013-08-12,6.1,11-30-2013,Bank of New Zealand
