period,change_date,change,file,company
Q2-11,2010-07-09,6.48,05-31-2011,Barclays
Q2-11,2010-08-13,6.53,05-31-2011,Barclays
Q2-11,2010-08-20,6.51,05-31-2011,Barclays
Q2-11,2010-09-24,6.57,05-31-2011,Barclays
Q2-11,2010-10-01,6.57,05-31-2011,Barclays
Q2-11,2010-11-11,6.36,05-31-2011,Barclays
Q2-11,2010-12-10,6.46,05-31-2011,Barclays
Q2-11,2011-01-21,6.41,05-31-2011,Barclays
Q2-11,2011-02-23,6.49,05-31-2011,Barclays
Q2-11,2011-02-28,6.34,05-31-2011,Barclays
Q2-11,2011-03-28,6.48,05-31-2011,Barclays
Q2-11,2011-04-12,6.48,05-31-2011,Barclays
Q2-11,2011-04-22,6.48,05-31-2011,Barclays
Q2-11,2011-05-30,6.47,05-31-2011,Barclays
Q3-11,2010-09-24,6.52,05-31-2011,Barclays
Q3-11,2010-10-01,6.52,05-31-2011,Barclays
Q3-11,2010-12-10,6.38,05-31-2011,Barclays
Q3-11,2011-01-21,6.34,05-31-2011,Barclays
Q3-11,2011-02-23,6.41,05-31-2011,Barclays
Q3-11,2011-03-28,6.42,05-31-2011,Barclays
Q3-11,2011-04-12,6.42,05-31-2011,Barclays
Q3-11,2011-04-22,6.42,05-31-2011,Barclays
Q3-11,2011-05-30,6.38,05-31-2011,Barclays
Q4-11,2011-02-23,6.34,05-31-2011,Barclays
Q4-11,2011-03-28,6.19,05-31-2011,Barclays
Q4-11,2011-04-12,6.19,05-31-2011,Barclays
Q4-11,2011-04-22,6.19,05-31-2011,Barclays
Q4-11,2011-05-30,6.29,05-31-2011,Barclays
Q1-12,2011-03-28,6.19,05-31-2011,Barclays
Q1-12,2011-04-12,6.19,05-31-2011,Barclays
Q1-12,2011-04-22,6.19,05-31-2011,Barclays
Q1-12,2011-05-30,6.21,05-31-2011,Barclays
Q3-20,2019-09-26,7.5,08-31-2020,Barclays
Q3-20,2019-11-20,7.15,08-31-2020,Barclays
Q3-20,2020-02-03,7.15,08-31-2020,Barclays
Q3-20,2020-06-22,7.2,08-31-2020,Barclays
Q4-20,2018-09-25,6.99,08-31-2020,Barclays
Q4-20,2018-11-19,6.99,08-31-2020,Barclays
Q4-20,2018-12-06,7.17,08-31-2020,Barclays
