period,change_date,change,file,company
Q2-07,2006-07-31,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-08-04,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-08-11,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-08-18,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-08-25,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-09-01,7.7,05-31-2007,Bayerische Landesbank
Q2-07,2006-09-22,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-10-24,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-10-26,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-11-06,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-12-07,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2006-12-28,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2007-01-04,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2007-01-12,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2007-02-02,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2007-02-09,7.6,05-31-2007,Bayerische Landesbank
Q2-07,2007-02-15,7.6,05-31-2007,Bayerische Landesbank
Q3-07,2006-09-01,7.6,05-31-2007,Bayerische Landesbank
Q3-07,2006-09-22,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2006-10-24,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2006-10-26,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2006-11-06,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2006-12-07,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2006-12-28,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2007-01-04,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2007-01-12,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2007-02-02,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2007-02-09,7.5,05-31-2007,Bayerische Landesbank
Q3-07,2007-02-15,7.5,05-31-2007,Bayerische Landesbank
Q4-07,2006-07-31,7.8,05-31-2007,Bayerische Landesbank
Q4-07,2006-08-04,7.8,05-31-2007,Bayerische Landesbank
Q4-07,2006-08-11,7.8,05-31-2007,Bayerische Landesbank
Q4-07,2006-08-18,7.8,05-31-2007,Bayerische Landesbank
Q4-07,2006-08-25,7.4,05-31-2007,Bayerische Landesbank
Q4-07,2006-09-01,7.4,05-31-2007,Bayerische Landesbank
Q4-07,2006-09-22,7.3,05-31-2007,Bayerische Landesbank
Q4-07,2006-10-24,7.3,05-31-2007,Bayerische Landesbank
Q4-07,2006-10-26,7.3,05-31-2007,Bayerische Landesbank
Q4-07,2006-11-06,7.3,05-31-2007,Bayerische Landesbank
Q4-07,2006-12-07,7.4,05-31-2007,Bayerische Landesbank
Q4-07,2006-12-28,7.4,05-31-2007,Bayerische Landesbank
Q4-07,2007-01-04,7.4,05-31-2007,Bayerische Landesbank
Q4-07,2007-01-12,7.4,05-31-2007,Bayerische Landesbank
Q4-07,2007-02-02,7.4,05-31-2007,Bayerische Landesbank
Q4-07,2007-02-09,7.4,05-31-2007,Bayerische Landesbank
Q4-07,2007-02-15,7.4,05-31-2007,Bayerische Landesbank
2008,2006-07-31,7.4,05-31-2007,Bayerische Landesbank
2008,2006-08-04,7.4,05-31-2007,Bayerische Landesbank
2008,2006-08-11,7.4,05-31-2007,Bayerische Landesbank
2008,2006-08-18,7.4,05-31-2007,Bayerische Landesbank
2008,2006-12-07,7.3,05-31-2007,Bayerische Landesbank
2008,2006-12-28,7.3,05-31-2007,Bayerische Landesbank
2008,2007-01-04,7.4,05-31-2007,Bayerische Landesbank
2008,2007-01-12,7.4,05-31-2007,Bayerische Landesbank
2008,2007-02-02,7.4,05-31-2007,Bayerische Landesbank
2008,2007-02-09,7.0,05-31-2007,Bayerische Landesbank
2008,2007-02-15,7.0,05-31-2007,Bayerische Landesbank
Q3-20,2019-10-10,7.0,08-31-2020,Bayerische Landesbank
Q3-20,2019-12-05,7.0,08-31-2020,Bayerische Landesbank
Q3-20,2020-01-07,7.0,08-31-2020,Bayerische Landesbank
Q3-20,2020-02-11,7.0,08-31-2020,Bayerische Landesbank
Q3-20,2020-04-01,7.0,08-31-2020,Bayerische Landesbank
Q3-20,2020-06-24,7.1,08-31-2020,Bayerische Landesbank
Q4-20,2019-12-05,7.0,08-31-2020,Bayerische Landesbank
Q4-20,2020-01-07,7.0,08-31-2020,Bayerische Landesbank
Q4-20,2020-02-11,7.0,08-31-2020,Bayerische Landesbank
Q4-20,2020-04-01,7.0,08-31-2020,Bayerische Landesbank
Q4-20,2020-06-24,7.1,08-31-2020,Bayerische Landesbank
Q1-21,2020-04-01,7.0,08-31-2020,Bayerische Landesbank
Q1-21,2020-06-24,7.05,08-31-2020,Bayerische Landesbank
Q2-21,2020-06-24,7.05,08-31-2020,Bayerische Landesbank
Q4-16,2015-09-29,6.3,11-30-2016,Bayerische Landesbank
Q4-16,2015-12-01,6.3,11-30-2016,Bayerische Landesbank
Q4-16,2016-01-05,6.8,11-30-2016,Bayerische Landesbank
Q4-16,2016-02-08,6.9,11-30-2016,Bayerische Landesbank
Q4-16,2016-03-02,6.8,11-30-2016,Bayerische Landesbank
Q4-16,2016-04-04,6.75,11-30-2016,Bayerische Landesbank
Q4-16,2016-04-28,6.75,11-30-2016,Bayerische Landesbank
Q4-16,2016-06-07,6.7,11-30-2016,Bayerische Landesbank
Q4-16,2016-06-29,6.75,11-30-2016,Bayerische Landesbank
Q4-16,2016-07-28,6.8,11-30-2016,Bayerische Landesbank
Q4-16,2016-09-14,6.75,11-30-2016,Bayerische Landesbank
Q4-16,2016-10-31,6.8,11-30-2016,Bayerische Landesbank
Q1-17,2016-04-04,6.8,11-30-2016,Bayerische Landesbank
Q1-17,2016-04-28,6.8,11-30-2016,Bayerische Landesbank
Q1-17,2016-06-07,6.75,11-30-2016,Bayerische Landesbank
Q1-17,2016-06-29,6.8,11-30-2016,Bayerische Landesbank
Q1-17,2016-07-28,6.85,11-30-2016,Bayerische Landesbank
Q1-17,2016-09-14,6.8,11-30-2016,Bayerische Landesbank
Q1-17,2016-10-31,6.83,11-30-2016,Bayerische Landesbank
Q2-17,2016-06-07,6.8,11-30-2016,Bayerische Landesbank
Q2-17,2016-06-29,6.9,11-30-2016,Bayerische Landesbank
Q2-17,2016-07-28,6.95,11-30-2016,Bayerische Landesbank
Q2-17,2016-09-14,6.85,11-30-2016,Bayerische Landesbank
Q2-17,2016-10-31,6.87,11-30-2016,Bayerische Landesbank
Q3-17,2016-09-14,6.95,11-30-2016,Bayerische Landesbank
Q3-17,2016-10-31,6.9,11-30-2016,Bayerische Landesbank
Q3-16,2015-09-29,6.5,08-31-2016,Bayerische Landesbank
Q3-16,2015-10-29,6.3,08-31-2016,Bayerische Landesbank
Q3-16,2015-12-01,6.3,08-31-2016,Bayerische Landesbank
Q3-16,2016-01-05,6.7,08-31-2016,Bayerische Landesbank
Q3-16,2016-02-08,6.9,08-31-2016,Bayerische Landesbank
Q3-16,2016-03-02,6.75,08-31-2016,Bayerische Landesbank
Q3-16,2016-04-04,6.7,08-31-2016,Bayerische Landesbank
Q3-16,2016-04-28,6.7,08-31-2016,Bayerische Landesbank
Q3-16,2016-06-07,6.6,08-31-2016,Bayerische Landesbank
Q3-16,2016-06-29,6.7,08-31-2016,Bayerische Landesbank
Q3-16,2016-07-28,6.75,08-31-2016,Bayerische Landesbank
Q4-16,2015-09-29,6.3,08-31-2016,Bayerische Landesbank
Q4-16,2015-12-01,6.3,08-31-2016,Bayerische Landesbank
Q4-16,2016-01-05,6.8,08-31-2016,Bayerische Landesbank
Q4-16,2016-02-08,6.9,08-31-2016,Bayerische Landesbank
Q4-16,2016-03-02,6.8,08-31-2016,Bayerische Landesbank
Q4-16,2016-04-04,6.75,08-31-2016,Bayerische Landesbank
Q4-16,2016-04-28,6.75,08-31-2016,Bayerische Landesbank
Q4-16,2016-06-07,6.7,08-31-2016,Bayerische Landesbank
Q4-16,2016-06-29,6.75,08-31-2016,Bayerische Landesbank
Q4-16,2016-07-28,6.8,08-31-2016,Bayerische Landesbank
Q1-17,2016-04-04,6.8,08-31-2016,Bayerische Landesbank
Q1-17,2016-04-28,6.8,08-31-2016,Bayerische Landesbank
Q1-17,2016-06-07,6.75,08-31-2016,Bayerische Landesbank
Q1-17,2016-06-29,6.8,08-31-2016,Bayerische Landesbank
Q1-17,2016-07-28,6.85,08-31-2016,Bayerische Landesbank
Q2-17,2016-06-07,6.8,08-31-2016,Bayerische Landesbank
Q2-17,2016-06-29,6.9,08-31-2016,Bayerische Landesbank
Q2-17,2016-07-28,6.95,08-31-2016,Bayerische Landesbank
Q4-20,2019-12-05,7.0,11-30-2020,Bayerische Landesbank
Q4-20,2020-01-07,7.0,11-30-2020,Bayerische Landesbank
Q4-20,2020-02-11,7.0,11-30-2020,Bayerische Landesbank
Q4-20,2020-04-01,7.0,11-30-2020,Bayerische Landesbank
Q4-20,2020-06-24,7.1,11-30-2020,Bayerische Landesbank
Q1-21,2020-04-01,7.0,11-30-2020,Bayerische Landesbank
Q1-21,2020-06-24,7.05,11-30-2020,Bayerische Landesbank
Q2-21,2020-06-24,7.05,11-30-2020,Bayerische Landesbank
Q1-07,2006-07-31,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-08-04,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-08-11,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-08-18,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-08-25,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-09-01,7.8,02-28-2007,Bayerische Landesbank
Q1-07,2006-09-22,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-10-24,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-10-26,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-11-06,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-12-07,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2006-12-28,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2007-01-04,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2007-01-12,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2007-02-02,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2007-02-09,7.7,02-28-2007,Bayerische Landesbank
Q1-07,2007-02-15,7.7,02-28-2007,Bayerische Landesbank
Q2-07,2006-07-31,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-08-04,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-08-11,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-08-18,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-08-25,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-09-01,7.7,02-28-2007,Bayerische Landesbank
Q2-07,2006-09-22,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-10-24,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-10-26,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-11-06,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-12-07,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2006-12-28,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2007-01-04,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2007-01-12,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2007-02-02,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2007-02-09,7.6,02-28-2007,Bayerische Landesbank
Q2-07,2007-02-15,7.6,02-28-2007,Bayerische Landesbank
Q3-07,2006-09-01,7.6,02-28-2007,Bayerische Landesbank
Q3-07,2006-09-22,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2006-10-24,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2006-10-26,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2006-11-06,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2006-12-07,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2006-12-28,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2007-01-04,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2007-01-12,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2007-02-02,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2007-02-09,7.5,02-28-2007,Bayerische Landesbank
Q3-07,2007-02-15,7.5,02-28-2007,Bayerische Landesbank
Q4-07,2006-07-31,7.8,02-28-2007,Bayerische Landesbank
Q4-07,2006-08-04,7.8,02-28-2007,Bayerische Landesbank
Q4-07,2006-08-11,7.8,02-28-2007,Bayerische Landesbank
Q4-07,2006-08-18,7.8,02-28-2007,Bayerische Landesbank
Q4-07,2006-08-25,7.4,02-28-2007,Bayerische Landesbank
Q4-07,2006-09-01,7.4,02-28-2007,Bayerische Landesbank
Q4-07,2006-09-22,7.3,02-28-2007,Bayerische Landesbank
Q4-07,2006-10-24,7.3,02-28-2007,Bayerische Landesbank
Q4-07,2006-10-26,7.3,02-28-2007,Bayerische Landesbank
Q4-07,2006-11-06,7.3,02-28-2007,Bayerische Landesbank
