period,change_date,change,file,company
Q4-10,2008-06-20,5.86,02-28-2010,Brown Brothers Harriman
Q4-10,2008-07-18,5.75,02-28-2010,Brown Brothers Harriman
2011,2008-07-18,5.61,02-28-2010,Brown Brothers Harriman
Q4-10,2008-06-20,5.86,05-31-2010,Brown Brothers Harriman
Q4-10,2008-07-18,5.75,05-31-2010,Brown Brothers Harriman
2011,2008-07-18,5.61,05-31-2010,Brown Brothers Harriman
Q4-07,2007-06-14,7.45,11-30-2007,Brown Brothers Harriman
Q4-07,2007-07-20,7.34,11-30-2007,Brown Brothers Harriman
Q4-07,2007-08-31,7.37,11-30-2007,Brown Brothers Harriman
Q4-07,2007-10-03,7.4,11-30-2007,Brown Brothers Harriman
Q4-07,2007-11-09,7.29,11-30-2007,Brown Brothers Harriman
Q4-07,2007-11-13,7.29,11-30-2007,Brown Brothers Harriman
Q1-08,2007-06-14,7.32,11-30-2007,Brown Brothers Harriman
Q1-08,2007-07-20,7.21,11-30-2007,Brown Brothers Harriman
Q1-08,2007-08-31,7.26,11-30-2007,Brown Brothers Harriman
Q1-08,2007-10-03,7.29,11-30-2007,Brown Brothers Harriman
Q1-08,2007-11-09,7.16,11-30-2007,Brown Brothers Harriman
Q1-08,2007-11-13,7.16,11-30-2007,Brown Brothers Harriman
Q2-08,2007-06-14,7.17,11-30-2007,Brown Brothers Harriman
Q2-08,2007-07-20,7.08,11-30-2007,Brown Brothers Harriman
Q2-08,2007-08-31,7.15,11-30-2007,Brown Brothers Harriman
Q2-08,2007-10-03,7.16,11-30-2007,Brown Brothers Harriman
Q2-08,2007-11-09,7.02,11-30-2007,Brown Brothers Harriman
Q2-08,2007-11-13,7.02,11-30-2007,Brown Brothers Harriman
Q3-08,2007-10-03,7.04,11-30-2007,Brown Brothers Harriman
Q3-08,2007-11-09,6.88,11-30-2007,Brown Brothers Harriman
Q3-08,2007-11-13,6.88,11-30-2007,Brown Brothers Harriman
2008,2007-06-14,6.89,11-30-2007,Brown Brothers Harriman
2008,2007-07-20,6.83,11-30-2007,Brown Brothers Harriman
2008,2007-08-31,7.0,11-30-2007,Brown Brothers Harriman
2008,2007-10-03,6.89,11-30-2007,Brown Brothers Harriman
2008,2007-11-09,6.75,11-30-2007,Brown Brothers Harriman
2008,2007-11-13,6.75,11-30-2007,Brown Brothers Harriman
2009,2007-10-03,6.4,11-30-2007,Brown Brothers Harriman
2009,2007-11-09,6.33,11-30-2007,Brown Brothers Harriman
2009,2007-11-13,6.33,11-30-2007,Brown Brothers Harriman
Q3-07,2007-06-14,7.56,08-31-2007,Brown Brothers Harriman
Q3-07,2007-07-20,7.47,08-31-2007,Brown Brothers Harriman
Q3-07,2007-08-31,7.48,08-31-2007,Brown Brothers Harriman
Q4-07,2007-06-14,7.45,08-31-2007,Brown Brothers Harriman
Q4-07,2007-07-20,7.34,08-31-2007,Brown Brothers Harriman
Q4-07,2007-08-31,7.37,08-31-2007,Brown Brothers Harriman
Q1-08,2007-06-14,7.32,08-31-2007,Brown Brothers Harriman
Q1-08,2007-07-20,7.21,08-31-2007,Brown Brothers Harriman
Q1-08,2007-08-31,7.26,08-31-2007,Brown Brothers Harriman
Q2-08,2007-06-14,7.17,08-31-2007,Brown Brothers Harriman
Q2-08,2007-07-20,7.08,08-31-2007,Brown Brothers Harriman
Q2-08,2007-08-31,7.15,08-31-2007,Brown Brothers Harriman
2008,2007-06-14,6.89,08-31-2007,Brown Brothers Harriman
2008,2007-07-20,6.83,08-31-2007,Brown Brothers Harriman
2008,2007-08-31,7.0,08-31-2007,Brown Brothers Harriman
Q4-08,2007-06-14,6.89,11-30-2008,Brown Brothers Harriman
Q4-08,2007-07-20,6.83,11-30-2008,Brown Brothers Harriman
Q4-08,2007-08-31,7.0,11-30-2008,Brown Brothers Harriman
Q4-08,2007-10-03,6.89,11-30-2008,Brown Brothers Harriman
Q4-08,2007-11-09,6.75,11-30-2008,Brown Brothers Harriman
Q4-08,2007-11-13,6.75,11-30-2008,Brown Brothers Harriman
Q4-08,2007-12-14,6.86,11-30-2008,Brown Brothers Harriman
Q4-08,2008-01-25,6.66,11-30-2008,Brown Brothers Harriman
Q4-08,2008-01-28,6.66,11-30-2008,Brown Brothers Harriman
Q4-08,2008-06-20,6.56,11-30-2008,Brown Brothers Harriman
Q4-08,2008-07-18,6.58,11-30-2008,Brown Brothers Harriman
Q1-09,2008-06-20,6.4,11-30-2008,Brown Brothers Harriman
Q1-09,2008-07-18,6.45,11-30-2008,Brown Brothers Harriman
Q2-09,2008-07-18,6.32,11-30-2008,Brown Brothers Harriman
2009,2007-10-03,6.4,11-30-2008,Brown Brothers Harriman
2009,2007-11-09,6.33,11-30-2008,Brown Brothers Harriman
2009,2007-11-13,6.33,11-30-2008,Brown Brothers Harriman
2009,2007-12-14,6.35,11-30-2008,Brown Brothers Harriman
2009,2008-01-25,6.06,11-30-2008,Brown Brothers Harriman
2009,2008-01-28,6.06,11-30-2008,Brown Brothers Harriman
2009,2008-06-20,6.17,11-30-2008,Brown Brothers Harriman
2009,2008-07-18,6.05,11-30-2008,Brown Brothers Harriman
2010,2008-01-25,5.51,11-30-2008,Brown Brothers Harriman
2010,2008-01-28,5.51,11-30-2008,Brown Brothers Harriman
2010,2008-06-20,5.86,11-30-2008,Brown Brothers Harriman
2010,2008-07-18,5.75,11-30-2008,Brown Brothers Harriman
2011,2008-07-18,5.61,11-30-2008,Brown Brothers Harriman
Q3-08,2007-10-03,7.04,08-31-2008,Brown Brothers Harriman
Q3-08,2007-11-09,6.88,08-31-2008,Brown Brothers Harriman
Q3-08,2007-11-13,6.88,08-31-2008,Brown Brothers Harriman
Q3-08,2007-12-14,6.99,08-31-2008,Brown Brothers Harriman
Q3-08,2008-01-25,6.8,08-31-2008,Brown Brothers Harriman
Q3-08,2008-01-28,6.8,08-31-2008,Brown Brothers Harriman
Q3-08,2008-06-20,6.73,08-31-2008,Brown Brothers Harriman
Q3-08,2008-07-18,6.71,08-31-2008,Brown Brothers Harriman
Q4-08,2007-06-14,6.89,08-31-2008,Brown Brothers Harriman
Q4-08,2007-07-20,6.83,08-31-2008,Brown Brothers Harriman
Q4-08,2007-08-31,7.0,08-31-2008,Brown Brothers Harriman
Q4-08,2007-10-03,6.89,08-31-2008,Brown Brothers Harriman
Q4-08,2007-11-09,6.75,08-31-2008,Brown Brothers Harriman
Q4-08,2007-11-13,6.75,08-31-2008,Brown Brothers Harriman
Q4-08,2007-12-14,6.86,08-31-2008,Brown Brothers Harriman
Q4-08,2008-01-25,6.66,08-31-2008,Brown Brothers Harriman
Q4-08,2008-01-28,6.66,08-31-2008,Brown Brothers Harriman
Q4-08,2008-06-20,6.56,08-31-2008,Brown Brothers Harriman
Q4-08,2008-07-18,6.58,08-31-2008,Brown Brothers Harriman
Q1-09,2008-06-20,6.4,08-31-2008,Brown Brothers Harriman
Q1-09,2008-07-18,6.45,08-31-2008,Brown Brothers Harriman
Q2-09,2008-07-18,6.32,08-31-2008,Brown Brothers Harriman
2009,2007-10-03,6.4,08-31-2008,Brown Brothers Harriman
2009,2007-11-09,6.33,08-31-2008,Brown Brothers Harriman
2009,2007-11-13,6.33,08-31-2008,Brown Brothers Harriman
2009,2007-12-14,6.35,08-31-2008,Brown Brothers Harriman
2009,2008-01-25,6.06,08-31-2008,Brown Brothers Harriman
2009,2008-01-28,6.06,08-31-2008,Brown Brothers Harriman
2009,2008-06-20,6.17,08-31-2008,Brown Brothers Harriman
2009,2008-07-18,6.05,08-31-2008,Brown Brothers Harriman
2010,2008-01-25,5.51,08-31-2008,Brown Brothers Harriman
2010,2008-01-28,5.51,08-31-2008,Brown Brothers Harriman
2010,2008-06-20,5.86,08-31-2008,Brown Brothers Harriman
2010,2008-07-18,5.75,08-31-2008,Brown Brothers Harriman
2011,2008-07-18,5.61,08-31-2008,Brown Brothers Harriman
Q4-09,2007-10-03,6.4,08-31-2009,Brown Brothers Harriman
Q4-09,2007-11-09,6.33,08-31-2009,Brown Brothers Harriman
Q4-09,2007-11-13,6.33,08-31-2009,Brown Brothers Harriman
Q4-09,2007-12-14,6.35,08-31-2009,Brown Brothers Harriman
Q4-09,2008-01-25,6.06,08-31-2009,Brown Brothers Harriman
Q4-09,2008-01-28,6.06,08-31-2009,Brown Brothers Harriman
Q4-09,2008-06-20,6.17,08-31-2009,Brown Brothers Harriman
Q4-09,2008-07-18,6.05,08-31-2009,Brown Brothers Harriman
2010,2008-01-25,5.51,08-31-2009,Brown Brothers Harriman
2010,2008-01-28,5.51,08-31-2009,Brown Brothers Harriman
2010,2008-06-20,5.86,08-31-2009,Brown Brothers Harriman
2010,2008-07-18,5.75,08-31-2009,Brown Brothers Harriman
2011,2008-07-18,5.61,08-31-2009,Brown Brothers Harriman
Q4-09,2007-12-14,6.35,11-30-2009,Brown Brothers Harriman
Q4-09,2008-01-25,6.06,11-30-2009,Brown Brothers Harriman
Q4-09,2008-01-28,6.06,11-30-2009,Brown Brothers Harriman
Q4-09,2008-06-20,6.17,11-30-2009,Brown Brothers Harriman
Q4-09,2008-07-18,6.05,11-30-2009,Brown Brothers Harriman
2010,2008-01-25,5.51,11-30-2009,Brown Brothers Harriman
2010,2008-01-28,5.51,11-30-2009,Brown Brothers Harriman
2010,2008-06-20,5.86,11-30-2009,Brown Brothers Harriman
2010,2008-07-18,5.75,11-30-2009,Brown Brothers Harriman
2011,2008-07-18,5.61,11-30-2009,Brown Brothers Harriman
Q1-09,2008-06-20,6.4,02-28-2009,Brown Brothers Harriman
Q1-09,2008-07-18,6.45,02-28-2009,Brown Brothers Harriman
Q2-09,2008-07-18,6.32,02-28-2009,Brown Brothers Harriman
Q4-09,2007-10-03,6.4,02-28-2009,Brown Brothers Harriman
Q4-09,2007-11-09,6.33,02-28-2009,Brown Brothers Harriman
Q4-09,2007-11-13,6.33,02-28-2009,Brown Brothers Harriman
Q4-09,2007-12-14,6.35,02-28-2009,Brown Brothers Harriman
Q4-09,2008-01-25,6.06,02-28-2009,Brown Brothers Harriman
Q4-09,2008-01-28,6.06,02-28-2009,Brown Brothers Harriman
Q4-09,2008-06-20,6.17,02-28-2009,Brown Brothers Harriman
Q4-09,2008-07-18,6.05,02-28-2009,Brown Brothers Harriman
2010,2008-01-25,5.51,02-28-2009,Brown Brothers Harriman
