period,change_date,change,file,company
Q3-12,2012-06-14,6.1,08-31-2012,CIB Bank
Q4-12,2012-06-14,6.1,08-31-2012,CIB Bank
Q1-13,2012-06-14,6.05,08-31-2012,CIB Bank
Q2-13,2012-06-14,6.0,08-31-2012,CIB Bank
2013,2012-06-14,5.85,08-31-2012,CIB Bank
Q4-12,2012-06-14,6.1,11-30-2012,CIB Bank
Q1-13,2012-06-14,6.05,11-30-2012,CIB Bank
Q2-13,2012-06-14,6.0,11-30-2012,CIB Bank
2013,2012-06-14,5.85,11-30-2012,CIB Bank
Q4-13,2012-06-14,5.85,11-30-2013,CIB Bank
Q4-13,2013-07-26,5.85,11-30-2013,CIB Bank
Q4-13,2012-06-14,5.85,08-31-2013,CIB Bank
Q4-13,2013-07-26,5.85,08-31-2013,CIB Bank
Q2-13,2012-06-14,6.0,05-31-2013,CIB Bank
Q4-13,2012-06-14,5.85,05-31-2013,CIB Bank
Q1-13,2012-06-14,6.05,02-28-2013,CIB Bank
Q2-13,2012-06-14,6.0,02-28-2013,CIB Bank
Q4-13,2012-06-14,5.85,02-28-2013,CIB Bank
