period,change_date,change,file,company
Q1-10,2009-08-25,6.75,02-28-2010,CIMB
Q1-10,2009-11-19,6.75,02-28-2010,CIMB
Q2-10,2009-08-25,6.75,02-28-2010,CIMB
Q2-10,2009-11-19,6.75,02-28-2010,CIMB
Q3-10,2009-11-19,6.75,02-28-2010,CIMB
Q4-10,2008-07-08,6.2,02-28-2010,CIMB
Q4-10,2008-09-10,6.65,02-28-2010,CIMB
Q4-10,2008-12-09,6.9,02-28-2010,CIMB
Q4-10,2009-02-13,6.9,02-28-2010,CIMB
Q4-10,2009-04-15,6.9,02-28-2010,CIMB
Q4-10,2009-05-27,6.78,02-28-2010,CIMB
Q4-10,2009-08-25,6.75,02-28-2010,CIMB
Q4-10,2009-11-19,6.75,02-28-2010,CIMB
Q4-17,2017-10-02,6.65,11-30-2017,CIMB
Q4-17,2017-11-13,6.65,11-30-2017,CIMB
Q1-18,2017-10-02,6.7,11-30-2017,CIMB
Q1-18,2017-11-13,6.7,11-30-2017,CIMB
Q2-18,2017-10-02,6.75,11-30-2017,CIMB
Q2-18,2017-11-13,6.75,11-30-2017,CIMB
Q3-18,2017-10-02,6.7,11-30-2017,CIMB
Q3-18,2017-11-13,6.7,11-30-2017,CIMB
2018,2017-10-02,6.65,11-30-2017,CIMB
2018,2017-11-13,6.65,11-30-2017,CIMB
Q2-10,2009-08-25,6.75,05-31-2010,CIMB
Q2-10,2009-11-19,6.75,05-31-2010,CIMB
Q3-10,2009-11-19,6.75,05-31-2010,CIMB
Q4-10,2008-07-08,6.2,05-31-2010,CIMB
Q4-10,2008-09-10,6.65,05-31-2010,CIMB
Q4-10,2008-12-09,6.9,05-31-2010,CIMB
Q4-10,2009-02-13,6.9,05-31-2010,CIMB
Q4-10,2009-04-15,6.9,05-31-2010,CIMB
Q4-10,2009-05-27,6.78,05-31-2010,CIMB
Q4-10,2009-08-25,6.75,05-31-2010,CIMB
Q4-10,2009-11-19,6.75,05-31-2010,CIMB
Q3-10,2009-11-19,6.75,08-31-2010,CIMB
Q4-10,2008-09-10,6.65,08-31-2010,CIMB
Q4-10,2008-12-09,6.9,08-31-2010,CIMB
Q4-10,2009-02-13,6.9,08-31-2010,CIMB
Q4-10,2009-04-15,6.9,08-31-2010,CIMB
Q4-10,2009-05-27,6.78,08-31-2010,CIMB
Q4-10,2009-08-25,6.75,08-31-2010,CIMB
Q4-10,2009-11-19,6.75,08-31-2010,CIMB
