period,change_date,change,file,company
Q4-20,2020-09-30,6.8,11-30-2020,Cambridge Global Payments
Q4-20,2020-11-10,6.65,11-30-2020,Cambridge Global Payments
Q1-21,2020-09-30,6.82,11-30-2020,Cambridge Global Payments
Q1-21,2020-11-10,6.7,11-30-2020,Cambridge Global Payments
Q2-21,2020-09-30,6.84,11-30-2020,Cambridge Global Payments
Q2-21,2020-11-10,6.7,11-30-2020,Cambridge Global Payments
Q3-21,2020-09-30,6.86,11-30-2020,Cambridge Global Payments
Q3-21,2020-11-10,6.5,11-30-2020,Cambridge Global Payments
2021,2020-11-10,6.5,11-30-2020,Cambridge Global Payments
Q4-21,2020-11-10,6.5,11-30-2021,Cambridge Global Payments
Q4-21,2020-12-01,6.5,11-30-2021,Cambridge Global Payments
Q4-21,2021-06-04,6.38,11-30-2021,Cambridge Global Payments
Q4-21,2021-07-09,6.6,11-30-2021,Cambridge Global Payments
Q4-21,2021-07-30,6.45,11-30-2021,Cambridge Global Payments
Q4-21,2021-08-30,6.45,11-30-2021,Cambridge Global Payments
Q4-21,2021-10-01,6.45,11-30-2021,Cambridge Global Payments
Q4-21,2021-10-29,6.4,11-30-2021,Cambridge Global Payments
Q4-21,2021-11-25,6.4,11-30-2021,Cambridge Global Payments
Q1-22,2021-06-04,6.36,11-30-2021,Cambridge Global Payments
Q1-22,2021-07-09,6.55,11-30-2021,Cambridge Global Payments
Q1-22,2021-07-30,6.5,11-30-2021,Cambridge Global Payments
Q1-22,2021-08-30,6.45,11-30-2021,Cambridge Global Payments
Q1-22,2021-10-01,6.4,11-30-2021,Cambridge Global Payments
Q1-22,2021-10-29,6.4,11-30-2021,Cambridge Global Payments
Q1-22,2021-11-25,6.4,11-30-2021,Cambridge Global Payments
Q2-22,2021-06-04,6.35,11-30-2021,Cambridge Global Payments
Q2-22,2021-07-09,6.5,11-30-2021,Cambridge Global Payments
Q2-22,2021-07-30,6.55,11-30-2021,Cambridge Global Payments
