period,change_date,change,file,company
Q4-16,2015-10-30,6.48,11-30-2016,China CITIC Bank International
2017,2015-10-30,6.6,11-30-2016,China CITIC Bank International
2018,2015-10-30,6.4,11-30-2016,China CITIC Bank International
2019,2015-10-30,6.48,11-30-2016,China CITIC Bank International
2020,2015-10-30,5.95,11-30-2016,China CITIC Bank International
Q3-16,2015-10-30,6.48,08-31-2016,China CITIC Bank International
Q4-16,2015-10-30,6.48,08-31-2016,China CITIC Bank International
2017,2015-10-30,6.6,08-31-2016,China CITIC Bank International
2018,2015-10-30,6.4,08-31-2016,China CITIC Bank International
2019,2015-10-30,6.48,08-31-2016,China CITIC Bank International
2020,2015-10-30,5.95,08-31-2016,China CITIC Bank International
Q4-17,2015-10-30,6.6,08-31-2017,China CITIC Bank International
2018,2015-10-30,6.4,08-31-2017,China CITIC Bank International
2019,2015-10-30,6.48,08-31-2017,China CITIC Bank International
2020,2015-10-30,5.95,08-31-2017,China CITIC Bank International
Q4-17,2015-10-30,6.6,02-28-2017,China CITIC Bank International
2018,2015-10-30,6.4,02-28-2017,China CITIC Bank International
2019,2015-10-30,6.48,02-28-2017,China CITIC Bank International
2020,2015-10-30,5.95,02-28-2017,China CITIC Bank International
Q4-17,2015-10-30,6.6,05-31-2017,China CITIC Bank International
2018,2015-10-30,6.4,05-31-2017,China CITIC Bank International
2019,2015-10-30,6.48,05-31-2017,China CITIC Bank International
2020,2015-10-30,5.95,05-31-2017,China CITIC Bank International
Q2-16,2015-10-30,6.43,05-31-2016,China CITIC Bank International
Q3-16,2015-10-30,6.48,05-31-2016,China CITIC Bank International
Q4-16,2015-10-30,6.48,05-31-2016,China CITIC Bank International
2017,2015-10-30,6.6,05-31-2016,China CITIC Bank International
2018,2015-10-30,6.4,05-31-2016,China CITIC Bank International
2019,2015-10-30,6.48,05-31-2016,China CITIC Bank International
2020,2015-10-30,5.95,05-31-2016,China CITIC Bank International
Q1-16,2015-10-30,6.4,02-28-2016,China CITIC Bank International
Q2-16,2015-10-30,6.43,02-28-2016,China CITIC Bank International
Q3-16,2015-10-30,6.48,02-28-2016,China CITIC Bank International
Q4-16,2015-10-30,6.48,02-28-2016,China CITIC Bank International
2017,2015-10-30,6.6,02-28-2016,China CITIC Bank International
2018,2015-10-30,6.4,02-28-2016,China CITIC Bank International
2019,2015-10-30,6.48,02-28-2016,China CITIC Bank International
2020,2015-10-30,5.95,02-28-2016,China CITIC Bank International
Q4-15,2015-10-30,6.38,11-30-2015,China CITIC Bank International
Q1-16,2015-10-30,6.4,11-30-2015,China CITIC Bank International
Q2-16,2015-10-30,6.43,11-30-2015,China CITIC Bank International
Q3-16,2015-10-30,6.48,11-30-2015,China CITIC Bank International
2016,2015-10-30,6.48,11-30-2015,China CITIC Bank International
2017,2015-10-30,6.6,11-30-2015,China CITIC Bank International
2018,2015-10-30,6.4,11-30-2015,China CITIC Bank International
2019,2015-10-30,6.48,11-30-2015,China CITIC Bank International
