period,change_date,change,file,company
Q4-17,2017-11-03,6.68,11-30-2017,China Construction Bank (Asia)
Q1-18,2017-11-03,6.71,11-30-2017,China Construction Bank (Asia)
Q2-18,2017-11-03,6.64,11-30-2017,China Construction Bank (Asia)
Q3-18,2017-11-03,6.56,11-30-2017,China Construction Bank (Asia)
Q1-20,2019-03-14,6.8,02-28-2020,China Construction Bank (Asia)
Q1-20,2019-03-25,6.8,02-28-2020,China Construction Bank (Asia)
Q2-19,2018-06-14,6.3,05-31-2019,China Construction Bank (Asia)
Q2-19,2018-07-10,6.3,05-31-2019,China Construction Bank (Asia)
Q2-19,2018-07-18,6.3,05-31-2019,China Construction Bank (Asia)
Q2-19,2018-08-03,6.3,05-31-2019,China Construction Bank (Asia)
Q2-19,2018-09-27,6.6,05-31-2019,China Construction Bank (Asia)
Q2-19,2018-11-09,6.6,05-31-2019,China Construction Bank (Asia)
Q2-19,2018-12-20,6.8,05-31-2019,China Construction Bank (Asia)
Q2-19,2019-01-31,6.8,05-31-2019,China Construction Bank (Asia)
Q2-19,2019-02-13,6.8,05-31-2019,China Construction Bank (Asia)
Q2-19,2019-02-25,6.5,05-31-2019,China Construction Bank (Asia)
Q2-19,2019-03-14,6.6,05-31-2019,China Construction Bank (Asia)
Q2-19,2019-03-25,6.6,05-31-2019,China Construction Bank (Asia)
Q3-19,2018-09-27,6.5,05-31-2019,China Construction Bank (Asia)
Q3-19,2018-11-09,6.5,05-31-2019,China Construction Bank (Asia)
Q3-19,2018-12-20,6.7,05-31-2019,China Construction Bank (Asia)
Q3-19,2019-01-31,6.7,05-31-2019,China Construction Bank (Asia)
Q3-19,2019-02-13,6.7,05-31-2019,China Construction Bank (Asia)
Q3-19,2019-02-25,6.7,05-31-2019,China Construction Bank (Asia)
Q3-19,2019-03-14,6.75,05-31-2019,China Construction Bank (Asia)
Q3-19,2019-03-25,6.7,05-31-2019,China Construction Bank (Asia)
Q4-19,2018-12-20,6.6,05-31-2019,China Construction Bank (Asia)
Q4-19,2019-01-31,6.6,05-31-2019,China Construction Bank (Asia)
Q4-19,2019-02-13,6.6,05-31-2019,China Construction Bank (Asia)
Q4-19,2019-02-25,6.7,05-31-2019,China Construction Bank (Asia)
Q4-19,2019-03-14,6.8,05-31-2019,China Construction Bank (Asia)
Q4-19,2019-03-25,6.8,05-31-2019,China Construction Bank (Asia)
Q1-20,2019-03-14,6.8,05-31-2019,China Construction Bank (Asia)
Q1-20,2019-03-25,6.8,05-31-2019,China Construction Bank (Asia)
Q1-19,2018-05-07,6.15,02-28-2019,China Construction Bank (Asia)
Q1-19,2018-06-14,6.35,02-28-2019,China Construction Bank (Asia)
Q1-19,2018-07-10,6.3,02-28-2019,China Construction Bank (Asia)
Q1-19,2018-07-18,6.3,02-28-2019,China Construction Bank (Asia)
Q1-19,2018-08-03,6.4,02-28-2019,China Construction Bank (Asia)
Q1-19,2018-09-27,6.7,02-28-2019,China Construction Bank (Asia)
Q1-19,2018-11-09,6.7,02-28-2019,China Construction Bank (Asia)
Q1-19,2018-12-20,6.85,02-28-2019,China Construction Bank (Asia)
Q1-19,2019-01-31,6.85,02-28-2019,China Construction Bank (Asia)
Q1-19,2019-02-13,6.85,02-28-2019,China Construction Bank (Asia)
Q1-19,2019-02-25,6.6,02-28-2019,China Construction Bank (Asia)
Q2-19,2018-06-14,6.3,02-28-2019,China Construction Bank (Asia)
Q2-19,2018-07-10,6.3,02-28-2019,China Construction Bank (Asia)
Q2-19,2018-07-18,6.3,02-28-2019,China Construction Bank (Asia)
Q2-19,2018-08-03,6.3,02-28-2019,China Construction Bank (Asia)
Q2-19,2018-09-27,6.6,02-28-2019,China Construction Bank (Asia)
Q2-19,2018-11-09,6.6,02-28-2019,China Construction Bank (Asia)
Q2-19,2018-12-20,6.8,02-28-2019,China Construction Bank (Asia)
Q2-19,2019-01-31,6.8,02-28-2019,China Construction Bank (Asia)
Q2-19,2019-02-13,6.8,02-28-2019,China Construction Bank (Asia)
Q2-19,2019-02-25,6.5,02-28-2019,China Construction Bank (Asia)
Q3-19,2018-09-27,6.5,02-28-2019,China Construction Bank (Asia)
Q3-19,2018-11-09,6.5,02-28-2019,China Construction Bank (Asia)
Q3-19,2018-12-20,6.7,02-28-2019,China Construction Bank (Asia)
Q3-19,2019-01-31,6.7,02-28-2019,China Construction Bank (Asia)
Q3-19,2019-02-13,6.7,02-28-2019,China Construction Bank (Asia)
Q3-19,2019-02-25,6.7,02-28-2019,China Construction Bank (Asia)
Q4-19,2018-12-20,6.6,02-28-2019,China Construction Bank (Asia)
Q4-19,2019-01-31,6.6,02-28-2019,China Construction Bank (Asia)
Q4-19,2019-02-13,6.6,02-28-2019,China Construction Bank (Asia)
Q4-19,2019-02-25,6.7,02-28-2019,China Construction Bank (Asia)
Q1-18,2017-11-03,6.71,02-28-2018,China Construction Bank (Asia)
Q1-18,2017-12-15,6.65,02-28-2018,China Construction Bank (Asia)
Q1-18,2018-01-23,6.6,02-28-2018,China Construction Bank (Asia)
Q2-18,2017-11-03,6.64,02-28-2018,China Construction Bank (Asia)
Q2-18,2017-12-15,6.7,02-28-2018,China Construction Bank (Asia)
Q2-18,2018-01-23,6.65,02-28-2018,China Construction Bank (Asia)
Q3-18,2017-11-03,6.56,02-28-2018,China Construction Bank (Asia)
Q3-18,2017-12-15,6.65,02-28-2018,China Construction Bank (Asia)
Q3-18,2018-01-23,6.6,02-28-2018,China Construction Bank (Asia)
Q4-18,2017-12-15,6.5,02-28-2018,China Construction Bank (Asia)
Q4-18,2018-01-23,6.45,02-28-2018,China Construction Bank (Asia)
Q2-18,2017-11-03,6.64,05-31-2018,China Construction Bank (Asia)
Q2-18,2017-12-15,6.7,05-31-2018,China Construction Bank (Asia)
Q2-18,2018-01-23,6.65,05-31-2018,China Construction Bank (Asia)
Q2-18,2018-03-23,6.25,05-31-2018,China Construction Bank (Asia)
Q2-18,2018-05-07,6.25,05-31-2018,China Construction Bank (Asia)
Q3-18,2017-11-03,6.56,05-31-2018,China Construction Bank (Asia)
Q3-18,2017-12-15,6.65,05-31-2018,China Construction Bank (Asia)
Q3-18,2018-01-23,6.6,05-31-2018,China Construction Bank (Asia)
Q3-18,2018-03-23,6.2,05-31-2018,China Construction Bank (Asia)
Q3-18,2018-05-07,6.2,05-31-2018,China Construction Bank (Asia)
Q4-18,2017-12-15,6.5,05-31-2018,China Construction Bank (Asia)
Q4-18,2018-01-23,6.45,05-31-2018,China Construction Bank (Asia)
Q4-18,2018-03-23,6.18,05-31-2018,China Construction Bank (Asia)
Q4-18,2018-05-07,6.18,05-31-2018,China Construction Bank (Asia)
Q1-19,2018-05-07,6.15,05-31-2018,China Construction Bank (Asia)
Q3-18,2017-11-03,6.56,08-31-2018,China Construction Bank (Asia)
Q3-18,2017-12-15,6.65,08-31-2018,China Construction Bank (Asia)
Q3-18,2018-01-23,6.6,08-31-2018,China Construction Bank (Asia)
Q3-18,2018-03-23,6.2,08-31-2018,China Construction Bank (Asia)
Q3-18,2018-05-07,6.2,08-31-2018,China Construction Bank (Asia)
Q3-18,2018-06-14,6.38,08-31-2018,China Construction Bank (Asia)
Q3-18,2018-07-10,6.5,08-31-2018,China Construction Bank (Asia)
Q3-18,2018-07-18,6.5,08-31-2018,China Construction Bank (Asia)
Q3-18,2018-08-03,6.75,08-31-2018,China Construction Bank (Asia)
Q4-18,2017-12-15,6.5,08-31-2018,China Construction Bank (Asia)
Q4-18,2018-01-23,6.45,08-31-2018,China Construction Bank (Asia)
Q4-18,2018-03-23,6.18,08-31-2018,China Construction Bank (Asia)
Q4-18,2018-05-07,6.18,08-31-2018,China Construction Bank (Asia)
Q4-18,2018-06-14,6.35,08-31-2018,China Construction Bank (Asia)
Q4-18,2018-07-10,6.4,08-31-2018,China Construction Bank (Asia)
Q4-18,2018-07-18,6.4,08-31-2018,China Construction Bank (Asia)
Q4-18,2018-08-03,6.5,08-31-2018,China Construction Bank (Asia)
Q1-19,2018-05-07,6.15,08-31-2018,China Construction Bank (Asia)
Q1-19,2018-06-14,6.35,08-31-2018,China Construction Bank (Asia)
Q1-19,2018-07-10,6.3,08-31-2018,China Construction Bank (Asia)
Q1-19,2018-07-18,6.3,08-31-2018,China Construction Bank (Asia)
Q1-19,2018-08-03,6.4,08-31-2018,China Construction Bank (Asia)
Q2-19,2018-06-14,6.3,08-31-2018,China Construction Bank (Asia)
Q2-19,2018-07-10,6.3,08-31-2018,China Construction Bank (Asia)
Q2-19,2018-07-18,6.3,08-31-2018,China Construction Bank (Asia)
Q2-19,2018-08-03,6.3,08-31-2018,China Construction Bank (Asia)
Q4-18,2017-12-15,6.5,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-01-23,6.45,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-03-23,6.18,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-05-07,6.18,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-06-14,6.35,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-07-10,6.4,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-07-18,6.4,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-08-03,6.5,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-09-27,6.8,11-30-2018,China Construction Bank (Asia)
Q4-18,2018-11-09,6.85,11-30-2018,China Construction Bank (Asia)
Q1-19,2018-05-07,6.15,11-30-2018,China Construction Bank (Asia)
Q1-19,2018-06-14,6.35,11-30-2018,China Construction Bank (Asia)
Q1-19,2018-07-10,6.3,11-30-2018,China Construction Bank (Asia)
Q1-19,2018-07-18,6.3,11-30-2018,China Construction Bank (Asia)
