period,change_date,change,file,company
Q3-20,2020-01-03,7.0,08-31-2020,China Merchants Bank
Q3-20,2020-02-10,7.0,08-31-2020,China Merchants Bank
Q3-20,2020-03-09,6.95,08-31-2020,China Merchants Bank
Q3-20,2020-04-13,6.95,08-31-2020,China Merchants Bank
Q3-20,2020-05-11,7.0,08-31-2020,China Merchants Bank
Q3-20,2020-06-08,7.2,08-31-2020,China Merchants Bank
Q3-20,2020-07-06,7.2,08-31-2020,China Merchants Bank
Q3-20,2020-07-08,7.2,08-31-2020,China Merchants Bank
Q3-20,2020-08-03,7.0,08-31-2020,China Merchants Bank
Q4-20,2020-01-03,6.9,08-31-2020,China Merchants Bank
Q4-20,2020-02-10,6.9,08-31-2020,China Merchants Bank
Q4-20,2020-03-09,6.9,08-31-2020,China Merchants Bank
Q4-20,2020-04-13,6.9,08-31-2020,China Merchants Bank
Q4-20,2020-05-11,6.9,08-31-2020,China Merchants Bank
Q4-20,2020-06-08,7.1,08-31-2020,China Merchants Bank
Q4-20,2020-07-06,7.1,08-31-2020,China Merchants Bank
Q4-20,2020-07-08,7.1,08-31-2020,China Merchants Bank
Q4-20,2020-08-03,6.95,08-31-2020,China Merchants Bank
Q1-21,2020-03-09,6.85,08-31-2020,China Merchants Bank
Q1-21,2020-04-13,6.85,08-31-2020,China Merchants Bank
Q1-21,2020-05-11,6.85,08-31-2020,China Merchants Bank
Q1-21,2020-06-08,7.0,08-31-2020,China Merchants Bank
Q1-21,2020-07-06,7.0,08-31-2020,China Merchants Bank
Q1-21,2020-07-08,7.0,08-31-2020,China Merchants Bank
Q1-21,2020-08-03,6.85,08-31-2020,China Merchants Bank
Q2-21,2020-06-08,6.9,08-31-2020,China Merchants Bank
Q2-21,2020-07-06,6.9,08-31-2020,China Merchants Bank
Q2-21,2020-07-08,6.9,08-31-2020,China Merchants Bank
Q2-21,2020-08-03,6.8,08-31-2020,China Merchants Bank
Q4-20,2020-01-03,6.9,11-30-2020,China Merchants Bank
Q4-20,2020-02-10,6.9,11-30-2020,China Merchants Bank
Q4-20,2020-03-09,6.9,11-30-2020,China Merchants Bank
Q4-20,2020-04-13,6.9,11-30-2020,China Merchants Bank
Q4-20,2020-05-11,6.9,11-30-2020,China Merchants Bank
Q4-20,2020-06-08,7.1,11-30-2020,China Merchants Bank
Q4-20,2020-07-06,7.1,11-30-2020,China Merchants Bank
Q4-20,2020-07-08,7.1,11-30-2020,China Merchants Bank
Q4-20,2020-08-03,6.95,11-30-2020,China Merchants Bank
Q4-20,2020-09-07,6.8,11-30-2020,China Merchants Bank
Q4-20,2020-10-12,6.7,11-30-2020,China Merchants Bank
Q4-20,2020-11-09,6.65,11-30-2020,China Merchants Bank
Q1-21,2020-03-09,6.85,11-30-2020,China Merchants Bank
Q1-21,2020-04-13,6.85,11-30-2020,China Merchants Bank
Q1-21,2020-05-11,6.85,11-30-2020,China Merchants Bank
Q1-21,2020-06-08,7.0,11-30-2020,China Merchants Bank
Q1-21,2020-07-06,7.0,11-30-2020,China Merchants Bank
Q1-21,2020-07-08,7.0,11-30-2020,China Merchants Bank
Q1-21,2020-08-03,6.85,11-30-2020,China Merchants Bank
Q1-21,2020-09-07,6.7,11-30-2020,China Merchants Bank
Q1-21,2020-10-12,6.65,11-30-2020,China Merchants Bank
Q1-21,2020-11-09,6.55,11-30-2020,China Merchants Bank
Q2-21,2020-06-08,6.9,11-30-2020,China Merchants Bank
Q2-21,2020-07-06,6.9,11-30-2020,China Merchants Bank
Q2-21,2020-07-08,6.9,11-30-2020,China Merchants Bank
Q2-21,2020-08-03,6.8,11-30-2020,China Merchants Bank
Q2-21,2020-09-07,6.65,11-30-2020,China Merchants Bank
Q2-21,2020-10-12,6.6,11-30-2020,China Merchants Bank
Q2-21,2020-11-09,6.5,11-30-2020,China Merchants Bank
Q3-21,2020-09-07,6.65,11-30-2020,China Merchants Bank
Q3-21,2020-10-12,6.65,11-30-2020,China Merchants Bank
Q3-21,2020-11-09,6.47,11-30-2020,China Merchants Bank
Q4-21,2020-12-07,6.41,11-30-2021,China Merchants Bank
Q4-21,2021-01-11,6.39,11-30-2021,China Merchants Bank
Q4-21,2021-02-12,6.39,11-30-2021,China Merchants Bank
Q4-21,2021-03-08,6.4,11-30-2021,China Merchants Bank
Q4-21,2021-04-05,6.42,11-30-2021,China Merchants Bank
Q4-21,2021-06-21,6.43,11-30-2021,China Merchants Bank
Q1-22,2021-03-08,6.39,11-30-2021,China Merchants Bank
Q1-22,2021-04-05,6.47,11-30-2021,China Merchants Bank
Q1-22,2021-06-21,6.52,11-30-2021,China Merchants Bank
Q2-22,2021-06-21,6.58,11-30-2021,China Merchants Bank
Q3-21,2020-09-07,6.65,08-31-2021,China Merchants Bank
Q3-21,2020-10-12,6.65,08-31-2021,China Merchants Bank
Q3-21,2020-11-09,6.47,08-31-2021,China Merchants Bank
Q3-21,2020-12-07,6.4,08-31-2021,China Merchants Bank
Q3-21,2021-01-11,6.41,08-31-2021,China Merchants Bank
Q3-21,2021-02-12,6.41,08-31-2021,China Merchants Bank
Q3-21,2021-03-08,6.44,08-31-2021,China Merchants Bank
Q3-21,2021-04-05,6.45,08-31-2021,China Merchants Bank
Q3-21,2021-06-21,6.46,08-31-2021,China Merchants Bank
Q4-21,2020-12-07,6.41,08-31-2021,China Merchants Bank
Q4-21,2021-01-11,6.39,08-31-2021,China Merchants Bank
Q4-21,2021-02-12,6.39,08-31-2021,China Merchants Bank
Q4-21,2021-03-08,6.4,08-31-2021,China Merchants Bank
Q4-21,2021-04-05,6.42,08-31-2021,China Merchants Bank
Q4-21,2021-06-21,6.43,08-31-2021,China Merchants Bank
Q1-22,2021-03-08,6.39,08-31-2021,China Merchants Bank
Q1-22,2021-04-05,6.47,08-31-2021,China Merchants Bank
Q1-22,2021-06-21,6.52,08-31-2021,China Merchants Bank
Q2-22,2021-06-21,6.58,08-31-2021,China Merchants Bank
Q2-21,2020-06-08,6.9,05-31-2021,China Merchants Bank
Q2-21,2020-07-06,6.9,05-31-2021,China Merchants Bank
Q2-21,2020-07-08,6.9,05-31-2021,China Merchants Bank
Q2-21,2020-08-03,6.8,05-31-2021,China Merchants Bank
Q2-21,2020-09-07,6.65,05-31-2021,China Merchants Bank
Q2-21,2020-10-12,6.6,05-31-2021,China Merchants Bank
Q2-21,2020-11-09,6.5,05-31-2021,China Merchants Bank
Q2-21,2020-12-07,6.44,05-31-2021,China Merchants Bank
Q2-21,2021-01-11,6.45,05-31-2021,China Merchants Bank
Q2-21,2021-02-12,6.45,05-31-2021,China Merchants Bank
Q2-21,2021-03-08,6.47,05-31-2021,China Merchants Bank
Q2-21,2021-04-05,6.5,05-31-2021,China Merchants Bank
Q3-21,2020-09-07,6.65,05-31-2021,China Merchants Bank
Q3-21,2020-10-12,6.65,05-31-2021,China Merchants Bank
Q3-21,2020-11-09,6.47,05-31-2021,China Merchants Bank
Q3-21,2020-12-07,6.4,05-31-2021,China Merchants Bank
Q3-21,2021-01-11,6.41,05-31-2021,China Merchants Bank
Q3-21,2021-02-12,6.41,05-31-2021,China Merchants Bank
Q3-21,2021-03-08,6.44,05-31-2021,China Merchants Bank
Q3-21,2021-04-05,6.45,05-31-2021,China Merchants Bank
Q4-21,2020-12-07,6.41,05-31-2021,China Merchants Bank
Q4-21,2021-01-11,6.39,05-31-2021,China Merchants Bank
Q4-21,2021-02-12,6.39,05-31-2021,China Merchants Bank
Q4-21,2021-03-08,6.4,05-31-2021,China Merchants Bank
Q4-21,2021-04-05,6.42,05-31-2021,China Merchants Bank
Q1-22,2021-03-08,6.39,05-31-2021,China Merchants Bank
Q1-22,2021-04-05,6.47,05-31-2021,China Merchants Bank
Q1-21,2020-03-09,6.85,02-28-2021,China Merchants Bank
Q1-21,2020-04-13,6.85,02-28-2021,China Merchants Bank
Q1-21,2020-05-11,6.85,02-28-2021,China Merchants Bank
Q1-21,2020-06-08,7.0,02-28-2021,China Merchants Bank
Q1-21,2020-07-06,7.0,02-28-2021,China Merchants Bank
Q1-21,2020-07-08,7.0,02-28-2021,China Merchants Bank
Q1-21,2020-08-03,6.85,02-28-2021,China Merchants Bank
Q1-21,2020-09-07,6.7,02-28-2021,China Merchants Bank
Q1-21,2020-10-12,6.65,02-28-2021,China Merchants Bank
Q1-21,2020-11-09,6.55,02-28-2021,China Merchants Bank
Q1-21,2020-12-07,6.5,02-28-2021,China Merchants Bank
Q1-21,2021-01-11,6.5,02-28-2021,China Merchants Bank
Q1-21,2021-02-12,6.5,02-28-2021,China Merchants Bank
Q2-21,2020-06-08,6.9,02-28-2021,China Merchants Bank
Q2-21,2020-07-06,6.9,02-28-2021,China Merchants Bank
Q2-21,2020-07-08,6.9,02-28-2021,China Merchants Bank
Q2-21,2020-08-03,6.8,02-28-2021,China Merchants Bank
Q2-21,2020-09-07,6.65,02-28-2021,China Merchants Bank
Q2-21,2020-10-12,6.6,02-28-2021,China Merchants Bank
Q2-21,2020-11-09,6.5,02-28-2021,China Merchants Bank
Q2-21,2020-12-07,6.44,02-28-2021,China Merchants Bank
Q2-21,2021-01-11,6.45,02-28-2021,China Merchants Bank
Q2-21,2021-02-12,6.45,02-28-2021,China Merchants Bank
Q3-21,2020-09-07,6.65,02-28-2021,China Merchants Bank
Q3-21,2020-10-12,6.65,02-28-2021,China Merchants Bank
Q3-21,2020-11-09,6.47,02-28-2021,China Merchants Bank
Q3-21,2020-12-07,6.4,02-28-2021,China Merchants Bank
Q3-21,2021-01-11,6.41,02-28-2021,China Merchants Bank
Q3-21,2021-02-12,6.41,02-28-2021,China Merchants Bank
Q4-21,2020-12-07,6.41,02-28-2021,China Merchants Bank
Q4-21,2021-01-11,6.39,02-28-2021,China Merchants Bank
Q4-21,2021-02-12,6.39,02-28-2021,China Merchants Bank
2022,2020-12-07,6.41,02-28-2021,China Merchants Bank
2022,2021-01-11,6.39,02-28-2021,China Merchants Bank
2022,2021-02-12,6.39,02-28-2021,China Merchants Bank
Q1-20,2020-01-03,6.9,02-28-2020,China Merchants Bank
Q1-20,2020-02-10,7.1,02-28-2020,China Merchants Bank
Q2-20,2020-01-03,7.1,02-28-2020,China Merchants Bank
Q2-20,2020-02-10,7.05,02-28-2020,China Merchants Bank
Q3-20,2020-01-03,7.0,02-28-2020,China Merchants Bank
Q3-20,2020-02-10,7.0,02-28-2020,China Merchants Bank
Q4-20,2020-01-03,6.9,02-28-2020,China Merchants Bank
Q4-20,2020-02-10,6.9,02-28-2020,China Merchants Bank
Q2-20,2020-01-03,7.1,05-31-2020,China Merchants Bank
Q2-20,2020-02-10,7.05,05-31-2020,China Merchants Bank
Q2-20,2020-03-09,6.9,05-31-2020,China Merchants Bank
Q2-20,2020-04-13,7.0,05-31-2020,China Merchants Bank
Q2-20,2020-05-11,7.1,05-31-2020,China Merchants Bank
Q3-20,2020-01-03,7.0,05-31-2020,China Merchants Bank
Q3-20,2020-02-10,7.0,05-31-2020,China Merchants Bank
Q3-20,2020-03-09,6.95,05-31-2020,China Merchants Bank
Q3-20,2020-04-13,6.95,05-31-2020,China Merchants Bank
Q3-20,2020-05-11,7.0,05-31-2020,China Merchants Bank
Q4-20,2020-01-03,6.9,05-31-2020,China Merchants Bank
Q4-20,2020-02-10,6.9,05-31-2020,China Merchants Bank
Q4-20,2020-03-09,6.9,05-31-2020,China Merchants Bank
Q4-20,2020-04-13,6.9,05-31-2020,China Merchants Bank
Q4-20,2020-05-11,6.9,05-31-2020,China Merchants Bank
Q1-21,2020-03-09,6.85,05-31-2020,China Merchants Bank
Q1-21,2020-04-13,6.85,05-31-2020,China Merchants Bank
Q1-21,2020-05-11,6.85,05-31-2020,China Merchants Bank
Q1-22,2021-03-08,6.39,02-28-2022,China Merchants Bank
Q1-22,2021-04-05,6.47,02-28-2022,China Merchants Bank
Q1-22,2021-06-21,6.52,02-28-2022,China Merchants Bank
Q2-22,2021-06-21,6.58,02-28-2022,China Merchants Bank
