period,change_date,change,file,company
Q3-20,2019-11-29,7.1,08-31-2020,Cinkciarz.pl
Q3-20,2020-02-26,7.15,08-31-2020,Cinkciarz.pl
Q3-20,2020-05-29,7.15,08-31-2020,Cinkciarz.pl
Q3-20,2020-08-31,6.95,08-31-2020,Cinkciarz.pl
Q4-20,2020-02-26,7.15,08-31-2020,Cinkciarz.pl
Q4-20,2020-05-29,7.15,08-31-2020,Cinkciarz.pl
Q4-20,2020-08-31,6.95,08-31-2020,Cinkciarz.pl
Q1-21,2020-05-29,7.05,08-31-2020,Cinkciarz.pl
Q1-21,2020-08-31,6.95,08-31-2020,Cinkciarz.pl
Q2-21,2020-08-31,6.95,08-31-2020,Cinkciarz.pl
Q4-16,2015-12-31,6.7,11-30-2016,Cinkciarz.pl
Q4-16,2016-01-18,6.7,11-30-2016,Cinkciarz.pl
Q4-16,2016-02-29,6.7,11-30-2016,Cinkciarz.pl
Q4-16,2016-03-30,6.7,11-30-2016,Cinkciarz.pl
Q4-16,2016-05-10,6.7,11-30-2016,Cinkciarz.pl
Q4-16,2016-06-22,6.65,11-30-2016,Cinkciarz.pl
Q4-16,2016-07-06,6.65,11-30-2016,Cinkciarz.pl
Q4-16,2016-08-29,6.65,11-30-2016,Cinkciarz.pl
Q4-16,2016-10-14,6.65,11-30-2016,Cinkciarz.pl
Q4-16,2016-11-30,6.9,11-30-2016,Cinkciarz.pl
Q1-17,2016-03-30,6.7,11-30-2016,Cinkciarz.pl
Q1-17,2016-05-10,6.7,11-30-2016,Cinkciarz.pl
Q1-17,2016-06-22,6.7,11-30-2016,Cinkciarz.pl
Q1-17,2016-07-06,6.7,11-30-2016,Cinkciarz.pl
Q1-17,2016-08-29,6.7,11-30-2016,Cinkciarz.pl
Q1-17,2016-10-14,6.7,11-30-2016,Cinkciarz.pl
Q1-17,2016-11-30,6.95,11-30-2016,Cinkciarz.pl
Q2-17,2016-06-22,6.75,11-30-2016,Cinkciarz.pl
Q2-17,2016-07-06,6.75,11-30-2016,Cinkciarz.pl
Q2-17,2016-08-29,6.75,11-30-2016,Cinkciarz.pl
Q2-17,2016-10-14,6.8,11-30-2016,Cinkciarz.pl
Q2-17,2016-11-30,7.05,11-30-2016,Cinkciarz.pl
Q3-17,2016-10-14,6.8,11-30-2016,Cinkciarz.pl
Q3-17,2016-11-30,7.05,11-30-2016,Cinkciarz.pl
Q3-16,2015-10-09,6.4,08-31-2016,Cinkciarz.pl
Q3-16,2015-11-18,6.4,08-31-2016,Cinkciarz.pl
Q3-16,2015-12-31,6.7,08-31-2016,Cinkciarz.pl
Q3-16,2016-01-18,6.7,08-31-2016,Cinkciarz.pl
Q3-16,2016-02-29,6.7,08-31-2016,Cinkciarz.pl
Q3-16,2016-03-30,6.55,08-31-2016,Cinkciarz.pl
Q3-16,2016-05-10,6.55,08-31-2016,Cinkciarz.pl
Q3-16,2016-06-22,6.65,08-31-2016,Cinkciarz.pl
Q3-16,2016-07-06,6.65,08-31-2016,Cinkciarz.pl
Q3-16,2016-08-29,6.65,08-31-2016,Cinkciarz.pl
Q4-16,2015-12-31,6.7,08-31-2016,Cinkciarz.pl
Q4-16,2016-01-18,6.7,08-31-2016,Cinkciarz.pl
Q4-16,2016-02-29,6.7,08-31-2016,Cinkciarz.pl
Q4-16,2016-03-30,6.7,08-31-2016,Cinkciarz.pl
Q4-16,2016-05-10,6.7,08-31-2016,Cinkciarz.pl
Q4-16,2016-06-22,6.65,08-31-2016,Cinkciarz.pl
Q4-16,2016-07-06,6.65,08-31-2016,Cinkciarz.pl
Q4-16,2016-08-29,6.65,08-31-2016,Cinkciarz.pl
Q1-17,2016-03-30,6.7,08-31-2016,Cinkciarz.pl
Q1-17,2016-05-10,6.7,08-31-2016,Cinkciarz.pl
Q1-17,2016-06-22,6.7,08-31-2016,Cinkciarz.pl
Q1-17,2016-07-06,6.7,08-31-2016,Cinkciarz.pl
Q1-17,2016-08-29,6.7,08-31-2016,Cinkciarz.pl
Q2-17,2016-06-22,6.75,08-31-2016,Cinkciarz.pl
Q2-17,2016-07-06,6.75,08-31-2016,Cinkciarz.pl
Q2-17,2016-08-29,6.75,08-31-2016,Cinkciarz.pl
Q4-20,2020-02-26,7.15,11-30-2020,Cinkciarz.pl
Q4-20,2020-05-29,7.15,11-30-2020,Cinkciarz.pl
Q4-20,2020-08-31,6.95,11-30-2020,Cinkciarz.pl
Q4-20,2020-09-01,6.95,11-30-2020,Cinkciarz.pl
Q4-20,2020-10-13,6.8,11-30-2020,Cinkciarz.pl
Q4-20,2020-11-17,6.7,11-30-2020,Cinkciarz.pl
Q1-21,2020-05-29,7.05,11-30-2020,Cinkciarz.pl
Q1-21,2020-08-31,6.95,11-30-2020,Cinkciarz.pl
Q1-21,2020-09-01,6.95,11-30-2020,Cinkciarz.pl
Q1-21,2020-10-13,6.9,11-30-2020,Cinkciarz.pl
Q1-21,2020-11-17,6.85,11-30-2020,Cinkciarz.pl
Q2-21,2020-08-31,6.95,11-30-2020,Cinkciarz.pl
Q2-21,2020-09-01,6.95,11-30-2020,Cinkciarz.pl
Q2-21,2020-10-13,6.8,11-30-2020,Cinkciarz.pl
Q2-21,2020-11-17,6.6,11-30-2020,Cinkciarz.pl
Q3-21,2020-10-13,6.75,11-30-2020,Cinkciarz.pl
Q3-21,2020-11-17,6.55,11-30-2020,Cinkciarz.pl
2021,2020-10-13,6.8,11-30-2020,Cinkciarz.pl
2021,2020-11-17,6.7,11-30-2020,Cinkciarz.pl
Q4-21,2020-10-13,6.8,11-30-2021,Cinkciarz.pl
Q4-21,2020-11-17,6.7,11-30-2021,Cinkciarz.pl
Q4-21,2020-12-14,6.6,11-30-2021,Cinkciarz.pl
