period,change_date,change,file,company
Q2-07,2006-06-21,7.45,05-31-2007,Citigroup
Q2-07,2006-07-20,7.45,05-31-2007,Citigroup
Q2-07,2006-08-23,7.5,05-31-2007,Citigroup
Q2-07,2006-11-08,7.5,05-31-2007,Citigroup
Q2-07,2006-12-08,7.48,05-31-2007,Citigroup
Q2-07,2007-01-11,7.52,05-31-2007,Citigroup
Q2-07,2007-01-19,7.53,05-31-2007,Citigroup
Q2-07,2007-02-01,7.55,05-31-2007,Citigroup
Q2-07,2007-02-08,7.56,05-31-2007,Citigroup
Q2-07,2007-02-15,7.57,05-31-2007,Citigroup
Q2-07,2007-02-22,7.57,05-31-2007,Citigroup
Q2-07,2007-03-01,7.57,05-31-2007,Citigroup
Q2-07,2007-03-09,7.59,05-31-2007,Citigroup
Q2-07,2007-03-15,7.6,05-31-2007,Citigroup
Q2-07,2007-03-23,7.62,05-31-2007,Citigroup
Q2-07,2007-03-29,7.45,05-31-2007,Citigroup
Q2-07,2007-04-05,7.47,05-31-2007,Citigroup
Q2-07,2007-04-12,7.5,05-31-2007,Citigroup
Q2-07,2007-04-19,7.52,05-31-2007,Citigroup
Q2-07,2007-05-03,7.58,05-31-2007,Citigroup
Q2-07,2007-05-10,7.61,05-31-2007,Citigroup
Q3-07,2006-11-08,7.35,05-31-2007,Citigroup
Q3-07,2006-12-08,7.41,05-31-2007,Citigroup
Q3-07,2007-01-11,7.43,05-31-2007,Citigroup
Q3-07,2007-01-19,7.44,05-31-2007,Citigroup
Q3-07,2007-02-01,7.43,05-31-2007,Citigroup
Q3-07,2007-02-08,7.44,05-31-2007,Citigroup
Q3-07,2007-02-15,7.45,05-31-2007,Citigroup
Q3-07,2007-02-22,7.46,05-31-2007,Citigroup
Q3-07,2007-03-01,7.44,05-31-2007,Citigroup
Q3-07,2007-03-09,7.45,05-31-2007,Citigroup
Q3-07,2007-03-15,7.46,05-31-2007,Citigroup
Q3-07,2007-03-23,7.46,05-31-2007,Citigroup
Q3-07,2007-03-29,7.3,05-31-2007,Citigroup
Q3-07,2007-04-05,7.31,05-31-2007,Citigroup
Q3-07,2007-04-12,7.32,05-31-2007,Citigroup
Q3-07,2007-04-19,7.33,05-31-2007,Citigroup
Q3-07,2007-05-03,7.36,05-31-2007,Citigroup
Q3-07,2007-05-10,7.37,05-31-2007,Citigroup
Q3-07,2007-05-31,7.38,05-31-2007,Citigroup
Q4-07,2006-03-22,7.42,05-31-2007,Citigroup
