period,change_date,change,file,company
Q2-07,2006-06-16,7.6333,05-31-2007,Commerzbank
Q2-07,2006-07-20,7.6333,05-31-2007,Commerzbank
Q2-07,2006-08-22,7.63,05-31-2007,Commerzbank
Q2-07,2006-12-19,7.73,05-31-2007,Commerzbank
Q2-07,2007-01-26,7.56,05-31-2007,Commerzbank
Q2-07,2007-02-13,7.64,05-31-2007,Commerzbank
Q3-07,2006-12-19,7.64,05-31-2007,Commerzbank
Q3-07,2007-01-26,7.45,05-31-2007,Commerzbank
Q3-07,2007-02-13,7.56,05-31-2007,Commerzbank
Q4-07,2006-05-05,7.6,05-31-2007,Commerzbank
Q4-07,2006-05-12,7.6,05-31-2007,Commerzbank
Q4-07,2006-05-15,7.6,05-31-2007,Commerzbank
Q4-07,2006-06-16,7.6,05-31-2007,Commerzbank
Q4-07,2006-07-20,7.6,05-31-2007,Commerzbank
Q4-07,2006-08-22,7.6,05-31-2007,Commerzbank
Q4-07,2006-12-19,7.56,05-31-2007,Commerzbank
Q4-07,2007-02-13,7.45,05-31-2007,Commerzbank
2008,2006-05-05,7.3,05-31-2007,Commerzbank
2008,2006-05-12,7.3,05-31-2007,Commerzbank
2008,2006-05-15,7.3,05-31-2007,Commerzbank
2008,2006-06-16,7.3,05-31-2007,Commerzbank
2008,2006-07-20,7.3,05-31-2007,Commerzbank
2008,2006-08-22,7.3,05-31-2007,Commerzbank
2009,2006-05-05,7.0,05-31-2007,Commerzbank
2009,2006-05-12,7.0,05-31-2007,Commerzbank
2009,2006-05-15,7.0,05-31-2007,Commerzbank
2009,2006-06-16,7.0,05-31-2007,Commerzbank
2009,2006-07-20,7.0,05-31-2007,Commerzbank
2009,2006-08-22,7.0,05-31-2007,Commerzbank
2010,2006-05-05,6.8,05-31-2007,Commerzbank
2010,2006-05-12,6.8,05-31-2007,Commerzbank
2010,2006-05-15,6.8,05-31-2007,Commerzbank
2010,2006-06-16,6.8,05-31-2007,Commerzbank
2010,2006-07-20,6.8,05-31-2007,Commerzbank
2010,2006-08-22,6.8,05-31-2007,Commerzbank
2011,2006-05-05,6.7,05-31-2007,Commerzbank
2011,2006-05-12,6.7,05-31-2007,Commerzbank
2011,2006-05-15,6.7,05-31-2007,Commerzbank
2011,2006-06-16,6.7,05-31-2007,Commerzbank
2011,2006-07-20,6.7,05-31-2007,Commerzbank
