period,change_date,change,file,company
Q2-07,2006-04-19,7.5468,05-31-2007,Commonwealth Bank of Australia
Q2-07,2006-05-03,7.5468,05-31-2007,Commonwealth Bank of Australia
Q2-07,2006-05-26,7.5468,05-31-2007,Commonwealth Bank of Australia
Q2-07,2006-06-09,7.55,05-31-2007,Commonwealth Bank of Australia
Q2-07,2006-08-08,7.5468,05-31-2007,Commonwealth Bank of Australia
Q2-07,2006-08-25,7.5468,05-31-2007,Commonwealth Bank of Australia
Q4-07,2006-04-19,7.4713,05-31-2007,Commonwealth Bank of Australia
Q4-07,2006-08-08,7.4713,05-31-2007,Commonwealth Bank of Australia
Q4-07,2006-08-25,7.4713,05-31-2007,Commonwealth Bank of Australia
2008,2006-04-19,7.8,05-31-2007,Commonwealth Bank of Australia
2009,2006-04-19,7.7,05-31-2007,Commonwealth Bank of Australia
2010,2006-04-19,7.6,05-31-2007,Commonwealth Bank of Australia
Q2-11,2010-10-26,6.47,05-31-2011,Commonwealth Bank of Australia
Q2-11,2010-11-26,6.47,05-31-2011,Commonwealth Bank of Australia
Q2-11,2011-01-07,6.47,05-31-2011,Commonwealth Bank of Australia
Q2-11,2011-01-31,6.47,05-31-2011,Commonwealth Bank of Australia
Q2-11,2011-03-04,6.47,05-31-2011,Commonwealth Bank of Australia
Q2-11,2011-04-08,6.37,05-31-2011,Commonwealth Bank of Australia
Q2-11,2011-04-13,6.47,05-31-2011,Commonwealth Bank of Australia
Q2-11,2011-04-27,6.47,05-31-2011,Commonwealth Bank of Australia
Q2-11,2011-05-03,6.47,05-31-2011,Commonwealth Bank of Australia
Q3-11,2010-10-26,6.37,05-31-2011,Commonwealth Bank of Australia
Q3-11,2010-11-26,6.37,05-31-2011,Commonwealth Bank of Australia
Q3-11,2011-01-07,6.37,05-31-2011,Commonwealth Bank of Australia
Q3-11,2011-01-31,6.37,05-31-2011,Commonwealth Bank of Australia
Q3-11,2011-03-04,6.37,05-31-2011,Commonwealth Bank of Australia
Q3-11,2011-04-08,6.28,05-31-2011,Commonwealth Bank of Australia
Q3-11,2011-04-13,6.37,05-31-2011,Commonwealth Bank of Australia
Q3-11,2011-04-27,6.37,05-31-2011,Commonwealth Bank of Australia
Q3-11,2011-05-03,6.37,05-31-2011,Commonwealth Bank of Australia
Q4-11,2010-03-08,6.42,05-31-2011,Commonwealth Bank of Australia
Q4-11,2010-04-16,6.42,05-31-2011,Commonwealth Bank of Australia
Q4-11,2010-05-27,6.42,05-31-2011,Commonwealth Bank of Australia
Q4-11,2010-10-26,6.28,05-31-2011,Commonwealth Bank of Australia
Q4-11,2010-11-26,6.28,05-31-2011,Commonwealth Bank of Australia
Q4-11,2011-01-07,6.03,05-31-2011,Commonwealth Bank of Australia
Q4-11,2011-01-31,6.28,05-31-2011,Commonwealth Bank of Australia
Q4-11,2011-03-04,6.28,05-31-2011,Commonwealth Bank of Australia
Q4-11,2011-04-08,6.21,05-31-2011,Commonwealth Bank of Australia
Q4-11,2011-04-13,6.28,05-31-2011,Commonwealth Bank of Australia
Q4-11,2011-04-27,6.28,05-31-2011,Commonwealth Bank of Australia
