period,change_date,change,file,company
Q2-11,2010-01-05,6.43,05-31-2011,Credit Agricole CIB
Q2-11,2010-07-16,6.6,05-31-2011,Credit Agricole CIB
Q2-11,2010-08-18,6.62,05-31-2011,Credit Agricole CIB
Q2-11,2010-09-24,6.62,05-31-2011,Credit Agricole CIB
Q2-11,2010-10-08,6.5,05-31-2011,Credit Agricole CIB
Q2-11,2010-10-19,6.5,05-31-2011,Credit Agricole CIB
Q2-11,2010-11-23,6.5,05-31-2011,Credit Agricole CIB
Q2-11,2011-01-05,6.43,05-31-2011,Credit Agricole CIB
Q2-11,2011-04-01,6.43,05-31-2011,Credit Agricole CIB
Q2-11,2011-05-20,6.43,05-31-2011,Credit Agricole CIB
Q3-11,2010-01-05,6.36,05-31-2011,Credit Agricole CIB
Q3-11,2010-10-19,6.47,05-31-2011,Credit Agricole CIB
Q3-11,2010-11-23,6.47,05-31-2011,Credit Agricole CIB
Q3-11,2011-01-05,6.36,05-31-2011,Credit Agricole CIB
Q3-11,2011-04-01,6.36,05-31-2011,Credit Agricole CIB
Q3-11,2011-05-20,6.36,05-31-2011,Credit Agricole CIB
Q4-11,2010-01-05,6.3,05-31-2011,Credit Agricole CIB
Q4-11,2010-10-19,6.45,05-31-2011,Credit Agricole CIB
Q4-11,2010-11-23,6.45,05-31-2011,Credit Agricole CIB
Q4-11,2011-01-05,6.3,05-31-2011,Credit Agricole CIB
Q4-11,2011-04-01,6.3,05-31-2011,Credit Agricole CIB
Q4-11,2011-05-20,6.3,05-31-2011,Credit Agricole CIB
Q1-12,2011-04-01,6.24,05-31-2011,Credit Agricole CIB
Q1-12,2011-05-20,6.24,05-31-2011,Credit Agricole CIB
2012,2010-01-05,6.05,05-31-2011,Credit Agricole CIB
2012,2011-01-05,6.05,05-31-2011,Credit Agricole CIB
2012,2011-04-01,6.05,05-31-2011,Credit Agricole CIB
2012,2011-05-20,6.05,05-31-2011,Credit Agricole CIB
Q3-20,2020-02-24,6.9,08-31-2020,Credit Agricole CIB
Q3-20,2020-07-31,7.1,08-31-2020,Credit Agricole CIB
Q4-20,2019-01-16,6.65,08-31-2020,Credit Agricole CIB
Q4-20,2019-02-15,6.65,08-31-2020,Credit Agricole CIB
Q4-20,2019-02-19,6.65,08-31-2020,Credit Agricole CIB
Q4-20,2019-03-01,6.65,08-31-2020,Credit Agricole CIB
Q4-20,2019-03-05,6.65,08-31-2020,Credit Agricole CIB
Q4-20,2019-04-05,6.55,08-31-2020,Credit Agricole CIB
Q4-20,2019-05-23,6.55,08-31-2020,Credit Agricole CIB
Q4-20,2019-08-09,7.3,08-31-2020,Credit Agricole CIB
Q4-20,2019-09-25,7.3,08-31-2020,Credit Agricole CIB
Q4-20,2019-11-18,7.3,08-31-2020,Credit Agricole CIB
Q4-20,2020-02-24,6.95,08-31-2020,Credit Agricole CIB
Q4-20,2020-07-31,7.05,08-31-2020,Credit Agricole CIB
Q1-21,2020-07-31,7.0,08-31-2020,Credit Agricole CIB
Q2-21,2020-07-31,6.95,08-31-2020,Credit Agricole CIB
2021,2019-09-25,7.2,08-31-2020,Credit Agricole CIB
2021,2019-11-18,7.2,08-31-2020,Credit Agricole CIB
2021,2020-02-24,7.05,08-31-2020,Credit Agricole CIB
2021,2020-07-31,6.85,08-31-2020,Credit Agricole CIB
Q4-16,2015-05-21,6.05,11-30-2016,Credit Agricole CIB
Q4-16,2015-09-11,6.35,11-30-2016,Credit Agricole CIB
Q4-16,2015-12-07,6.35,11-30-2016,Credit Agricole CIB
Q4-16,2015-12-18,6.35,11-30-2016,Credit Agricole CIB
Q4-16,2016-03-04,6.35,11-30-2016,Credit Agricole CIB
Q4-16,2016-10-25,6.8,11-30-2016,Credit Agricole CIB
Q1-17,2016-03-04,6.31,11-30-2016,Credit Agricole CIB
Q1-17,2016-10-25,6.83,11-30-2016,Credit Agricole CIB
Q2-17,2016-10-25,6.85,11-30-2016,Credit Agricole CIB
Q3-17,2016-10-25,6.8,11-30-2016,Credit Agricole CIB
2017,2016-03-04,6.2,11-30-2016,Credit Agricole CIB
2017,2016-10-25,6.7,11-30-2016,Credit Agricole CIB
Q1-11,2010-01-05,6.51,02-28-2011,Credit Agricole CIB
Q1-11,2010-04-12,6.43,02-28-2011,Credit Agricole CIB
Q1-11,2010-05-18,6.43,02-28-2011,Credit Agricole CIB
Q1-11,2010-06-15,6.6,02-28-2011,Credit Agricole CIB
Q1-11,2010-07-16,6.67,02-28-2011,Credit Agricole CIB
Q1-11,2010-08-18,6.67,02-28-2011,Credit Agricole CIB
Q1-11,2010-09-24,6.67,02-28-2011,Credit Agricole CIB
Q1-11,2010-10-08,6.56,02-28-2011,Credit Agricole CIB
Q1-11,2010-10-19,6.56,02-28-2011,Credit Agricole CIB
Q1-11,2010-11-23,6.56,02-28-2011,Credit Agricole CIB
