period,change_date,change,file,company
Q2-07,2006-10-11,7.55,05-31-2007,Credit Suisse Group
Q2-07,2006-11-17,7.63,05-31-2007,Credit Suisse Group
Q2-07,2006-12-08,7.63,05-31-2007,Credit Suisse Group
Q2-07,2007-01-12,7.63,05-31-2007,Credit Suisse Group
Q2-07,2007-02-01,7.67,05-31-2007,Credit Suisse Group
Q2-07,2007-03-12,7.67,05-31-2007,Credit Suisse Group
Q2-07,2007-04-05,7.67,05-31-2007,Credit Suisse Group
Q2-07,2007-05-14,7.66,05-31-2007,Credit Suisse Group
Q3-07,2006-10-11,7.47,05-31-2007,Credit Suisse Group
Q3-07,2006-11-17,7.56,05-31-2007,Credit Suisse Group
Q3-07,2006-12-08,7.55,05-31-2007,Credit Suisse Group
Q3-07,2007-01-12,7.55,05-31-2007,Credit Suisse Group
Q3-07,2007-02-01,7.5,05-31-2007,Credit Suisse Group
Q3-07,2007-03-12,7.5,05-31-2007,Credit Suisse Group
Q3-07,2007-04-05,7.5,05-31-2007,Credit Suisse Group
Q3-07,2007-05-14,7.61,05-31-2007,Credit Suisse Group
Q4-07,2006-12-08,7.47,05-31-2007,Credit Suisse Group
Q4-07,2007-01-12,7.47,05-31-2007,Credit Suisse Group
Q4-07,2007-02-01,7.33,05-31-2007,Credit Suisse Group
Q4-07,2007-03-12,7.41,05-31-2007,Credit Suisse Group
Q4-07,2007-04-05,7.41,05-31-2007,Credit Suisse Group
Q4-07,2007-05-14,7.47,05-31-2007,Credit Suisse Group
Q1-08,2007-03-12,7.33,05-31-2007,Credit Suisse Group
Q1-08,2007-04-05,7.33,05-31-2007,Credit Suisse Group
Q1-08,2007-05-14,7.33,05-31-2007,Credit Suisse Group
Q2-11,2010-07-13,6.44,05-31-2011,Credit Suisse Group
Q2-11,2010-07-19,6.44,05-31-2011,Credit Suisse Group
Q2-11,2010-07-27,6.45,05-31-2011,Credit Suisse Group
Q2-11,2010-09-14,6.5,05-31-2011,Credit Suisse Group
Q2-11,2010-10-06,6.44,05-31-2011,Credit Suisse Group
Q2-11,2010-10-28,6.46,05-31-2011,Credit Suisse Group
Q2-11,2010-11-12,6.4,05-31-2011,Credit Suisse Group
Q2-11,2010-12-10,6.42,05-31-2011,Credit Suisse Group
Q2-11,2011-01-19,6.43,05-31-2011,Credit Suisse Group
Q2-11,2011-02-09,6.45,05-31-2011,Credit Suisse Group
Q2-11,2011-03-04,6.48,05-31-2011,Credit Suisse Group
Q2-11,2011-03-09,6.48,05-31-2011,Credit Suisse Group
Q2-11,2011-04-06,6.5,05-31-2011,Credit Suisse Group
Q2-11,2011-05-10,6.45,05-31-2011,Credit Suisse Group
Q3-11,2010-10-06,6.35,05-31-2011,Credit Suisse Group
Q3-11,2010-10-28,6.38,05-31-2011,Credit Suisse Group
Q3-11,2010-11-12,6.33,05-31-2011,Credit Suisse Group
Q3-11,2010-12-10,6.36,05-31-2011,Credit Suisse Group
Q3-11,2011-01-19,6.32,05-31-2011,Credit Suisse Group
Q3-11,2011-02-09,6.37,05-31-2011,Credit Suisse Group
Q3-11,2011-03-04,6.39,05-31-2011,Credit Suisse Group
Q3-11,2011-03-09,6.4,05-31-2011,Credit Suisse Group
Q3-11,2011-04-06,6.42,05-31-2011,Credit Suisse Group
Q3-11,2011-05-10,6.37,05-31-2011,Credit Suisse Group
Q4-11,2010-06-23,6.53,05-31-2011,Credit Suisse Group
Q4-11,2010-10-06,6.27,05-31-2011,Credit Suisse Group
Q4-11,2010-10-28,6.29,05-31-2011,Credit Suisse Group
Q4-11,2010-11-12,6.26,05-31-2011,Credit Suisse Group
Q4-11,2010-12-10,6.28,05-31-2011,Credit Suisse Group
Q4-11,2011-01-19,6.25,05-31-2011,Credit Suisse Group
Q4-11,2011-02-09,6.29,05-31-2011,Credit Suisse Group
Q4-11,2011-03-04,6.31,05-31-2011,Credit Suisse Group
Q4-11,2011-03-09,6.31,05-31-2011,Credit Suisse Group
Q4-11,2011-04-06,6.34,05-31-2011,Credit Suisse Group
Q4-11,2011-05-10,6.44,05-31-2011,Credit Suisse Group
Q1-12,2011-02-09,6.2,05-31-2011,Credit Suisse Group
Q1-12,2011-03-04,6.23,05-31-2011,Credit Suisse Group
Q1-12,2011-03-09,6.23,05-31-2011,Credit Suisse Group
Q1-12,2011-04-06,6.26,05-31-2011,Credit Suisse Group
Q1-12,2011-05-10,6.45,05-31-2011,Credit Suisse Group
Q4-16,2015-12-11,6.58,11-30-2016,Credit Suisse Group
Q4-16,2016-01-05,6.78,11-30-2016,Credit Suisse Group
Q4-16,2016-01-13,6.77,11-30-2016,Credit Suisse Group
Q4-16,2016-01-18,6.77,11-30-2016,Credit Suisse Group
Q4-16,2016-01-27,6.76,11-30-2016,Credit Suisse Group
Q4-16,2016-01-29,6.76,11-30-2016,Credit Suisse Group
Q4-16,2016-02-03,6.76,11-30-2016,Credit Suisse Group
Q4-16,2016-02-10,6.75,11-30-2016,Credit Suisse Group
Q4-16,2016-02-17,6.75,11-30-2016,Credit Suisse Group
Q4-16,2016-02-22,6.75,11-30-2016,Credit Suisse Group
Q4-16,2016-03-09,6.73,11-30-2016,Credit Suisse Group
Q4-16,2016-03-17,6.6,11-30-2016,Credit Suisse Group
Q4-16,2016-04-14,6.57,11-30-2016,Credit Suisse Group
Q4-16,2016-05-12,6.55,11-30-2016,Credit Suisse Group
Q4-16,2016-05-19,6.67,11-30-2016,Credit Suisse Group
Q4-16,2016-05-25,6.66,11-30-2016,Credit Suisse Group
Q4-16,2016-06-01,6.74,11-30-2016,Credit Suisse Group
Q4-16,2016-06-15,6.73,11-30-2016,Credit Suisse Group
Q4-16,2016-06-29,6.79,11-30-2016,Credit Suisse Group
Q4-16,2016-07-13,6.85,11-30-2016,Credit Suisse Group
Q4-16,2016-07-28,6.84,11-30-2016,Credit Suisse Group
Q4-16,2016-08-03,6.83,11-30-2016,Credit Suisse Group
Q4-16,2016-08-24,6.83,11-30-2016,Credit Suisse Group
Q4-16,2016-09-09,6.82,11-30-2016,Credit Suisse Group
Q4-16,2016-09-23,6.81,11-30-2016,Credit Suisse Group
Q4-16,2016-09-26,6.71,11-30-2016,Credit Suisse Group
Q4-16,2016-09-28,6.71,11-30-2016,Credit Suisse Group
Q4-16,2016-10-10,6.71,11-30-2016,Credit Suisse Group
Q4-16,2016-10-12,6.78,11-30-2016,Credit Suisse Group
Q4-16,2016-10-17,6.78,11-30-2016,Credit Suisse Group
Q4-16,2016-10-19,6.78,11-30-2016,Credit Suisse Group
Q4-16,2016-10-24,6.78,11-30-2016,Credit Suisse Group
Q4-16,2016-10-27,6.85,11-30-2016,Credit Suisse Group
Q4-16,2016-11-02,6.85,11-30-2016,Credit Suisse Group
Q4-16,2016-11-16,6.93,11-30-2016,Credit Suisse Group
Q4-16,2016-11-24,6.94,11-30-2016,Credit Suisse Group
Q4-16,2016-11-30,6.93,11-30-2016,Credit Suisse Group
Q1-17,2016-03-09,6.79,11-30-2016,Credit Suisse Group
Q1-17,2016-03-17,6.66,11-30-2016,Credit Suisse Group
Q1-17,2016-04-14,6.64,11-30-2016,Credit Suisse Group
Q1-17,2016-05-12,6.62,11-30-2016,Credit Suisse Group
Q1-17,2016-05-19,6.72,11-30-2016,Credit Suisse Group
Q1-17,2016-05-25,6.72,11-30-2016,Credit Suisse Group
Q1-17,2016-06-01,6.8,11-30-2016,Credit Suisse Group
Q1-17,2016-06-15,6.79,11-30-2016,Credit Suisse Group
Q1-17,2016-06-29,6.87,11-30-2016,Credit Suisse Group
Q1-17,2016-07-13,6.89,11-30-2016,Credit Suisse Group
Q1-17,2016-07-28,6.88,11-30-2016,Credit Suisse Group
Q1-17,2016-08-03,6.88,11-30-2016,Credit Suisse Group
Q1-17,2016-08-24,6.86,11-30-2016,Credit Suisse Group
Q1-17,2016-09-09,6.86,11-30-2016,Credit Suisse Group
Q1-17,2016-09-23,6.85,11-30-2016,Credit Suisse Group
Q1-17,2016-09-26,6.74,11-30-2016,Credit Suisse Group
Q1-17,2016-09-28,6.74,11-30-2016,Credit Suisse Group
Q1-17,2016-10-10,6.74,11-30-2016,Credit Suisse Group
Q1-17,2016-10-12,6.81,11-30-2016,Credit Suisse Group
Q1-17,2016-10-17,6.81,11-30-2016,Credit Suisse Group
Q1-17,2016-10-19,6.81,11-30-2016,Credit Suisse Group
Q1-17,2016-10-24,6.81,11-30-2016,Credit Suisse Group
Q1-17,2016-10-27,6.96,11-30-2016,Credit Suisse Group
Q1-17,2016-11-02,6.95,11-30-2016,Credit Suisse Group
Q1-17,2016-11-16,7.07,11-30-2016,Credit Suisse Group
Q1-17,2016-11-24,7.05,11-30-2016,Credit Suisse Group
Q1-17,2016-11-30,7.05,11-30-2016,Credit Suisse Group
Q2-17,2016-06-01,6.87,11-30-2016,Credit Suisse Group
Q2-17,2016-06-15,6.86,11-30-2016,Credit Suisse Group
Q2-17,2016-06-29,6.95,11-30-2016,Credit Suisse Group
Q2-17,2016-07-13,6.94,11-30-2016,Credit Suisse Group
Q2-17,2016-07-28,6.93,11-30-2016,Credit Suisse Group
Q2-17,2016-08-03,6.93,11-30-2016,Credit Suisse Group
Q2-17,2016-08-24,6.91,11-30-2016,Credit Suisse Group
Q2-17,2016-09-09,6.9,11-30-2016,Credit Suisse Group
Q2-17,2016-09-23,6.9,11-30-2016,Credit Suisse Group
Q2-17,2016-09-26,6.77,11-30-2016,Credit Suisse Group
Q2-17,2016-09-28,6.77,11-30-2016,Credit Suisse Group
Q2-17,2016-10-10,6.77,11-30-2016,Credit Suisse Group
Q2-17,2016-10-12,6.83,11-30-2016,Credit Suisse Group
Q2-17,2016-10-17,6.83,11-30-2016,Credit Suisse Group
Q2-17,2016-10-19,6.83,11-30-2016,Credit Suisse Group
Q2-17,2016-10-24,6.83,11-30-2016,Credit Suisse Group
Q2-17,2016-10-27,7.03,11-30-2016,Credit Suisse Group
Q2-17,2016-11-02,7.03,11-30-2016,Credit Suisse Group
Q2-17,2016-11-16,7.17,11-30-2016,Credit Suisse Group
Q2-17,2016-11-24,7.16,11-30-2016,Credit Suisse Group
Q2-17,2016-11-30,7.15,11-30-2016,Credit Suisse Group
Q3-17,2016-09-09,6.96,11-30-2016,Credit Suisse Group
Q3-17,2016-09-23,6.95,11-30-2016,Credit Suisse Group
Q3-17,2016-09-26,6.8,11-30-2016,Credit Suisse Group
Q3-17,2016-09-28,6.8,11-30-2016,Credit Suisse Group
Q3-17,2016-10-10,6.8,11-30-2016,Credit Suisse Group
Q3-17,2016-10-12,6.86,11-30-2016,Credit Suisse Group
Q3-17,2016-10-17,6.86,11-30-2016,Credit Suisse Group
Q3-17,2016-10-19,6.85,11-30-2016,Credit Suisse Group
Q3-17,2016-10-24,6.85,11-30-2016,Credit Suisse Group
Q3-17,2016-10-27,7.12,11-30-2016,Credit Suisse Group
Q3-17,2016-11-02,7.12,11-30-2016,Credit Suisse Group
Q3-17,2016-11-16,7.27,11-30-2016,Credit Suisse Group
Q3-17,2016-11-24,7.27,11-30-2016,Credit Suisse Group
Q3-17,2016-11-30,7.26,11-30-2016,Credit Suisse Group
Q1-11,2010-04-14,6.44,02-28-2011,Credit Suisse Group
Q1-11,2010-05-05,6.47,02-28-2011,Credit Suisse Group
Q1-11,2010-05-19,6.48,02-28-2011,Credit Suisse Group
Q1-11,2010-06-23,6.66,02-28-2011,Credit Suisse Group
Q1-11,2010-07-13,6.56,02-28-2011,Credit Suisse Group
Q1-11,2010-07-19,6.53,02-28-2011,Credit Suisse Group
Q1-11,2010-07-27,6.54,02-28-2011,Credit Suisse Group
Q1-11,2010-09-14,6.59,02-28-2011,Credit Suisse Group
Q1-11,2010-10-06,6.52,02-28-2011,Credit Suisse Group
Q1-11,2010-10-28,6.54,02-28-2011,Credit Suisse Group
Q1-11,2010-11-12,6.46,02-28-2011,Credit Suisse Group
Q1-11,2010-12-10,6.48,02-28-2011,Credit Suisse Group
Q1-11,2011-01-19,6.5,02-28-2011,Credit Suisse Group
Q1-11,2011-02-09,6.54,02-28-2011,Credit Suisse Group
Q2-11,2010-07-13,6.44,02-28-2011,Credit Suisse Group
Q2-11,2010-07-19,6.44,02-28-2011,Credit Suisse Group
Q2-11,2010-07-27,6.45,02-28-2011,Credit Suisse Group
Q2-11,2010-09-14,6.5,02-28-2011,Credit Suisse Group
Q2-11,2010-10-06,6.44,02-28-2011,Credit Suisse Group
Q2-11,2010-10-28,6.46,02-28-2011,Credit Suisse Group
Q2-11,2010-11-12,6.4,02-28-2011,Credit Suisse Group
Q2-11,2010-12-10,6.42,02-28-2011,Credit Suisse Group
Q2-11,2011-01-19,6.43,02-28-2011,Credit Suisse Group
Q2-11,2011-02-09,6.45,02-28-2011,Credit Suisse Group
Q3-11,2010-10-06,6.35,02-28-2011,Credit Suisse Group
Q3-11,2010-10-28,6.38,02-28-2011,Credit Suisse Group
Q3-11,2010-11-12,6.33,02-28-2011,Credit Suisse Group
Q3-11,2010-12-10,6.36,02-28-2011,Credit Suisse Group
Q3-11,2011-01-19,6.32,02-28-2011,Credit Suisse Group
Q3-11,2011-02-09,6.37,02-28-2011,Credit Suisse Group
Q4-11,2010-06-23,6.53,02-28-2011,Credit Suisse Group
