period,change_date,change,file,company
Q2-11,2011-02-07,6.53,05-31-2011,DNB
Q2-11,2011-03-22,6.53,05-31-2011,DNB
Q2-11,2011-04-29,6.47,05-31-2011,DNB
Q3-11,2011-02-07,6.49,05-31-2011,DNB
Q3-11,2011-03-22,6.49,05-31-2011,DNB
Q3-11,2011-04-29,6.44,05-31-2011,DNB
Q4-11,2011-02-07,6.43,05-31-2011,DNB
Q4-11,2011-03-22,6.44,05-31-2011,DNB
Q4-11,2011-04-29,6.4,05-31-2011,DNB
Q3-20,2019-09-05,7.2,08-31-2020,DNB
Q3-20,2019-10-02,7.2,08-31-2020,DNB
Q3-20,2019-11-05,7.12,08-31-2020,DNB
Q3-20,2019-12-19,7.13,08-31-2020,DNB
Q3-20,2020-01-30,6.95,08-31-2020,DNB
Q3-20,2020-05-06,7.0,08-31-2020,DNB
Q3-20,2020-05-07,7.0,08-31-2020,DNB
Q4-20,2018-09-04,6.71,08-31-2020,DNB
Q4-20,2018-10-30,6.71,08-31-2020,DNB
Q4-20,2018-12-05,6.8,08-31-2020,DNB
Q4-20,2019-01-30,7.1,08-31-2020,DNB
Q4-20,2019-05-06,7.03,08-31-2020,DNB
Q4-20,2019-06-14,7.1,08-31-2020,DNB
Q4-20,2019-12-19,7.15,08-31-2020,DNB
Q4-20,2020-01-30,6.96,08-31-2020,DNB
Q4-20,2020-05-06,6.96,08-31-2020,DNB
Q4-20,2020-05-07,7.0,08-31-2020,DNB
Q1-21,2020-05-06,6.99,08-31-2020,DNB
Q1-21,2020-05-07,7.0,08-31-2020,DNB
2021,2018-09-04,6.74,08-31-2020,DNB
2021,2018-10-30,6.74,08-31-2020,DNB
2021,2018-12-05,6.7,08-31-2020,DNB
2021,2019-01-30,7.1,08-31-2020,DNB
2021,2019-05-06,7.1,08-31-2020,DNB
2021,2019-06-14,7.1,08-31-2020,DNB
2022,2018-12-05,6.75,08-31-2020,DNB
2022,2019-05-06,7.1,08-31-2020,DNB
2022,2019-06-14,7.1,08-31-2020,DNB
Q4-16,2015-08-04,6.03,11-30-2016,DNB
Q4-16,2015-08-21,7.08,11-30-2016,DNB
Q4-16,2015-09-25,7.06,11-30-2016,DNB
Q4-16,2015-11-02,7.03,11-30-2016,DNB
Q4-16,2015-11-23,7.03,11-30-2016,DNB
Q4-16,2016-03-01,6.94,11-30-2016,DNB
Q4-16,2016-04-04,6.91,11-30-2016,DNB
Q4-16,2016-05-05,6.89,11-30-2016,DNB
Q4-16,2016-06-29,6.73,11-30-2016,DNB
Q4-16,2016-08-18,6.78,11-30-2016,DNB
Q4-16,2016-09-01,6.76,11-30-2016,DNB
Q4-16,2016-09-05,6.76,11-30-2016,DNB
Q4-16,2016-10-03,6.74,11-30-2016,DNB
Q4-16,2016-11-02,6.83,11-30-2016,DNB
Q4-16,2016-11-21,6.96,11-30-2016,DNB
Q1-17,2016-04-04,6.99,11-30-2016,DNB
