period,change_date,change,file,company
Q3-20,2019-09-04,7.4,08-31-2020,DZ Bank
Q3-20,2019-10-21,7.35,08-31-2020,DZ Bank
Q3-20,2019-11-25,7.28,08-31-2020,DZ Bank
Q3-20,2020-01-09,7.28,08-31-2020,DZ Bank
Q3-20,2020-05-15,7.22,08-31-2020,DZ Bank
Q3-20,2020-06-03,7.12,08-31-2020,DZ Bank
Q3-20,2020-07-16,7.05,08-31-2020,DZ Bank
Q4-20,2020-01-09,7.3,08-31-2020,DZ Bank
Q4-20,2020-02-17,7.23,08-31-2020,DZ Bank
Q4-20,2020-03-13,7.2,08-31-2020,DZ Bank
Q4-20,2020-05-15,7.25,08-31-2020,DZ Bank
Q4-20,2020-06-03,7.18,08-31-2020,DZ Bank
Q4-20,2020-07-16,7.1,08-31-2020,DZ Bank
Q1-21,2020-02-17,7.28,08-31-2020,DZ Bank
Q1-21,2020-03-13,7.25,08-31-2020,DZ Bank
Q1-21,2020-05-15,7.25,08-31-2020,DZ Bank
Q1-21,2020-06-03,7.25,08-31-2020,DZ Bank
Q1-21,2020-07-16,7.13,08-31-2020,DZ Bank
Q2-21,2020-06-03,7.25,08-31-2020,DZ Bank
Q2-21,2020-07-16,7.15,08-31-2020,DZ Bank
Q4-16,2015-08-04,6.7,11-30-2016,DZ Bank
Q4-16,2016-06-06,6.7,11-30-2016,DZ Bank
Q4-16,2016-06-27,6.7,11-30-2016,DZ Bank
Q4-16,2016-08-01,6.78,11-30-2016,DZ Bank
Q4-16,2016-09-05,6.75,11-30-2016,DZ Bank
Q4-16,2016-10-04,6.75,11-30-2016,DZ Bank
Q4-16,2016-10-28,6.79,11-30-2016,DZ Bank
Q4-16,2016-11-29,6.9,11-30-2016,DZ Bank
Q1-17,2016-06-06,6.73,11-30-2016,DZ Bank
Q1-17,2016-06-27,6.73,11-30-2016,DZ Bank
Q1-17,2016-08-01,6.83,11-30-2016,DZ Bank
Q1-17,2016-09-05,6.9,11-30-2016,DZ Bank
Q1-17,2016-10-04,6.9,11-30-2016,DZ Bank
Q1-17,2016-10-28,6.87,11-30-2016,DZ Bank
Q1-17,2016-11-29,6.93,11-30-2016,DZ Bank
Q2-17,2016-06-06,6.75,11-30-2016,DZ Bank
Q2-17,2016-06-27,6.75,11-30-2016,DZ Bank
Q2-17,2016-08-01,6.88,11-30-2016,DZ Bank
Q2-17,2016-09-05,6.95,11-30-2016,DZ Bank
Q2-17,2016-10-04,6.95,11-30-2016,DZ Bank
Q2-17,2016-10-28,6.93,11-30-2016,DZ Bank
Q2-17,2016-11-29,7.03,11-30-2016,DZ Bank
Q3-17,2016-09-05,7.0,11-30-2016,DZ Bank
Q3-17,2016-10-04,7.0,11-30-2016,DZ Bank
Q3-17,2016-10-28,6.98,11-30-2016,DZ Bank
Q3-17,2016-11-29,7.1,11-30-2016,DZ Bank
Q3-16,2016-06-06,6.6,08-31-2016,DZ Bank
Q3-16,2016-06-27,6.6,08-31-2016,DZ Bank
Q3-16,2016-08-01,6.72,08-31-2016,DZ Bank
Q4-16,2015-08-04,6.7,08-31-2016,DZ Bank
Q4-16,2016-06-06,6.7,08-31-2016,DZ Bank
