period,change_date,change,file,company
Q4-20,2019-08-23,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2019-10-09,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-02-18,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-03-17,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-07-24,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-01-02,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-02-18,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-03-17,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-07-24,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
2022,2020-01-02,7.6,08-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2019-08-23,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2019-10-09,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-02-18,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-03-17,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-07-24,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-01-02,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-02-18,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-03-17,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-07-24,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
2022,2020-01-02,7.6,11-30-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-01-02,7.6,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-02-18,7.6,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-03-17,7.6,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-07-24,7.6,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-12-03,7.6,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2021-01-13,7.0,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-01-02,7.6,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-12-03,7.6,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2021-01-13,7.0,11-30-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-01-02,7.6,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-02-18,7.6,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-03-17,7.6,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-07-24,7.6,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-12-03,7.6,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2021-01-13,7.0,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-01-02,7.6,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-12-03,7.6,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2021-01-13,7.0,08-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-01-02,7.6,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-02-18,7.6,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-03-17,7.6,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-07-24,7.6,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-12-03,7.6,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2021-01-13,7.0,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-01-02,7.6,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-12-03,7.6,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2021-01-13,7.0,05-31-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-01-02,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-02-18,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-03-17,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-07-24,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2020-12-03,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-21,2021-01-13,7.0,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-01-02,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-02-18,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-03-17,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-07-24,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2020-12-03,7.6,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
2022,2021-01-13,7.0,02-28-2021,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2019-08-23,7.6,02-28-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2019-10-09,7.6,02-28-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-02-18,7.6,02-28-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-01-02,7.6,02-28-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-02-18,7.6,02-28-2020,Daiwa Capital Markets Hong Kong Ltd
2022,2020-01-02,7.6,02-28-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2019-08-23,7.6,05-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2019-10-09,7.6,05-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-02-18,7.6,05-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-20,2020-03-17,7.6,05-31-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-01-02,7.6,05-31-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-02-18,7.6,05-31-2020,Daiwa Capital Markets Hong Kong Ltd
2021,2020-03-17,7.6,05-31-2020,Daiwa Capital Markets Hong Kong Ltd
2022,2020-01-02,7.6,05-31-2020,Daiwa Capital Markets Hong Kong Ltd
Q4-22,2020-12-03,7.6,02-28-2022,Daiwa Capital Markets Hong Kong Ltd
Q4-22,2021-01-13,7.0,02-28-2022,Daiwa Capital Markets Hong Kong Ltd
2020,2019-08-23,7.6,11-30-2019,Daiwa Capital Markets Hong Kong Ltd
2020,2019-10-09,7.6,11-30-2019,Daiwa Capital Markets Hong Kong Ltd
Q4-19,2019-10-09,7.6,11-30-2019,Daiwa Capital Markets Hong Kong Ltd
2020,2019-08-23,7.6,08-31-2019,Daiwa Capital Markets Hong Kong Ltd
