period,change_date,change,file,company
Q2-07,2006-06-01,7.7,05-31-2007,Danske Bank
Q2-07,2006-06-08,7.7,05-31-2007,Danske Bank
Q2-07,2006-06-15,7.7,05-31-2007,Danske Bank
Q2-07,2006-06-22,7.7,05-31-2007,Danske Bank
Q2-07,2006-06-30,7.7,05-31-2007,Danske Bank
Q2-07,2006-07-06,7.7,05-31-2007,Danske Bank
Q2-07,2006-07-14,7.7,05-31-2007,Danske Bank
Q2-07,2006-07-28,7.7,05-31-2007,Danske Bank
Q2-07,2006-08-03,7.7,05-31-2007,Danske Bank
Q2-07,2006-08-11,7.65,05-31-2007,Danske Bank
Q2-07,2006-08-17,7.65,05-31-2007,Danske Bank
Q2-07,2006-08-24,7.65,05-31-2007,Danske Bank
Q2-07,2006-09-01,7.65,05-31-2007,Danske Bank
Q2-07,2006-09-07,7.65,05-31-2007,Danske Bank
Q2-07,2006-09-15,7.65,05-31-2007,Danske Bank
Q2-07,2006-09-21,7.65,05-31-2007,Danske Bank
Q2-07,2006-10-02,7.7,05-31-2007,Danske Bank
Q2-07,2006-10-27,7.7,05-31-2007,Danske Bank
Q2-07,2006-11-27,7.65,05-31-2007,Danske Bank
Q2-07,2006-12-07,7.61,05-31-2007,Danske Bank
Q2-07,2006-12-14,7.61,05-31-2007,Danske Bank
Q2-07,2006-12-21,7.61,05-31-2007,Danske Bank
Q2-07,2006-12-28,7.61,05-31-2007,Danske Bank
Q2-07,2007-01-04,7.61,05-31-2007,Danske Bank
Q2-07,2007-01-11,7.61,05-31-2007,Danske Bank
Q2-07,2007-01-18,7.61,05-31-2007,Danske Bank
Q2-07,2007-02-01,7.61,05-31-2007,Danske Bank
Q2-07,2007-02-08,7.61,05-31-2007,Danske Bank
Q2-07,2007-02-09,7.61,05-31-2007,Danske Bank
Q2-07,2007-02-16,7.61,05-31-2007,Danske Bank
Q2-07,2007-02-23,7.61,05-31-2007,Danske Bank
Q2-07,2007-03-01,7.58,05-31-2007,Danske Bank
Q2-07,2007-03-02,7.58,05-31-2007,Danske Bank
Q2-07,2007-03-08,7.64,05-31-2007,Danske Bank
Q2-07,2007-03-15,7.64,05-31-2007,Danske Bank
Q2-07,2007-03-23,7.64,05-31-2007,Danske Bank
Q2-07,2007-03-29,7.64,05-31-2007,Danske Bank
Q2-07,2007-04-09,7.59,05-31-2007,Danske Bank
Q2-07,2007-04-12,7.59,05-31-2007,Danske Bank
