period,change_date,change,file,company
Q2-07,2006-06-19,7.75,05-31-2007,Deutsche Bank
Q2-07,2006-06-22,7.75,05-31-2007,Deutsche Bank
Q2-07,2006-08-08,7.7,05-31-2007,Deutsche Bank
Q2-07,2006-08-11,7.7,05-31-2007,Deutsche Bank
Q2-07,2006-08-17,7.7,05-31-2007,Deutsche Bank
Q2-07,2006-08-28,7.7,05-31-2007,Deutsche Bank
Q2-07,2006-08-31,7.7,05-31-2007,Deutsche Bank
Q2-07,2006-09-08,7.69,05-31-2007,Deutsche Bank
Q2-07,2006-09-15,7.69,05-31-2007,Deutsche Bank
Q2-07,2006-09-21,7.69,05-31-2007,Deutsche Bank
Q2-07,2006-10-27,7.66,05-31-2007,Deutsche Bank
Q2-07,2006-11-07,7.66,05-31-2007,Deutsche Bank
Q2-07,2006-11-28,7.66,05-31-2007,Deutsche Bank
Q2-07,2006-12-07,7.75,05-31-2007,Deutsche Bank
Q2-07,2006-12-15,7.6,05-31-2007,Deutsche Bank
Q2-07,2006-12-21,7.6,05-31-2007,Deutsche Bank
Q2-07,2007-01-04,7.6,05-31-2007,Deutsche Bank
Q2-07,2007-01-11,7.6,05-31-2007,Deutsche Bank
Q2-07,2007-01-19,7.6,05-31-2007,Deutsche Bank
Q2-07,2007-02-02,7.6,05-31-2007,Deutsche Bank
Q2-07,2007-02-08,7.6,05-31-2007,Deutsche Bank
Q2-07,2007-02-15,7.6,05-31-2007,Deutsche Bank
Q2-07,2007-02-23,7.63,05-31-2007,Deutsche Bank
Q2-07,2007-03-08,7.68,05-31-2007,Deutsche Bank
Q2-07,2007-03-16,7.68,05-31-2007,Deutsche Bank
Q2-07,2007-03-23,7.63,05-31-2007,Deutsche Bank
Q2-07,2007-03-29,7.63,05-31-2007,Deutsche Bank
Q2-07,2007-04-05,7.63,05-31-2007,Deutsche Bank
Q2-07,2007-05-16,7.63,05-31-2007,Deutsche Bank
Q3-07,2006-09-08,7.63,05-31-2007,Deutsche Bank
Q3-07,2006-09-15,7.63,05-31-2007,Deutsche Bank
Q3-07,2006-09-21,7.63,05-31-2007,Deutsche Bank
Q3-07,2006-10-27,7.63,05-31-2007,Deutsche Bank
Q3-07,2006-11-07,7.63,05-31-2007,Deutsche Bank
Q3-07,2006-11-28,7.63,05-31-2007,Deutsche Bank
Q3-07,2006-12-07,7.66,05-31-2007,Deutsche Bank
Q3-07,2006-12-15,7.52,05-31-2007,Deutsche Bank
Q3-07,2006-12-21,7.52,05-31-2007,Deutsche Bank
Q3-07,2007-01-04,7.52,05-31-2007,Deutsche Bank
Q3-07,2007-01-11,7.52,05-31-2007,Deutsche Bank
Q3-07,2007-01-19,7.52,05-31-2007,Deutsche Bank
Q3-07,2007-02-02,7.52,05-31-2007,Deutsche Bank
Q3-07,2007-02-08,7.52,05-31-2007,Deutsche Bank
Q3-07,2007-02-15,7.52,05-31-2007,Deutsche Bank
Q3-07,2007-02-23,7.56,05-31-2007,Deutsche Bank
Q3-07,2007-03-08,7.58,05-31-2007,Deutsche Bank
Q3-07,2007-03-16,7.58,05-31-2007,Deutsche Bank
Q3-07,2007-03-23,7.56,05-31-2007,Deutsche Bank
Q3-07,2007-03-29,7.56,05-31-2007,Deutsche Bank
Q3-07,2007-04-05,7.56,05-31-2007,Deutsche Bank
Q3-07,2007-05-16,7.56,05-31-2007,Deutsche Bank
Q4-07,2006-05-26,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-06-19,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-06-22,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-08-08,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-08-11,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-08-17,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-08-28,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-08-31,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-09-08,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-09-15,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-09-21,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-10-27,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-11-07,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-11-28,7.55,05-31-2007,Deutsche Bank
Q4-07,2006-12-07,7.63,05-31-2007,Deutsche Bank
Q4-07,2006-12-15,7.45,05-31-2007,Deutsche Bank
Q4-07,2006-12-21,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-01-04,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-01-11,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-01-19,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-02-02,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-02-08,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-02-15,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-02-23,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-03-08,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-03-16,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-03-23,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-03-29,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-04-05,7.45,05-31-2007,Deutsche Bank
Q4-07,2007-05-16,7.45,05-31-2007,Deutsche Bank
Q1-08,2007-03-08,7.38,05-31-2007,Deutsche Bank
Q1-08,2007-03-16,7.38,05-31-2007,Deutsche Bank
Q1-08,2007-03-23,7.37,05-31-2007,Deutsche Bank
Q1-08,2007-03-29,7.37,05-31-2007,Deutsche Bank
Q1-08,2007-04-05,7.37,05-31-2007,Deutsche Bank
Q1-08,2007-05-16,7.38,05-31-2007,Deutsche Bank
2008,2006-05-26,7.25,05-31-2007,Deutsche Bank
2008,2006-06-19,7.25,05-31-2007,Deutsche Bank
2008,2006-06-22,7.25,05-31-2007,Deutsche Bank
2008,2006-08-08,7.25,05-31-2007,Deutsche Bank
2008,2006-08-11,7.25,05-31-2007,Deutsche Bank
2008,2006-08-17,7.25,05-31-2007,Deutsche Bank
2008,2006-08-28,7.25,05-31-2007,Deutsche Bank
2008,2006-08-31,7.25,05-31-2007,Deutsche Bank
2008,2006-09-08,7.25,05-31-2007,Deutsche Bank
2008,2006-09-15,7.25,05-31-2007,Deutsche Bank
2008,2006-09-21,7.25,05-31-2007,Deutsche Bank
2008,2006-10-27,7.25,05-31-2007,Deutsche Bank
2008,2006-11-07,7.25,05-31-2007,Deutsche Bank
2008,2006-11-28,7.25,05-31-2007,Deutsche Bank
2008,2006-12-07,7.25,05-31-2007,Deutsche Bank
2008,2006-12-15,7.15,05-31-2007,Deutsche Bank
2008,2006-12-21,7.15,05-31-2007,Deutsche Bank
2008,2007-01-04,7.15,05-31-2007,Deutsche Bank
2008,2007-01-11,7.15,05-31-2007,Deutsche Bank
2008,2007-01-19,7.15,05-31-2007,Deutsche Bank
2008,2007-02-02,7.15,05-31-2007,Deutsche Bank
2008,2007-02-08,7.15,05-31-2007,Deutsche Bank
2008,2007-02-15,7.15,05-31-2007,Deutsche Bank
2008,2007-02-23,7.15,05-31-2007,Deutsche Bank
2008,2007-03-08,7.15,05-31-2007,Deutsche Bank
2008,2007-03-16,7.15,05-31-2007,Deutsche Bank
2008,2007-03-23,7.15,05-31-2007,Deutsche Bank
2008,2007-03-29,7.15,05-31-2007,Deutsche Bank
2008,2007-04-05,7.15,05-31-2007,Deutsche Bank
2008,2007-05-16,7.15,05-31-2007,Deutsche Bank
Q4-11,2009-06-05,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-06-15,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-06-29,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-07-06,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-07-28,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-08-05,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-08-18,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-08-20,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-08-27,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-09-04,6.38,05-31-2011,Deutsche Bank
Q4-11,2009-05-27,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-05-28,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-06-05,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-06-15,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-06-29,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-07-06,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-07-28,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-08-05,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-08-18,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-08-20,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-08-27,6.38,02-28-2011,Deutsche Bank
Q4-11,2009-09-04,6.38,02-28-2011,Deutsche Bank
Q1-07,2006-05-05,7.6602,02-28-2007,Deutsche Bank
Q1-07,2006-05-11,7.7765,02-28-2007,Deutsche Bank
Q1-07,2006-05-26,7.76,02-28-2007,Deutsche Bank
Q1-07,2006-06-19,7.8,02-28-2007,Deutsche Bank
Q1-07,2006-06-22,7.8,02-28-2007,Deutsche Bank
Q1-07,2006-08-08,7.78,02-28-2007,Deutsche Bank
Q1-07,2006-08-11,7.78,02-28-2007,Deutsche Bank
Q1-07,2006-08-17,7.78,02-28-2007,Deutsche Bank
Q1-07,2006-08-28,7.78,02-28-2007,Deutsche Bank
Q1-07,2006-08-31,7.78,02-28-2007,Deutsche Bank
Q1-07,2006-09-08,7.75,02-28-2007,Deutsche Bank
Q1-07,2006-09-15,7.75,02-28-2007,Deutsche Bank
Q1-07,2006-09-21,7.75,02-28-2007,Deutsche Bank
Q1-07,2006-10-27,7.75,02-28-2007,Deutsche Bank
Q1-07,2006-11-07,7.75,02-28-2007,Deutsche Bank
Q1-07,2006-11-28,7.75,02-28-2007,Deutsche Bank
Q1-07,2006-12-07,7.84,02-28-2007,Deutsche Bank
Q1-07,2006-12-15,7.72,02-28-2007,Deutsche Bank
Q1-07,2006-12-21,7.72,02-28-2007,Deutsche Bank
Q1-07,2007-01-04,7.72,02-28-2007,Deutsche Bank
Q1-07,2007-01-11,7.72,02-28-2007,Deutsche Bank
Q1-07,2007-01-19,7.72,02-28-2007,Deutsche Bank
Q1-07,2007-02-02,7.72,02-28-2007,Deutsche Bank
Q1-07,2007-02-08,7.72,02-28-2007,Deutsche Bank
Q1-07,2007-02-15,7.72,02-28-2007,Deutsche Bank
Q1-07,2007-02-23,7.72,02-28-2007,Deutsche Bank
Q2-07,2006-06-19,7.75,02-28-2007,Deutsche Bank
Q2-07,2006-06-22,7.75,02-28-2007,Deutsche Bank
Q2-07,2006-08-08,7.7,02-28-2007,Deutsche Bank
Q2-07,2006-08-11,7.7,02-28-2007,Deutsche Bank
Q2-07,2006-08-17,7.7,02-28-2007,Deutsche Bank
Q2-07,2006-08-28,7.7,02-28-2007,Deutsche Bank
Q2-07,2006-08-31,7.7,02-28-2007,Deutsche Bank
Q2-07,2006-09-08,7.69,02-28-2007,Deutsche Bank
Q2-07,2006-09-15,7.69,02-28-2007,Deutsche Bank
Q2-07,2006-09-21,7.69,02-28-2007,Deutsche Bank
Q2-07,2006-10-27,7.66,02-28-2007,Deutsche Bank
Q2-07,2006-11-07,7.66,02-28-2007,Deutsche Bank
Q2-07,2006-11-28,7.66,02-28-2007,Deutsche Bank
Q2-07,2006-12-07,7.75,02-28-2007,Deutsche Bank
Q2-07,2006-12-15,7.6,02-28-2007,Deutsche Bank
Q2-07,2006-12-21,7.6,02-28-2007,Deutsche Bank
Q2-07,2007-01-04,7.6,02-28-2007,Deutsche Bank
Q2-07,2007-01-11,7.6,02-28-2007,Deutsche Bank
Q2-07,2007-01-19,7.6,02-28-2007,Deutsche Bank
Q2-07,2007-02-02,7.6,02-28-2007,Deutsche Bank
Q2-07,2007-02-08,7.6,02-28-2007,Deutsche Bank
Q2-07,2007-02-15,7.6,02-28-2007,Deutsche Bank
Q2-07,2007-02-23,7.63,02-28-2007,Deutsche Bank
Q3-07,2006-09-08,7.63,02-28-2007,Deutsche Bank
Q3-07,2006-09-15,7.63,02-28-2007,Deutsche Bank
Q3-07,2006-09-21,7.63,02-28-2007,Deutsche Bank
Q3-07,2006-10-27,7.63,02-28-2007,Deutsche Bank
Q3-07,2006-11-07,7.63,02-28-2007,Deutsche Bank
Q3-07,2006-11-28,7.63,02-28-2007,Deutsche Bank
Q3-07,2006-12-07,7.66,02-28-2007,Deutsche Bank
Q3-07,2006-12-15,7.52,02-28-2007,Deutsche Bank
Q3-07,2006-12-21,7.52,02-28-2007,Deutsche Bank
Q3-07,2007-01-04,7.52,02-28-2007,Deutsche Bank
Q3-07,2007-01-11,7.52,02-28-2007,Deutsche Bank
Q3-07,2007-01-19,7.52,02-28-2007,Deutsche Bank
Q3-07,2007-02-02,7.52,02-28-2007,Deutsche Bank
Q3-07,2007-02-08,7.52,02-28-2007,Deutsche Bank
Q3-07,2007-02-15,7.52,02-28-2007,Deutsche Bank
Q3-07,2007-02-23,7.56,02-28-2007,Deutsche Bank
Q4-07,2006-05-26,7.55,02-28-2007,Deutsche Bank
Q4-07,2006-06-19,7.55,02-28-2007,Deutsche Bank
Q4-07,2006-06-22,7.55,02-28-2007,Deutsche Bank
Q4-07,2006-08-08,7.55,02-28-2007,Deutsche Bank
Q4-07,2006-08-11,7.55,02-28-2007,Deutsche Bank
Q4-07,2006-08-17,7.55,02-28-2007,Deutsche Bank
Q4-07,2006-08-28,7.55,02-28-2007,Deutsche Bank
Q4-07,2006-08-31,7.55,02-28-2007,Deutsche Bank
