period,change_date,change,file,company
Q4-16,2016-03-16,6.59,11-30-2016,Dom Maklerski AFS Sp zoo
Q4-16,2016-05-19,6.59,11-30-2016,Dom Maklerski AFS Sp zoo
Q1-17,2016-03-16,6.6,11-30-2016,Dom Maklerski AFS Sp zoo
Q1-17,2016-05-19,6.6,11-30-2016,Dom Maklerski AFS Sp zoo
2017,2016-03-16,6.9,11-30-2016,Dom Maklerski AFS Sp zoo
2017,2016-05-19,6.9,11-30-2016,Dom Maklerski AFS Sp zoo
2018,2016-03-16,6.5,11-30-2016,Dom Maklerski AFS Sp zoo
2018,2016-05-19,6.5,11-30-2016,Dom Maklerski AFS Sp zoo
2019,2016-03-16,6.4,11-30-2016,Dom Maklerski AFS Sp zoo
2019,2016-05-19,6.4,11-30-2016,Dom Maklerski AFS Sp zoo
2020,2016-03-16,6.3,11-30-2016,Dom Maklerski AFS Sp zoo
2020,2016-05-19,6.3,11-30-2016,Dom Maklerski AFS Sp zoo
Q3-16,2016-03-16,6.55,08-31-2016,Dom Maklerski AFS Sp zoo
Q3-16,2016-05-19,6.55,08-31-2016,Dom Maklerski AFS Sp zoo
Q4-16,2016-03-16,6.59,08-31-2016,Dom Maklerski AFS Sp zoo
Q4-16,2016-05-19,6.59,08-31-2016,Dom Maklerski AFS Sp zoo
Q1-17,2016-03-16,6.6,08-31-2016,Dom Maklerski AFS Sp zoo
Q1-17,2016-05-19,6.6,08-31-2016,Dom Maklerski AFS Sp zoo
2017,2016-03-16,6.9,08-31-2016,Dom Maklerski AFS Sp zoo
2017,2016-05-19,6.9,08-31-2016,Dom Maklerski AFS Sp zoo
2018,2016-03-16,6.5,08-31-2016,Dom Maklerski AFS Sp zoo
2018,2016-05-19,6.5,08-31-2016,Dom Maklerski AFS Sp zoo
2019,2016-03-16,6.4,08-31-2016,Dom Maklerski AFS Sp zoo
2019,2016-05-19,6.4,08-31-2016,Dom Maklerski AFS Sp zoo
2020,2016-03-16,6.3,08-31-2016,Dom Maklerski AFS Sp zoo
2020,2016-05-19,6.3,08-31-2016,Dom Maklerski AFS Sp zoo
Q4-17,2016-03-16,6.9,08-31-2017,Dom Maklerski AFS Sp zoo
Q4-17,2016-05-19,6.9,08-31-2017,Dom Maklerski AFS Sp zoo
2018,2016-03-16,6.5,08-31-2017,Dom Maklerski AFS Sp zoo
2018,2016-05-19,6.5,08-31-2017,Dom Maklerski AFS Sp zoo
2019,2016-03-16,6.4,08-31-2017,Dom Maklerski AFS Sp zoo
2019,2016-05-19,6.4,08-31-2017,Dom Maklerski AFS Sp zoo
2020,2016-03-16,6.3,08-31-2017,Dom Maklerski AFS Sp zoo
2020,2016-05-19,6.3,08-31-2017,Dom Maklerski AFS Sp zoo
2021,2016-03-16,6.45,08-31-2017,Dom Maklerski AFS Sp zoo
2021,2016-05-19,6.45,08-31-2017,Dom Maklerski AFS Sp zoo
