period,change_date,change,file,company
Q3-20,2019-09-27,6.75,08-31-2020,Ebury
Q3-20,2019-11-07,6.75,08-31-2020,Ebury
Q3-20,2020-01-07,6.75,08-31-2020,Ebury
Q3-20,2020-07-02,7.05,08-31-2020,Ebury
Q3-20,2020-08-07,7.05,08-31-2020,Ebury
Q4-20,2019-03-13,6.75,08-31-2020,Ebury
Q4-20,2019-04-29,6.75,08-31-2020,Ebury
Q4-20,2019-09-27,6.75,08-31-2020,Ebury
Q4-20,2019-11-07,6.75,08-31-2020,Ebury
Q4-20,2020-01-07,6.75,08-31-2020,Ebury
Q4-20,2020-07-02,7.0,08-31-2020,Ebury
Q4-20,2020-08-07,7.0,08-31-2020,Ebury
Q1-21,2020-07-02,6.9,08-31-2020,Ebury
Q1-21,2020-08-07,6.9,08-31-2020,Ebury
Q2-21,2020-07-02,6.85,08-31-2020,Ebury
Q2-21,2020-08-07,6.85,08-31-2020,Ebury
2021,2020-07-02,6.75,08-31-2020,Ebury
2021,2020-08-07,6.75,08-31-2020,Ebury
Q4-16,2015-03-17,6.25,11-30-2016,Ebury
Q4-16,2015-03-25,6.25,11-30-2016,Ebury
Q4-16,2015-05-04,6.25,11-30-2016,Ebury
Q4-16,2015-06-05,6.25,11-30-2016,Ebury
Q4-16,2015-07-17,6.25,11-30-2016,Ebury
Q4-16,2015-08-18,6.4,11-30-2016,Ebury
Q4-16,2015-09-08,6.4,11-30-2016,Ebury
Q4-16,2015-10-14,6.4,11-30-2016,Ebury
Q4-16,2015-11-18,6.4,11-30-2016,Ebury
Q4-16,2016-01-13,6.75,11-30-2016,Ebury
Q4-16,2016-03-08,6.75,11-30-2016,Ebury
Q4-16,2016-05-11,6.75,11-30-2016,Ebury
Q4-16,2016-07-06,6.75,11-30-2016,Ebury
Q4-16,2016-08-09,6.75,11-30-2016,Ebury
Q4-16,2016-09-13,6.75,11-30-2016,Ebury
Q4-16,2016-10-18,6.75,11-30-2016,Ebury
Q4-16,2016-10-19,6.75,11-30-2016,Ebury
Q4-16,2016-11-01,6.75,11-30-2016,Ebury
Q4-16,2016-11-21,6.75,11-30-2016,Ebury
Q1-17,2016-05-11,6.76,11-30-2016,Ebury
Q1-17,2016-07-06,6.76,11-30-2016,Ebury
