period,change_date,change,file,company
Q3-20,2019-11-04,7.2,08-31-2020,Emirates NBD
Q4-16,2016-01-15,6.9,11-30-2016,Emirates NBD
Q4-16,2016-01-18,6.9,11-30-2016,Emirates NBD
Q3-16,2016-01-15,6.8,08-31-2016,Emirates NBD
Q3-16,2016-01-18,6.8,08-31-2016,Emirates NBD
Q4-16,2016-01-15,6.9,08-31-2016,Emirates NBD
Q4-16,2016-01-18,6.9,08-31-2016,Emirates NBD
Q4-21,2021-01-18,6.3,11-30-2021,Emirates NBD
Q4-21,2021-02-24,6.3,11-30-2021,Emirates NBD
Q3-17,2017-02-17,7.2,08-31-2017,Emirates NBD
Q3-17,2017-04-25,7.2,08-31-2017,Emirates NBD
Q3-17,2017-06-28,7.2,08-31-2017,Emirates NBD
Q3-17,2017-07-31,7.2,08-31-2017,Emirates NBD
Q3-17,2017-08-16,7.0,08-31-2017,Emirates NBD
Q4-17,2017-02-17,7.4,08-31-2017,Emirates NBD
Q4-17,2017-04-25,7.4,08-31-2017,Emirates NBD
Q4-17,2017-06-28,7.4,08-31-2017,Emirates NBD
Q4-17,2017-07-31,7.4,08-31-2017,Emirates NBD
Q4-17,2017-08-16,7.1,08-31-2017,Emirates NBD
Q1-18,2017-06-28,7.4,08-31-2017,Emirates NBD
Q1-18,2017-07-31,7.4,08-31-2017,Emirates NBD
Q1-18,2017-08-16,7.2,08-31-2017,Emirates NBD
Q2-18,2017-06-28,7.4,08-31-2017,Emirates NBD
Q2-18,2017-07-31,7.4,08-31-2017,Emirates NBD
Q2-18,2017-08-16,7.4,08-31-2017,Emirates NBD
Q4-17,2017-02-17,7.4,11-30-2017,Emirates NBD
Q4-17,2017-04-25,7.4,11-30-2017,Emirates NBD
Q4-17,2017-06-28,7.4,11-30-2017,Emirates NBD
Q4-17,2017-07-31,7.4,11-30-2017,Emirates NBD
Q4-17,2017-08-16,7.1,11-30-2017,Emirates NBD
Q4-17,2017-09-26,7.1,11-30-2017,Emirates NBD
Q4-17,2017-10-31,7.1,11-30-2017,Emirates NBD
Q1-18,2017-06-28,7.4,11-30-2017,Emirates NBD
Q1-18,2017-07-31,7.4,11-30-2017,Emirates NBD
Q1-18,2017-08-16,7.2,11-30-2017,Emirates NBD
Q1-18,2017-09-26,7.2,11-30-2017,Emirates NBD
Q1-18,2017-10-31,7.2,11-30-2017,Emirates NBD
Q2-18,2017-06-28,7.4,11-30-2017,Emirates NBD
Q2-18,2017-07-31,7.4,11-30-2017,Emirates NBD
Q2-18,2017-08-16,7.4,11-30-2017,Emirates NBD
Q2-18,2017-09-26,7.4,11-30-2017,Emirates NBD
Q2-18,2017-10-31,7.4,11-30-2017,Emirates NBD
Q3-21,2021-01-18,6.3,08-31-2021,Emirates NBD
Q3-21,2021-02-24,6.3,08-31-2021,Emirates NBD
Q4-21,2021-01-18,6.3,08-31-2021,Emirates NBD
Q4-21,2021-02-24,6.3,08-31-2021,Emirates NBD
Q1-17,2017-02-17,7.0,02-28-2017,Emirates NBD
Q2-17,2017-02-17,7.1,02-28-2017,Emirates NBD
Q3-17,2017-02-17,7.2,02-28-2017,Emirates NBD
Q4-17,2017-02-17,7.4,02-28-2017,Emirates NBD
Q2-21,2021-01-18,6.5,05-31-2021,Emirates NBD
Q2-21,2021-02-24,6.5,05-31-2021,Emirates NBD
Q3-21,2021-01-18,6.3,05-31-2021,Emirates NBD
Q3-21,2021-02-24,6.3,05-31-2021,Emirates NBD
Q4-21,2021-01-18,6.3,05-31-2021,Emirates NBD
Q4-21,2021-02-24,6.3,05-31-2021,Emirates NBD
Q2-17,2017-02-17,7.1,05-31-2017,Emirates NBD
Q2-17,2017-04-25,7.1,05-31-2017,Emirates NBD
Q3-17,2017-02-17,7.2,05-31-2017,Emirates NBD
Q3-17,2017-04-25,7.2,05-31-2017,Emirates NBD
Q4-17,2017-02-17,7.4,05-31-2017,Emirates NBD
Q4-17,2017-04-25,7.4,05-31-2017,Emirates NBD
Q1-21,2021-01-18,6.5,02-28-2021,Emirates NBD
Q1-21,2021-02-24,6.5,02-28-2021,Emirates NBD
Q2-21,2021-01-18,6.5,02-28-2021,Emirates NBD
Q2-21,2021-02-24,6.5,02-28-2021,Emirates NBD
Q3-21,2021-01-18,6.3,02-28-2021,Emirates NBD
