period,change_date,change,file,company
Q4-20,2019-05-20,7.15,08-31-2020,Erste Group Bank
Q4-20,2019-05-20,7.15,11-30-2020,Erste Group Bank
Q1-20,2019-05-20,7.15,02-28-2020,Erste Group Bank
Q4-20,2019-05-20,7.15,02-28-2020,Erste Group Bank
Q4-20,2019-05-20,7.15,05-31-2020,Erste Group Bank
2020,2019-05-20,7.15,11-30-2019,Erste Group Bank
Q4-19,2019-05-20,7.15,11-30-2019,Erste Group Bank
Q1-20,2019-05-20,7.15,11-30-2019,Erste Group Bank
Q3-19,2019-05-20,7.07,08-31-2019,Erste Group Bank
Q4-19,2019-05-20,7.15,08-31-2019,Erste Group Bank
Q1-20,2019-05-20,7.15,08-31-2019,Erste Group Bank
2020,2019-05-20,7.15,08-31-2019,Erste Group Bank
