period,change_date,change,file,company
Q3-17,2017-07-31,6.7,08-31-2017,Exmoor Partners
Q4-17,2017-07-31,6.65,08-31-2017,Exmoor Partners
Q1-18,2017-07-31,6.58,08-31-2017,Exmoor Partners
Q2-18,2017-07-31,6.5,08-31-2017,Exmoor Partners
Q4-17,2017-07-31,6.65,11-30-2017,Exmoor Partners
Q4-17,2017-09-01,6.63,11-30-2017,Exmoor Partners
Q4-17,2017-10-20,6.72,11-30-2017,Exmoor Partners
Q4-17,2017-11-24,6.65,11-30-2017,Exmoor Partners
Q1-18,2017-07-31,6.58,11-30-2017,Exmoor Partners
Q1-18,2017-09-01,6.65,11-30-2017,Exmoor Partners
Q1-18,2017-10-20,6.77,11-30-2017,Exmoor Partners
Q1-18,2017-11-24,6.7,11-30-2017,Exmoor Partners
Q2-18,2017-07-31,6.5,11-30-2017,Exmoor Partners
Q2-18,2017-09-01,6.71,11-30-2017,Exmoor Partners
Q2-18,2017-10-20,6.83,11-30-2017,Exmoor Partners
Q2-18,2017-11-24,6.75,11-30-2017,Exmoor Partners
Q3-18,2017-10-20,6.89,11-30-2017,Exmoor Partners
Q3-18,2017-11-24,6.81,11-30-2017,Exmoor Partners
Q1-18,2017-07-31,6.58,02-28-2018,Exmoor Partners
Q1-18,2017-09-01,6.65,02-28-2018,Exmoor Partners
Q1-18,2017-10-20,6.77,02-28-2018,Exmoor Partners
Q1-18,2017-11-24,6.7,02-28-2018,Exmoor Partners
Q2-18,2017-07-31,6.5,02-28-2018,Exmoor Partners
Q2-18,2017-09-01,6.71,02-28-2018,Exmoor Partners
Q2-18,2017-10-20,6.83,02-28-2018,Exmoor Partners
Q2-18,2017-11-24,6.75,02-28-2018,Exmoor Partners
Q3-18,2017-10-20,6.89,02-28-2018,Exmoor Partners
Q3-18,2017-11-24,6.81,02-28-2018,Exmoor Partners
Q2-18,2017-07-31,6.5,05-31-2018,Exmoor Partners
Q2-18,2017-09-01,6.71,05-31-2018,Exmoor Partners
Q2-18,2017-10-20,6.83,05-31-2018,Exmoor Partners
Q2-18,2017-11-24,6.75,05-31-2018,Exmoor Partners
Q3-18,2017-10-20,6.89,05-31-2018,Exmoor Partners
Q3-18,2017-11-24,6.81,05-31-2018,Exmoor Partners
Q3-18,2017-10-20,6.89,08-31-2018,Exmoor Partners
Q3-18,2017-11-24,6.81,08-31-2018,Exmoor Partners
