period,change_date,change,file,company
Q1-10,2009-05-12,6.83,02-28-2010,Goldman Sachs Group
Q1-10,2009-09-11,6.83,02-28-2010,Goldman Sachs Group
Q1-10,2009-11-10,6.83,02-28-2010,Goldman Sachs Group
Q1-10,2009-12-10,6.83,02-28-2010,Goldman Sachs Group
Q1-10,2010-01-13,6.83,02-28-2010,Goldman Sachs Group
Q2-10,2009-07-07,6.83,02-28-2010,Goldman Sachs Group
Q2-10,2009-11-10,6.83,02-28-2010,Goldman Sachs Group
Q2-10,2009-12-10,6.83,02-28-2010,Goldman Sachs Group
Q2-10,2010-01-13,6.83,02-28-2010,Goldman Sachs Group
Q3-10,2009-09-11,6.83,02-28-2010,Goldman Sachs Group
Q4-10,2009-11-10,6.83,02-28-2010,Goldman Sachs Group
Q4-10,2009-12-10,6.83,02-28-2010,Goldman Sachs Group
Q4-10,2010-01-13,6.83,02-28-2010,Goldman Sachs Group
Q2-10,2009-07-07,6.83,05-31-2010,Goldman Sachs Group
Q2-10,2009-11-10,6.83,05-31-2010,Goldman Sachs Group
Q2-10,2009-12-10,6.83,05-31-2010,Goldman Sachs Group
Q2-10,2010-01-13,6.83,05-31-2010,Goldman Sachs Group
Q2-10,2010-04-14,6.83,05-31-2010,Goldman Sachs Group
Q3-10,2009-09-11,6.83,05-31-2010,Goldman Sachs Group
Q3-10,2010-04-14,6.83,05-31-2010,Goldman Sachs Group
Q4-10,2009-11-10,6.83,05-31-2010,Goldman Sachs Group
Q4-10,2009-12-10,6.83,05-31-2010,Goldman Sachs Group
Q4-10,2010-01-13,6.83,05-31-2010,Goldman Sachs Group
Q3-10,2009-09-11,6.83,08-31-2010,Goldman Sachs Group
Q3-10,2010-04-14,6.83,08-31-2010,Goldman Sachs Group
Q4-10,2009-11-10,6.83,08-31-2010,Goldman Sachs Group
Q4-10,2009-12-10,6.83,08-31-2010,Goldman Sachs Group
Q4-10,2010-01-13,6.83,08-31-2010,Goldman Sachs Group
Q4-10,2009-11-10,6.83,11-30-2010,Goldman Sachs Group
Q4-10,2009-12-10,6.83,11-30-2010,Goldman Sachs Group
Q4-10,2010-01-13,6.83,11-30-2010,Goldman Sachs Group
Q3-09,2009-02-11,6.87,08-31-2009,Goldman Sachs Group
Q3-09,2009-04-07,6.87,08-31-2009,Goldman Sachs Group
Q3-09,2009-05-01,6.83,08-31-2009,Goldman Sachs Group
Q3-09,2009-05-12,6.83,08-31-2009,Goldman Sachs Group
Q3-09,2009-05-13,6.83,08-31-2009,Goldman Sachs Group
Q3-09,2009-07-07,6.83,08-31-2009,Goldman Sachs Group
Q4-09,2009-04-07,6.87,08-31-2009,Goldman Sachs Group
Q4-09,2009-05-01,6.83,08-31-2009,Goldman Sachs Group
Q4-09,2009-05-12,6.83,08-31-2009,Goldman Sachs Group
Q4-09,2009-05-13,6.83,08-31-2009,Goldman Sachs Group
Q4-09,2009-07-07,6.83,08-31-2009,Goldman Sachs Group
Q1-10,2009-05-12,6.83,08-31-2009,Goldman Sachs Group
Q2-10,2009-07-07,6.83,08-31-2009,Goldman Sachs Group
Q4-09,2009-04-07,6.87,11-30-2009,Goldman Sachs Group
Q4-09,2009-05-01,6.83,11-30-2009,Goldman Sachs Group
Q4-09,2009-05-12,6.83,11-30-2009,Goldman Sachs Group
Q4-09,2009-05-13,6.83,11-30-2009,Goldman Sachs Group
Q4-09,2009-07-07,6.83,11-30-2009,Goldman Sachs Group
Q4-09,2009-09-11,6.83,11-30-2009,Goldman Sachs Group
Q1-10,2009-05-12,6.83,11-30-2009,Goldman Sachs Group
Q1-10,2009-09-11,6.83,11-30-2009,Goldman Sachs Group
Q1-10,2009-11-10,6.83,11-30-2009,Goldman Sachs Group
Q2-10,2009-07-07,6.83,11-30-2009,Goldman Sachs Group
Q2-10,2009-11-10,6.83,11-30-2009,Goldman Sachs Group
Q3-10,2009-09-11,6.83,11-30-2009,Goldman Sachs Group
2010,2009-11-10,6.83,11-30-2009,Goldman Sachs Group
Q1-09,2009-02-11,6.87,02-28-2009,Goldman Sachs Group
Q2-09,2009-02-11,6.87,02-28-2009,Goldman Sachs Group
Q3-09,2009-02-11,6.87,02-28-2009,Goldman Sachs Group
Q2-09,2009-02-11,6.87,05-31-2009,Goldman Sachs Group
Q2-09,2009-04-07,6.87,05-31-2009,Goldman Sachs Group
Q2-09,2009-05-01,6.83,05-31-2009,Goldman Sachs Group
Q2-09,2009-05-13,6.87,05-31-2009,Goldman Sachs Group
Q3-09,2009-02-11,6.87,05-31-2009,Goldman Sachs Group
Q3-09,2009-04-07,6.87,05-31-2009,Goldman Sachs Group
Q3-09,2009-05-01,6.83,05-31-2009,Goldman Sachs Group
Q3-09,2009-05-12,6.83,05-31-2009,Goldman Sachs Group
Q3-09,2009-05-13,6.87,05-31-2009,Goldman Sachs Group
Q4-09,2009-04-07,6.87,05-31-2009,Goldman Sachs Group
Q4-09,2009-05-01,6.83,05-31-2009,Goldman Sachs Group
Q4-09,2009-05-12,6.83,05-31-2009,Goldman Sachs Group
Q4-09,2009-05-13,6.87,05-31-2009,Goldman Sachs Group
Q1-10,2009-05-12,6.83,05-31-2009,Goldman Sachs Group
