period,change_date,change,file,company
Q4-08,2007-12-26,6.83,11-30-2008,HBOS
2009,2007-12-26,6.7,11-30-2008,HBOS
Q3-08,2007-12-26,6.96,08-31-2008,HBOS
Q4-08,2007-12-26,6.83,08-31-2008,HBOS
2009,2007-12-26,6.7,08-31-2008,HBOS
Q4-09,2007-12-26,6.7,08-31-2009,HBOS
Q4-09,2007-12-26,6.7,11-30-2009,HBOS
Q4-09,2007-12-26,6.7,02-28-2009,HBOS
Q4-09,2007-12-26,6.7,05-31-2009,HBOS
Q2-08,2007-12-26,7.11,05-31-2008,HBOS
Q3-08,2007-12-26,6.96,05-31-2008,HBOS
Q4-08,2007-12-26,6.83,05-31-2008,HBOS
2009,2007-12-26,6.7,05-31-2008,HBOS
Q1-08,2007-12-26,7.2,02-28-2008,HBOS
Q2-08,2007-12-26,7.11,02-28-2008,HBOS
Q3-08,2007-12-26,6.96,02-28-2008,HBOS
Q4-08,2007-12-26,6.83,02-28-2008,HBOS
2009,2007-12-26,6.7,02-28-2008,HBOS
