period,change_date,change,file,company
Q2-14,2013-09-26,6.05,05-31-2014,HIFX PLC
Q2-14,2013-11-01,6.05,05-31-2014,HIFX PLC
Q2-14,2013-12-04,6.05,05-31-2014,HIFX PLC
Q3-14,2013-09-26,6.03,05-31-2014,HIFX PLC
Q3-14,2013-11-01,6.03,05-31-2014,HIFX PLC
Q3-14,2013-12-04,6.03,05-31-2014,HIFX PLC
Q4-13,2013-09-26,6.1,11-30-2013,HIFX PLC
Q4-13,2013-11-01,6.1,11-30-2013,HIFX PLC
Q1-14,2013-09-26,6.07,11-30-2013,HIFX PLC
Q1-14,2013-11-01,6.07,11-30-2013,HIFX PLC
Q2-14,2013-09-26,6.05,11-30-2013,HIFX PLC
Q2-14,2013-11-01,6.05,11-30-2013,HIFX PLC
Q3-14,2013-09-26,6.03,11-30-2013,HIFX PLC
Q3-14,2013-11-01,6.03,11-30-2013,HIFX PLC
Q1-14,2013-09-26,6.07,02-28-2014,HIFX PLC
Q1-14,2013-11-01,6.07,02-28-2014,HIFX PLC
Q1-14,2013-12-04,6.07,02-28-2014,HIFX PLC
Q2-14,2013-09-26,6.05,02-28-2014,HIFX PLC
Q2-14,2013-11-01,6.05,02-28-2014,HIFX PLC
Q2-14,2013-12-04,6.05,02-28-2014,HIFX PLC
Q3-14,2013-09-26,6.03,02-28-2014,HIFX PLC
Q3-14,2013-11-01,6.03,02-28-2014,HIFX PLC
Q3-14,2013-12-04,6.03,02-28-2014,HIFX PLC
