period,change_date,change,file,company
Q4-21,2021-01-07,6.25,11-30-2021,HL Bank/Singapore
Q4-21,2021-03-02,6.35,11-30-2021,HL Bank/Singapore
Q4-21,2021-06-01,6.4,11-30-2021,HL Bank/Singapore
Q4-21,2021-08-03,6.45,11-30-2021,HL Bank/Singapore
Q1-22,2021-06-01,6.5,11-30-2021,HL Bank/Singapore
Q1-22,2021-08-03,6.4,11-30-2021,HL Bank/Singapore
Q2-22,2021-06-01,6.55,11-30-2021,HL Bank/Singapore
Q2-22,2021-08-03,6.35,11-30-2021,HL Bank/Singapore
2022,2021-08-03,6.4,11-30-2021,HL Bank/Singapore
Q3-21,2021-01-07,6.35,08-31-2021,HL Bank/Singapore
Q3-21,2021-03-02,6.35,08-31-2021,HL Bank/Singapore
Q3-21,2021-06-01,6.3,08-31-2021,HL Bank/Singapore
Q3-21,2021-08-03,6.45,08-31-2021,HL Bank/Singapore
Q4-21,2021-01-07,6.25,08-31-2021,HL Bank/Singapore
Q4-21,2021-03-02,6.35,08-31-2021,HL Bank/Singapore
Q4-21,2021-06-01,6.4,08-31-2021,HL Bank/Singapore
Q4-21,2021-08-03,6.45,08-31-2021,HL Bank/Singapore
Q1-22,2021-06-01,6.5,08-31-2021,HL Bank/Singapore
Q1-22,2021-08-03,6.4,08-31-2021,HL Bank/Singapore
Q2-22,2021-06-01,6.55,08-31-2021,HL Bank/Singapore
Q2-22,2021-08-03,6.35,08-31-2021,HL Bank/Singapore
2022,2021-08-03,6.4,08-31-2021,HL Bank/Singapore
Q2-21,2021-01-07,6.4,05-31-2021,HL Bank/Singapore
Q2-21,2021-03-02,6.4,05-31-2021,HL Bank/Singapore
Q3-21,2021-01-07,6.35,05-31-2021,HL Bank/Singapore
Q3-21,2021-03-02,6.35,05-31-2021,HL Bank/Singapore
Q4-21,2021-01-07,6.25,05-31-2021,HL Bank/Singapore
Q4-21,2021-03-02,6.35,05-31-2021,HL Bank/Singapore
Q1-21,2021-01-07,6.35,02-28-2021,HL Bank/Singapore
Q2-21,2021-01-07,6.4,02-28-2021,HL Bank/Singapore
Q3-21,2021-01-07,6.35,02-28-2021,HL Bank/Singapore
Q4-21,2021-01-07,6.25,02-28-2021,HL Bank/Singapore
2022,2021-01-07,6.25,02-28-2021,HL Bank/Singapore
Q1-22,2021-06-01,6.5,02-28-2022,HL Bank/Singapore
Q1-22,2021-08-03,6.4,02-28-2022,HL Bank/Singapore
Q2-22,2021-06-01,6.55,02-28-2022,HL Bank/Singapore
Q2-22,2021-08-03,6.35,02-28-2022,HL Bank/Singapore
Q4-22,2021-08-03,6.4,02-28-2022,HL Bank/Singapore
