period,change_date,change,file,company
Q2-07,2006-09-15,7.75,05-31-2007,HSBC Holdings
Q2-07,2006-10-16,7.7,05-31-2007,HSBC Holdings
Q2-07,2006-11-17,7.7,05-31-2007,HSBC Holdings
Q2-07,2006-12-19,7.7,05-31-2007,HSBC Holdings
Q2-07,2007-01-19,7.66,05-31-2007,HSBC Holdings
Q2-07,2007-02-21,7.66,05-31-2007,HSBC Holdings
Q2-07,2007-03-30,7.24,05-31-2007,HSBC Holdings
Q2-07,2007-04-16,7.24,05-31-2007,HSBC Holdings
Q2-07,2007-05-09,7.65,05-31-2007,HSBC Holdings
Q3-07,2006-09-15,7.7,05-31-2007,HSBC Holdings
Q3-07,2006-10-16,7.63,05-31-2007,HSBC Holdings
Q3-07,2006-11-17,7.63,05-31-2007,HSBC Holdings
Q3-07,2006-12-19,7.63,05-31-2007,HSBC Holdings
Q3-07,2007-01-19,7.58,05-31-2007,HSBC Holdings
Q3-07,2007-02-21,7.58,05-31-2007,HSBC Holdings
Q3-07,2007-03-30,7.16,05-31-2007,HSBC Holdings
Q3-07,2007-04-16,7.16,05-31-2007,HSBC Holdings
Q3-07,2007-05-09,7.58,05-31-2007,HSBC Holdings
Q4-07,2006-11-17,7.55,05-31-2007,HSBC Holdings
Q4-07,2006-12-19,7.55,05-31-2007,HSBC Holdings
Q4-07,2007-01-19,7.4,05-31-2007,HSBC Holdings
Q4-07,2007-02-21,7.4,05-31-2007,HSBC Holdings
Q4-07,2007-03-30,7.05,05-31-2007,HSBC Holdings
Q4-07,2007-04-16,7.05,05-31-2007,HSBC Holdings
Q4-07,2007-05-09,7.4,05-31-2007,HSBC Holdings
Q1-08,2007-05-09,7.32,05-31-2007,HSBC Holdings
2008,2007-05-09,7.05,05-31-2007,HSBC Holdings
Q2-11,2010-06-04,6.68,05-31-2011,HSBC Holdings
Q2-11,2010-06-09,6.68,05-31-2011,HSBC Holdings
Q2-11,2010-07-08,6.68,05-31-2011,HSBC Holdings
Q2-11,2010-08-12,6.6,05-31-2011,HSBC Holdings
