period,change_date,change,file,company
Q3-20,2019-09-10,7.4,08-31-2020,Handelsbanken
Q3-20,2019-10-29,7.4,08-31-2020,Handelsbanken
Q3-20,2020-02-06,7.2,08-31-2020,Handelsbanken
Q4-20,2018-09-03,6.2,08-31-2020,Handelsbanken
Q4-20,2018-11-26,6.3,08-31-2020,Handelsbanken
Q4-20,2019-02-04,6.3,08-31-2020,Handelsbanken
Q4-20,2019-05-02,6.3,08-31-2020,Handelsbanken
Q4-20,2019-09-10,7.4,08-31-2020,Handelsbanken
Q4-20,2019-10-29,7.4,08-31-2020,Handelsbanken
Q4-20,2020-02-06,7.3,08-31-2020,Handelsbanken
2021,2019-05-02,6.4,08-31-2020,Handelsbanken
2021,2019-09-10,7.6,08-31-2020,Handelsbanken
2021,2019-10-29,7.6,08-31-2020,Handelsbanken
2021,2020-02-06,7.5,08-31-2020,Handelsbanken
Q4-16,2015-10-07,6.6,11-30-2016,Handelsbanken
Q4-16,2015-10-23,6.6,11-30-2016,Handelsbanken
Q4-16,2015-11-09,6.6,11-30-2016,Handelsbanken
Q4-16,2015-12-11,6.6,11-30-2016,Handelsbanken
Q4-16,2015-12-22,6.6,11-30-2016,Handelsbanken
Q4-16,2016-01-13,6.9,11-30-2016,Handelsbanken
Q4-16,2016-03-03,6.9,11-30-2016,Handelsbanken
Q4-16,2016-04-07,6.8,11-30-2016,Handelsbanken
Q4-16,2016-04-28,6.8,11-30-2016,Handelsbanken
Q4-16,2016-05-18,6.8,11-30-2016,Handelsbanken
Q4-16,2016-06-01,6.8,11-30-2016,Handelsbanken
Q4-16,2016-06-10,6.7,11-30-2016,Handelsbanken
Q4-16,2016-06-30,6.8,11-30-2016,Handelsbanken
Q4-16,2016-08-15,6.8,11-30-2016,Handelsbanken
Q4-16,2016-08-25,6.8,11-30-2016,Handelsbanken
Q1-17,2016-03-03,6.95,11-30-2016,Handelsbanken
Q1-17,2016-04-07,6.95,11-30-2016,Handelsbanken
Q1-17,2016-04-28,6.95,11-30-2016,Handelsbanken
Q1-17,2016-05-18,6.95,11-30-2016,Handelsbanken
Q1-17,2016-06-01,6.95,11-30-2016,Handelsbanken
Q1-17,2016-06-10,6.8,11-30-2016,Handelsbanken
Q1-17,2016-06-30,6.8,11-30-2016,Handelsbanken
Q1-17,2016-08-15,6.8,11-30-2016,Handelsbanken
Q1-17,2016-08-25,6.8,11-30-2016,Handelsbanken
Q2-17,2016-06-10,6.9,11-30-2016,Handelsbanken
Q2-17,2016-06-30,6.9,11-30-2016,Handelsbanken
Q2-17,2016-08-15,6.9,11-30-2016,Handelsbanken
Q2-17,2016-08-25,6.9,11-30-2016,Handelsbanken
2017,2015-10-07,6.7,11-30-2016,Handelsbanken
2017,2015-10-23,6.7,11-30-2016,Handelsbanken
2017,2015-11-09,6.7,11-30-2016,Handelsbanken
2017,2015-12-11,6.7,11-30-2016,Handelsbanken
2017,2015-12-22,6.7,11-30-2016,Handelsbanken
2017,2016-01-13,7.0,11-30-2016,Handelsbanken
2017,2016-03-03,7.0,11-30-2016,Handelsbanken
2017,2016-04-07,7.0,11-30-2016,Handelsbanken
2017,2016-04-28,7.0,11-30-2016,Handelsbanken
2017,2016-05-18,7.0,11-30-2016,Handelsbanken
2017,2016-06-01,7.0,11-30-2016,Handelsbanken
2017,2016-06-10,7.0,11-30-2016,Handelsbanken
2017,2016-06-30,7.0,11-30-2016,Handelsbanken
2017,2016-08-15,7.0,11-30-2016,Handelsbanken
2017,2016-08-25,7.0,11-30-2016,Handelsbanken
2018,2015-10-07,6.8,11-30-2016,Handelsbanken
2018,2015-10-23,6.8,11-30-2016,Handelsbanken
2018,2015-11-09,6.8,11-30-2016,Handelsbanken
2018,2015-12-11,6.8,11-30-2016,Handelsbanken
2018,2015-12-22,6.8,11-30-2016,Handelsbanken
2018,2016-01-13,7.0,11-30-2016,Handelsbanken
2018,2016-03-03,7.0,11-30-2016,Handelsbanken
2018,2016-04-07,7.0,11-30-2016,Handelsbanken
2018,2016-04-28,7.0,11-30-2016,Handelsbanken
2018,2016-05-18,7.0,11-30-2016,Handelsbanken
2018,2016-06-01,7.0,11-30-2016,Handelsbanken
2018,2016-06-10,7.0,11-30-2016,Handelsbanken
2018,2016-06-30,7.0,11-30-2016,Handelsbanken
2018,2016-08-15,7.0,11-30-2016,Handelsbanken
2018,2016-08-25,7.0,11-30-2016,Handelsbanken
Q3-16,2015-10-07,6.6,08-31-2016,Handelsbanken
Q3-16,2015-10-23,6.6,08-31-2016,Handelsbanken
Q3-16,2015-11-09,6.6,08-31-2016,Handelsbanken
Q3-16,2015-12-11,6.6,08-31-2016,Handelsbanken
Q3-16,2015-12-22,6.6,08-31-2016,Handelsbanken
Q3-16,2016-01-13,6.8,08-31-2016,Handelsbanken
Q3-16,2016-03-03,6.8,08-31-2016,Handelsbanken
Q3-16,2016-04-07,6.6,08-31-2016,Handelsbanken
Q3-16,2016-04-28,6.6,08-31-2016,Handelsbanken
Q3-16,2016-05-18,6.6,08-31-2016,Handelsbanken
Q3-16,2016-06-01,6.6,08-31-2016,Handelsbanken
Q3-16,2016-06-10,6.5,08-31-2016,Handelsbanken
Q3-16,2016-06-30,6.7,08-31-2016,Handelsbanken
Q3-16,2016-08-15,6.7,08-31-2016,Handelsbanken
Q3-16,2016-08-25,6.7,08-31-2016,Handelsbanken
Q4-16,2015-10-07,6.6,08-31-2016,Handelsbanken
Q4-16,2015-10-23,6.6,08-31-2016,Handelsbanken
Q4-16,2015-11-09,6.6,08-31-2016,Handelsbanken
Q4-16,2015-12-11,6.6,08-31-2016,Handelsbanken
Q4-16,2015-12-22,6.6,08-31-2016,Handelsbanken
Q4-16,2016-01-13,6.9,08-31-2016,Handelsbanken
Q4-16,2016-03-03,6.9,08-31-2016,Handelsbanken
Q4-16,2016-04-07,6.8,08-31-2016,Handelsbanken
Q4-16,2016-04-28,6.8,08-31-2016,Handelsbanken
Q4-16,2016-05-18,6.8,08-31-2016,Handelsbanken
Q4-16,2016-06-01,6.8,08-31-2016,Handelsbanken
Q4-16,2016-06-10,6.7,08-31-2016,Handelsbanken
Q4-16,2016-06-30,6.8,08-31-2016,Handelsbanken
Q4-16,2016-08-15,6.8,08-31-2016,Handelsbanken
Q4-16,2016-08-25,6.8,08-31-2016,Handelsbanken
Q1-17,2016-03-03,6.95,08-31-2016,Handelsbanken
Q1-17,2016-04-07,6.95,08-31-2016,Handelsbanken
Q1-17,2016-04-28,6.95,08-31-2016,Handelsbanken
Q1-17,2016-05-18,6.95,08-31-2016,Handelsbanken
Q1-17,2016-06-01,6.95,08-31-2016,Handelsbanken
Q1-17,2016-06-10,6.8,08-31-2016,Handelsbanken
Q1-17,2016-06-30,6.8,08-31-2016,Handelsbanken
Q1-17,2016-08-15,6.8,08-31-2016,Handelsbanken
Q1-17,2016-08-25,6.8,08-31-2016,Handelsbanken
Q2-17,2016-06-10,6.9,08-31-2016,Handelsbanken
Q2-17,2016-06-30,6.9,08-31-2016,Handelsbanken
Q2-17,2016-08-15,6.9,08-31-2016,Handelsbanken
Q2-17,2016-08-25,6.9,08-31-2016,Handelsbanken
2017,2015-10-07,6.7,08-31-2016,Handelsbanken
2017,2015-10-23,6.7,08-31-2016,Handelsbanken
2017,2015-11-09,6.7,08-31-2016,Handelsbanken
2017,2015-12-11,6.7,08-31-2016,Handelsbanken
2017,2015-12-22,6.7,08-31-2016,Handelsbanken
2017,2016-01-13,7.0,08-31-2016,Handelsbanken
2017,2016-03-03,7.0,08-31-2016,Handelsbanken
2017,2016-04-07,7.0,08-31-2016,Handelsbanken
2017,2016-04-28,7.0,08-31-2016,Handelsbanken
2017,2016-05-18,7.0,08-31-2016,Handelsbanken
2017,2016-06-01,7.0,08-31-2016,Handelsbanken
2017,2016-06-10,7.0,08-31-2016,Handelsbanken
2017,2016-06-30,7.0,08-31-2016,Handelsbanken
2017,2016-08-15,7.0,08-31-2016,Handelsbanken
2017,2016-08-25,7.0,08-31-2016,Handelsbanken
2018,2015-10-07,6.8,08-31-2016,Handelsbanken
2018,2015-10-23,6.8,08-31-2016,Handelsbanken
2018,2015-11-09,6.8,08-31-2016,Handelsbanken
2018,2015-12-11,6.8,08-31-2016,Handelsbanken
2018,2015-12-22,6.8,08-31-2016,Handelsbanken
2018,2016-01-13,7.0,08-31-2016,Handelsbanken
2018,2016-03-03,7.0,08-31-2016,Handelsbanken
2018,2016-04-07,7.0,08-31-2016,Handelsbanken
2018,2016-04-28,7.0,08-31-2016,Handelsbanken
2018,2016-05-18,7.0,08-31-2016,Handelsbanken
2018,2016-06-01,7.0,08-31-2016,Handelsbanken
2018,2016-06-10,7.0,08-31-2016,Handelsbanken
2018,2016-06-30,7.0,08-31-2016,Handelsbanken
2018,2016-08-15,7.0,08-31-2016,Handelsbanken
2018,2016-08-25,7.0,08-31-2016,Handelsbanken
Q4-20,2019-02-04,6.3,11-30-2020,Handelsbanken
Q4-20,2019-05-02,6.3,11-30-2020,Handelsbanken
Q4-20,2019-09-10,7.4,11-30-2020,Handelsbanken
Q4-20,2019-10-29,7.4,11-30-2020,Handelsbanken
Q4-20,2020-02-06,7.3,11-30-2020,Handelsbanken
Q4-20,2020-09-03,7.0,11-30-2020,Handelsbanken
Q1-21,2020-09-03,7.0,11-30-2020,Handelsbanken
Q2-21,2020-09-03,7.0,11-30-2020,Handelsbanken
Q3-21,2020-09-03,7.0,11-30-2020,Handelsbanken
2021,2019-05-02,6.4,11-30-2020,Handelsbanken
2021,2019-09-10,7.6,11-30-2020,Handelsbanken
2021,2019-10-29,7.6,11-30-2020,Handelsbanken
2021,2020-02-06,7.5,11-30-2020,Handelsbanken
2021,2020-09-03,6.9,11-30-2020,Handelsbanken
2022,2020-09-03,6.6,11-30-2020,Handelsbanken
Q4-21,2020-02-06,7.5,11-30-2021,Handelsbanken
Q4-21,2020-09-03,6.9,11-30-2021,Handelsbanken
2022,2020-09-03,6.6,11-30-2021,Handelsbanken
Q3-17,2017-01-04,7.4,08-31-2017,Handelsbanken
Q3-17,2017-01-31,7.4,08-31-2017,Handelsbanken
Q3-17,2017-02-24,7.4,08-31-2017,Handelsbanken
Q3-17,2017-04-05,7.1,08-31-2017,Handelsbanken
Q3-17,2017-04-26,7.1,08-31-2017,Handelsbanken
Q3-17,2017-06-19,6.9,08-31-2017,Handelsbanken
Q3-17,2017-07-21,6.9,08-31-2017,Handelsbanken
Q3-17,2017-08-24,6.7,08-31-2017,Handelsbanken
Q4-17,2015-10-07,6.7,08-31-2017,Handelsbanken
Q4-17,2015-10-23,6.7,08-31-2017,Handelsbanken
Q4-17,2015-11-09,6.7,08-31-2017,Handelsbanken
Q4-17,2015-12-11,6.7,08-31-2017,Handelsbanken
Q4-17,2015-12-22,6.7,08-31-2017,Handelsbanken
Q4-17,2016-01-13,7.0,08-31-2017,Handelsbanken
Q4-17,2016-03-03,7.0,08-31-2017,Handelsbanken
Q4-17,2016-04-07,7.0,08-31-2017,Handelsbanken
Q4-17,2016-04-28,7.0,08-31-2017,Handelsbanken
Q4-17,2016-05-18,7.0,08-31-2017,Handelsbanken
Q4-17,2016-06-01,7.0,08-31-2017,Handelsbanken
Q4-17,2016-06-10,7.0,08-31-2017,Handelsbanken
Q4-17,2016-06-30,7.0,08-31-2017,Handelsbanken
Q4-17,2016-08-15,7.0,08-31-2017,Handelsbanken
Q4-17,2016-08-25,7.0,08-31-2017,Handelsbanken
Q4-17,2017-01-04,7.5,08-31-2017,Handelsbanken
Q4-17,2017-01-31,7.5,08-31-2017,Handelsbanken
Q4-17,2017-02-24,7.5,08-31-2017,Handelsbanken
Q4-17,2017-04-05,7.1,08-31-2017,Handelsbanken
Q4-17,2017-04-26,7.1,08-31-2017,Handelsbanken
Q4-17,2017-06-19,7.0,08-31-2017,Handelsbanken
Q4-17,2017-07-21,7.0,08-31-2017,Handelsbanken
Q4-17,2017-08-24,6.75,08-31-2017,Handelsbanken
Q1-18,2017-04-05,7.0,08-31-2017,Handelsbanken
Q1-18,2017-04-26,7.0,08-31-2017,Handelsbanken
Q1-18,2017-06-19,6.9,08-31-2017,Handelsbanken
Q1-18,2017-07-21,6.9,08-31-2017,Handelsbanken
Q1-18,2017-08-24,6.65,08-31-2017,Handelsbanken
Q2-18,2017-06-19,6.9,08-31-2017,Handelsbanken
Q2-18,2017-07-21,6.9,08-31-2017,Handelsbanken
Q2-18,2017-08-24,6.6,08-31-2017,Handelsbanken
2018,2015-10-07,6.8,08-31-2017,Handelsbanken
2018,2015-10-23,6.8,08-31-2017,Handelsbanken
2018,2015-11-09,6.8,08-31-2017,Handelsbanken
2018,2015-12-11,6.8,08-31-2017,Handelsbanken
2018,2015-12-22,6.8,08-31-2017,Handelsbanken
2018,2016-01-13,7.0,08-31-2017,Handelsbanken
2018,2016-03-03,7.0,08-31-2017,Handelsbanken
2018,2016-04-07,7.0,08-31-2017,Handelsbanken
2018,2016-04-28,7.0,08-31-2017,Handelsbanken
2018,2016-05-18,7.0,08-31-2017,Handelsbanken
2018,2016-06-01,7.0,08-31-2017,Handelsbanken
2018,2016-06-10,7.0,08-31-2017,Handelsbanken
2018,2016-06-30,7.0,08-31-2017,Handelsbanken
2018,2016-08-15,7.0,08-31-2017,Handelsbanken
2018,2016-08-25,7.0,08-31-2017,Handelsbanken
2018,2017-01-04,7.9,08-31-2017,Handelsbanken
2018,2017-01-31,7.9,08-31-2017,Handelsbanken
2018,2017-02-24,7.9,08-31-2017,Handelsbanken
2018,2017-04-05,6.8,08-31-2017,Handelsbanken
2018,2017-04-26,6.8,08-31-2017,Handelsbanken
2018,2017-06-19,6.7,08-31-2017,Handelsbanken
2018,2017-07-21,6.7,08-31-2017,Handelsbanken
2018,2017-08-24,6.4,08-31-2017,Handelsbanken
2019,2017-04-05,6.5,08-31-2017,Handelsbanken
2019,2017-04-26,6.5,08-31-2017,Handelsbanken
2019,2017-06-19,6.5,08-31-2017,Handelsbanken
2019,2017-07-21,6.5,08-31-2017,Handelsbanken
2019,2017-08-24,6.4,08-31-2017,Handelsbanken
Q4-17,2015-12-11,6.7,11-30-2017,Handelsbanken
Q4-17,2015-12-22,6.7,11-30-2017,Handelsbanken
Q4-17,2016-01-13,7.0,11-30-2017,Handelsbanken
Q4-17,2016-03-03,7.0,11-30-2017,Handelsbanken
Q4-17,2016-04-07,7.0,11-30-2017,Handelsbanken
Q4-17,2016-04-28,7.0,11-30-2017,Handelsbanken
Q4-17,2016-05-18,7.0,11-30-2017,Handelsbanken
Q4-17,2016-06-01,7.0,11-30-2017,Handelsbanken
Q4-17,2016-06-10,7.0,11-30-2017,Handelsbanken
Q4-17,2016-06-30,7.0,11-30-2017,Handelsbanken
Q4-17,2016-08-15,7.0,11-30-2017,Handelsbanken
Q4-17,2016-08-25,7.0,11-30-2017,Handelsbanken
Q4-17,2017-01-04,7.5,11-30-2017,Handelsbanken
Q4-17,2017-01-31,7.5,11-30-2017,Handelsbanken
Q4-17,2017-02-24,7.5,11-30-2017,Handelsbanken
Q4-17,2017-04-05,7.1,11-30-2017,Handelsbanken
Q4-17,2017-04-26,7.1,11-30-2017,Handelsbanken
Q4-17,2017-06-19,7.0,11-30-2017,Handelsbanken
Q4-17,2017-07-21,7.0,11-30-2017,Handelsbanken
Q4-17,2017-08-24,6.75,11-30-2017,Handelsbanken
Q4-17,2017-09-12,6.75,11-30-2017,Handelsbanken
Q4-17,2017-10-13,6.75,11-30-2017,Handelsbanken
Q4-17,2017-11-03,6.75,11-30-2017,Handelsbanken
Q1-18,2017-04-05,7.0,11-30-2017,Handelsbanken
Q1-18,2017-04-26,7.0,11-30-2017,Handelsbanken
Q1-18,2017-06-19,6.9,11-30-2017,Handelsbanken
Q1-18,2017-07-21,6.9,11-30-2017,Handelsbanken
Q1-18,2017-08-24,6.65,11-30-2017,Handelsbanken
Q1-18,2017-09-12,6.65,11-30-2017,Handelsbanken
Q1-18,2017-10-13,6.8,11-30-2017,Handelsbanken
Q1-18,2017-11-03,6.8,11-30-2017,Handelsbanken
Q2-18,2017-06-19,6.9,11-30-2017,Handelsbanken
Q2-18,2017-07-21,6.9,11-30-2017,Handelsbanken
Q2-18,2017-08-24,6.6,11-30-2017,Handelsbanken
Q2-18,2017-09-12,6.6,11-30-2017,Handelsbanken
Q2-18,2017-10-13,6.9,11-30-2017,Handelsbanken
Q2-18,2017-11-03,6.9,11-30-2017,Handelsbanken
Q3-18,2017-09-12,6.5,11-30-2017,Handelsbanken
Q3-18,2017-10-13,6.8,11-30-2017,Handelsbanken
Q3-18,2017-11-03,6.8,11-30-2017,Handelsbanken
2018,2015-12-11,6.8,11-30-2017,Handelsbanken
2018,2015-12-22,6.8,11-30-2017,Handelsbanken
2018,2016-01-13,7.0,11-30-2017,Handelsbanken
2018,2016-03-03,7.0,11-30-2017,Handelsbanken
2018,2016-04-07,7.0,11-30-2017,Handelsbanken
2018,2016-04-28,7.0,11-30-2017,Handelsbanken
2018,2016-05-18,7.0,11-30-2017,Handelsbanken
2018,2016-06-01,7.0,11-30-2017,Handelsbanken
2018,2016-06-10,7.0,11-30-2017,Handelsbanken
2018,2016-06-30,7.0,11-30-2017,Handelsbanken
2018,2016-08-15,7.0,11-30-2017,Handelsbanken
2018,2016-08-25,7.0,11-30-2017,Handelsbanken
2018,2017-01-04,7.9,11-30-2017,Handelsbanken
2018,2017-01-31,7.9,11-30-2017,Handelsbanken
2018,2017-02-24,7.9,11-30-2017,Handelsbanken
2018,2017-04-05,6.8,11-30-2017,Handelsbanken
2018,2017-04-26,6.8,11-30-2017,Handelsbanken
2018,2017-06-19,6.7,11-30-2017,Handelsbanken
2018,2017-07-21,6.7,11-30-2017,Handelsbanken
2018,2017-08-24,6.4,11-30-2017,Handelsbanken
2018,2017-09-12,6.4,11-30-2017,Handelsbanken
2018,2017-10-13,6.6,11-30-2017,Handelsbanken
2018,2017-11-03,6.6,11-30-2017,Handelsbanken
2019,2017-04-05,6.5,11-30-2017,Handelsbanken
2019,2017-04-26,6.5,11-30-2017,Handelsbanken
2019,2017-06-19,6.5,11-30-2017,Handelsbanken
2019,2017-07-21,6.5,11-30-2017,Handelsbanken
2019,2017-08-24,6.4,11-30-2017,Handelsbanken
2019,2017-09-12,6.4,11-30-2017,Handelsbanken
2019,2017-10-13,6.4,11-30-2017,Handelsbanken
2019,2017-11-03,6.4,11-30-2017,Handelsbanken
Q3-21,2020-09-03,7.0,08-31-2021,Handelsbanken
Q4-21,2019-09-10,7.6,08-31-2021,Handelsbanken
Q4-21,2019-10-29,7.6,08-31-2021,Handelsbanken
Q4-21,2020-02-06,7.5,08-31-2021,Handelsbanken
Q4-21,2020-09-03,6.9,08-31-2021,Handelsbanken
2022,2020-09-03,6.6,08-31-2021,Handelsbanken
Q1-17,2016-03-03,6.95,02-28-2017,Handelsbanken
Q1-17,2016-04-07,6.95,02-28-2017,Handelsbanken
Q1-17,2016-04-28,6.95,02-28-2017,Handelsbanken
Q1-17,2016-05-18,6.95,02-28-2017,Handelsbanken
Q1-17,2016-06-01,6.95,02-28-2017,Handelsbanken
Q1-17,2016-06-10,6.8,02-28-2017,Handelsbanken
Q1-17,2016-06-30,6.8,02-28-2017,Handelsbanken
Q1-17,2016-08-15,6.8,02-28-2017,Handelsbanken
Q1-17,2016-08-25,6.8,02-28-2017,Handelsbanken
Q1-17,2017-01-04,7.1,02-28-2017,Handelsbanken
Q1-17,2017-01-31,7.0,02-28-2017,Handelsbanken
Q1-17,2017-02-24,7.0,02-28-2017,Handelsbanken
Q2-17,2016-06-10,6.9,02-28-2017,Handelsbanken
Q2-17,2016-06-30,6.9,02-28-2017,Handelsbanken
Q2-17,2016-08-15,6.9,02-28-2017,Handelsbanken
Q2-17,2016-08-25,6.9,02-28-2017,Handelsbanken
Q2-17,2017-01-04,7.3,02-28-2017,Handelsbanken
Q2-17,2017-01-31,7.2,02-28-2017,Handelsbanken
Q2-17,2017-02-24,7.2,02-28-2017,Handelsbanken
Q3-17,2017-01-04,7.4,02-28-2017,Handelsbanken
Q3-17,2017-01-31,7.4,02-28-2017,Handelsbanken
Q3-17,2017-02-24,7.4,02-28-2017,Handelsbanken
Q4-17,2015-10-07,6.7,02-28-2017,Handelsbanken
Q4-17,2015-10-23,6.7,02-28-2017,Handelsbanken
Q4-17,2015-11-09,6.7,02-28-2017,Handelsbanken
Q4-17,2015-12-11,6.7,02-28-2017,Handelsbanken
Q4-17,2015-12-22,6.7,02-28-2017,Handelsbanken
Q4-17,2016-01-13,7.0,02-28-2017,Handelsbanken
Q4-17,2016-03-03,7.0,02-28-2017,Handelsbanken
Q4-17,2016-04-07,7.0,02-28-2017,Handelsbanken
Q4-17,2016-04-28,7.0,02-28-2017,Handelsbanken
Q4-17,2016-05-18,7.0,02-28-2017,Handelsbanken
Q4-17,2016-06-01,7.0,02-28-2017,Handelsbanken
Q4-17,2016-06-10,7.0,02-28-2017,Handelsbanken
Q4-17,2016-06-30,7.0,02-28-2017,Handelsbanken
Q4-17,2016-08-15,7.0,02-28-2017,Handelsbanken
Q4-17,2016-08-25,7.0,02-28-2017,Handelsbanken
Q4-17,2017-01-04,7.5,02-28-2017,Handelsbanken
