period,change_date,change,file,company
Q3-20,2020-05-28,6.9,08-31-2020,Hong Leong Bank Bhd
Q4-20,2020-05-28,6.85,08-31-2020,Hong Leong Bank Bhd
Q1-21,2020-05-28,6.95,08-31-2020,Hong Leong Bank Bhd
Q4-20,2020-05-28,6.85,11-30-2020,Hong Leong Bank Bhd
Q1-21,2020-05-28,6.95,11-30-2020,Hong Leong Bank Bhd
Q4-21,2021-01-08,6.45,11-30-2021,Hong Leong Bank Bhd
Q4-21,2021-09-02,6.45,11-30-2021,Hong Leong Bank Bhd
Q1-22,2021-09-02,6.4,11-30-2021,Hong Leong Bank Bhd
Q2-22,2021-09-02,6.35,11-30-2021,Hong Leong Bank Bhd
Q3-22,2021-09-02,6.35,11-30-2021,Hong Leong Bank Bhd
2022,2021-09-02,6.4,11-30-2021,Hong Leong Bank Bhd
Q1-21,2020-05-28,6.95,02-28-2021,Hong Leong Bank Bhd
Q1-21,2021-01-08,6.95,02-28-2021,Hong Leong Bank Bhd
Q2-20,2020-05-28,7.0,05-31-2020,Hong Leong Bank Bhd
Q3-20,2020-05-28,6.9,05-31-2020,Hong Leong Bank Bhd
Q4-20,2020-05-28,6.85,05-31-2020,Hong Leong Bank Bhd
Q1-21,2020-05-28,6.95,05-31-2020,Hong Leong Bank Bhd
Q1-22,2021-09-02,6.4,02-28-2022,Hong Leong Bank Bhd
Q2-22,2021-09-02,6.35,02-28-2022,Hong Leong Bank Bhd
Q3-22,2021-09-02,6.35,02-28-2022,Hong Leong Bank Bhd
Q4-22,2021-09-02,6.4,02-28-2022,Hong Leong Bank Bhd
