period,change_date,change,file,company
Q4-19,2018-01-18,6.2,05-31-2019,IDEAglobal
Q4-19,2018-01-18,6.2,02-28-2019,IDEAglobal
Q1-18,2018-01-18,6.45,02-28-2018,IDEAglobal
Q2-18,2018-01-18,6.4,02-28-2018,IDEAglobal
Q3-18,2018-01-18,6.35,02-28-2018,IDEAglobal
Q4-18,2018-01-18,6.3,02-28-2018,IDEAglobal
2019,2018-01-18,6.2,02-28-2018,IDEAglobal
Q2-14,2013-12-04,6.0,05-31-2014,IDEAglobal
Q4-14,2013-12-04,6.2,05-31-2014,IDEAglobal
Q1-14,2013-12-04,6.05,02-28-2014,IDEAglobal
Q2-14,2013-12-04,6.0,02-28-2014,IDEAglobal
Q4-14,2013-12-04,6.2,02-28-2014,IDEAglobal
Q2-18,2018-01-18,6.4,05-31-2018,IDEAglobal
Q3-18,2018-01-18,6.35,05-31-2018,IDEAglobal
Q4-18,2018-01-18,6.3,05-31-2018,IDEAglobal
2019,2018-01-18,6.2,05-31-2018,IDEAglobal
Q4-14,2013-12-04,6.2,11-30-2014,IDEAglobal
Q3-18,2018-01-18,6.35,08-31-2018,IDEAglobal
Q4-18,2018-01-18,6.3,08-31-2018,IDEAglobal
2019,2018-01-18,6.2,08-31-2018,IDEAglobal
Q4-18,2018-01-18,6.3,11-30-2018,IDEAglobal
2019,2018-01-18,6.2,11-30-2018,IDEAglobal
Q4-14,2013-12-04,6.2,08-31-2014,IDEAglobal
Q4-19,2018-01-18,6.2,11-30-2019,IDEAglobal
Q4-19,2018-01-18,6.2,08-31-2019,IDEAglobal
