period,change_date,change,file,company
Q2-07,2006-06-13,7.75,05-31-2007,ING Financial Markets
Q2-07,2006-09-15,7.75,05-31-2007,ING Financial Markets
Q2-07,2006-10-09,7.72,05-31-2007,ING Financial Markets
Q2-07,2006-11-16,7.72,05-31-2007,ING Financial Markets
Q2-07,2006-11-28,7.75,05-31-2007,ING Financial Markets
Q2-07,2006-12-12,7.7,05-31-2007,ING Financial Markets
Q2-07,2007-01-09,7.7,05-31-2007,ING Financial Markets
Q2-07,2007-02-16,7.7,05-31-2007,ING Financial Markets
Q2-07,2007-03-22,7.69,05-31-2007,ING Financial Markets
Q2-07,2007-04-20,7.65,05-31-2007,ING Financial Markets
Q2-07,2007-05-24,7.64,05-31-2007,ING Financial Markets
Q3-07,2006-09-15,7.75,05-31-2007,ING Financial Markets
Q3-07,2006-10-09,7.67,05-31-2007,ING Financial Markets
Q3-07,2006-11-16,7.67,05-31-2007,ING Financial Markets
Q3-07,2006-11-28,7.7,05-31-2007,ING Financial Markets
Q3-07,2006-12-12,7.68,05-31-2007,ING Financial Markets
Q3-07,2007-01-09,7.68,05-31-2007,ING Financial Markets
Q3-07,2007-02-16,7.65,05-31-2007,ING Financial Markets
Q3-07,2007-03-22,7.6,05-31-2007,ING Financial Markets
Q3-07,2007-04-20,7.57,05-31-2007,ING Financial Markets
Q3-07,2007-05-24,7.54,05-31-2007,ING Financial Markets
Q4-07,2006-04-18,7.75,05-31-2007,ING Financial Markets
Q4-07,2006-06-13,7.75,05-31-2007,ING Financial Markets
Q4-07,2006-09-15,7.75,05-31-2007,ING Financial Markets
Q4-07,2006-11-28,7.65,05-31-2007,ING Financial Markets
Q4-07,2006-12-12,7.65,05-31-2007,ING Financial Markets
Q4-07,2007-01-09,7.65,05-31-2007,ING Financial Markets
Q4-07,2007-02-16,7.55,05-31-2007,ING Financial Markets
Q4-07,2007-03-22,7.55,05-31-2007,ING Financial Markets
Q4-07,2007-04-20,7.5,05-31-2007,ING Financial Markets
Q4-07,2007-05-24,7.45,05-31-2007,ING Financial Markets
Q1-08,2007-03-22,7.45,05-31-2007,ING Financial Markets
Q1-08,2007-04-20,7.42,05-31-2007,ING Financial Markets
Q1-08,2007-05-24,7.35,05-31-2007,ING Financial Markets
2008,2006-04-18,7.75,05-31-2007,ING Financial Markets
2008,2006-06-13,7.75,05-31-2007,ING Financial Markets
2008,2006-09-15,7.75,05-31-2007,ING Financial Markets
2008,2006-11-28,7.5,05-31-2007,ING Financial Markets
2008,2006-12-12,7.5,05-31-2007,ING Financial Markets
2008,2007-02-16,7.1,05-31-2007,ING Financial Markets
2008,2007-03-22,7.25,05-31-2007,ING Financial Markets
2008,2007-04-20,7.25,05-31-2007,ING Financial Markets
2008,2007-05-24,7.1,05-31-2007,ING Financial Markets
Q2-11,2010-06-22,6.68,05-31-2011,ING Financial Markets
Q2-11,2010-12-14,6.61,05-31-2011,ING Financial Markets
Q2-11,2011-01-10,6.22,05-31-2011,ING Financial Markets
Q2-11,2011-01-14,6.58,05-31-2011,ING Financial Markets
Q2-11,2011-02-21,6.58,05-31-2011,ING Financial Markets
Q2-11,2011-04-01,6.55,05-31-2011,ING Financial Markets
Q2-11,2011-04-13,6.5,05-31-2011,ING Financial Markets
Q2-11,2011-05-24,6.49,05-31-2011,ING Financial Markets
Q3-11,2010-12-14,6.58,05-31-2011,ING Financial Markets
Q3-11,2011-01-10,6.17,05-31-2011,ING Financial Markets
Q3-11,2011-01-14,6.46,05-31-2011,ING Financial Markets
Q3-11,2011-02-21,6.46,05-31-2011,ING Financial Markets
