period,change_date,change,file,company
Q4-15,2013-03-15,6.01,02-28-2015,Intesa Sanpaolo
Q4-15,2013-06-28,6.02,02-28-2015,Intesa Sanpaolo
Q4-15,2013-08-05,6.03,02-28-2015,Intesa Sanpaolo
Q4-15,2013-09-06,6.03,02-28-2015,Intesa Sanpaolo
Q4-15,2013-10-11,6.04,02-28-2015,Intesa Sanpaolo
Q4-15,2013-11-15,6.0,02-28-2015,Intesa Sanpaolo
Q4-15,2013-12-16,5.97,02-28-2015,Intesa Sanpaolo
Q4-15,2014-01-15,5.97,02-28-2015,Intesa Sanpaolo
Q4-15,2014-02-04,5.97,02-28-2015,Intesa Sanpaolo
Q4-15,2013-06-28,6.02,05-31-2015,Intesa Sanpaolo
Q4-15,2013-08-05,6.03,05-31-2015,Intesa Sanpaolo
Q4-15,2013-09-06,6.03,05-31-2015,Intesa Sanpaolo
Q4-15,2013-10-11,6.04,05-31-2015,Intesa Sanpaolo
Q4-15,2013-11-15,6.0,05-31-2015,Intesa Sanpaolo
Q4-15,2013-12-16,5.97,05-31-2015,Intesa Sanpaolo
Q4-15,2014-01-15,5.97,05-31-2015,Intesa Sanpaolo
Q4-15,2014-02-04,5.97,05-31-2015,Intesa Sanpaolo
Q2-14,2013-06-28,6.08,05-31-2014,Intesa Sanpaolo
Q2-14,2013-08-05,6.09,05-31-2014,Intesa Sanpaolo
Q2-14,2013-09-06,6.09,05-31-2014,Intesa Sanpaolo
Q2-14,2013-10-11,6.1,05-31-2014,Intesa Sanpaolo
Q2-14,2013-11-15,6.04,05-31-2014,Intesa Sanpaolo
Q2-14,2013-12-16,6.0,05-31-2014,Intesa Sanpaolo
Q2-14,2014-01-15,6.0,05-31-2014,Intesa Sanpaolo
Q2-14,2014-02-04,6.0,05-31-2014,Intesa Sanpaolo
Q3-14,2013-09-06,6.08,05-31-2014,Intesa Sanpaolo
Q3-14,2013-10-11,6.08,05-31-2014,Intesa Sanpaolo
Q3-14,2013-11-15,6.03,05-31-2014,Intesa Sanpaolo
Q3-14,2013-12-16,5.99,05-31-2014,Intesa Sanpaolo
Q3-14,2014-01-15,5.99,05-31-2014,Intesa Sanpaolo
Q3-14,2014-02-04,5.99,05-31-2014,Intesa Sanpaolo
Q4-14,2013-03-15,6.06,05-31-2014,Intesa Sanpaolo
Q4-14,2013-04-22,6.07,05-31-2014,Intesa Sanpaolo
Q4-14,2013-05-24,6.06,05-31-2014,Intesa Sanpaolo
Q4-14,2013-06-28,6.06,05-31-2014,Intesa Sanpaolo
Q4-14,2013-08-05,6.07,05-31-2014,Intesa Sanpaolo
Q4-14,2013-09-06,6.07,05-31-2014,Intesa Sanpaolo
Q4-14,2013-10-11,6.07,05-31-2014,Intesa Sanpaolo
Q4-14,2013-11-15,6.02,05-31-2014,Intesa Sanpaolo
Q4-14,2013-12-16,5.98,05-31-2014,Intesa Sanpaolo
