period,change_date,change,file,company
Q4-19,2018-03-02,6.5,05-31-2019,Investec
Q1-19,2018-03-02,6.5,02-28-2019,Investec
Q4-19,2018-03-02,6.5,02-28-2019,Investec
Q2-18,2018-03-02,6.65,05-31-2018,Investec
Q3-18,2018-03-02,6.6,05-31-2018,Investec
Q4-18,2018-03-02,6.6,05-31-2018,Investec
Q1-19,2018-03-02,6.5,05-31-2018,Investec
2019,2018-03-02,6.5,05-31-2018,Investec
Q3-18,2018-03-02,6.6,08-31-2018,Investec
Q4-18,2018-03-02,6.6,08-31-2018,Investec
Q1-19,2018-03-02,6.5,08-31-2018,Investec
2019,2018-03-02,6.5,08-31-2018,Investec
Q4-18,2018-03-02,6.6,11-30-2018,Investec
Q1-19,2018-03-02,6.5,11-30-2018,Investec
2019,2018-03-02,6.5,11-30-2018,Investec
Q4-19,2018-03-02,6.5,11-30-2019,Investec
Q4-19,2018-03-02,6.5,08-31-2019,Investec
