period,change_date,change,file,company
Q3-20,2019-11-19,7.25,08-31-2020,Jyske Bank
Q3-20,2019-12-04,7.42,08-31-2020,Jyske Bank
Q3-20,2020-01-13,6.62,08-31-2020,Jyske Bank
Q3-20,2020-03-02,6.83,08-31-2020,Jyske Bank
Q3-20,2020-04-08,6.77,08-31-2020,Jyske Bank
Q3-20,2020-05-29,6.77,08-31-2020,Jyske Bank
Q3-20,2020-07-03,6.78,08-31-2020,Jyske Bank
Q3-20,2020-07-08,6.78,08-31-2020,Jyske Bank
Q3-20,2020-08-06,6.78,08-31-2020,Jyske Bank
Q4-20,2019-12-04,7.25,08-31-2020,Jyske Bank
Q4-20,2020-01-13,6.71,08-31-2020,Jyske Bank
Q4-20,2020-03-02,6.71,08-31-2020,Jyske Bank
Q4-20,2020-04-08,6.78,08-31-2020,Jyske Bank
Q4-20,2020-05-29,6.78,08-31-2020,Jyske Bank
Q4-20,2020-07-03,6.76,08-31-2020,Jyske Bank
Q4-20,2020-07-08,6.76,08-31-2020,Jyske Bank
Q4-20,2020-08-06,6.76,08-31-2020,Jyske Bank
Q1-21,2020-04-08,6.65,08-31-2020,Jyske Bank
Q1-21,2020-05-29,6.65,08-31-2020,Jyske Bank
Q1-21,2020-07-03,6.75,08-31-2020,Jyske Bank
Q1-21,2020-07-08,6.75,08-31-2020,Jyske Bank
Q1-21,2020-08-06,6.75,08-31-2020,Jyske Bank
Q2-21,2020-07-03,6.76,08-31-2020,Jyske Bank
Q2-21,2020-07-08,6.76,08-31-2020,Jyske Bank
Q2-21,2020-08-06,6.76,08-31-2020,Jyske Bank
Q4-16,2015-12-21,6.75,11-30-2016,Jyske Bank
Q4-16,2016-01-15,6.82,11-30-2016,Jyske Bank
Q4-16,2016-02-01,6.82,11-30-2016,Jyske Bank
Q4-16,2016-02-29,6.82,11-30-2016,Jyske Bank
Q4-16,2016-05-30,6.65,11-30-2016,Jyske Bank
Q4-16,2016-07-11,6.8,11-30-2016,Jyske Bank
Q4-16,2016-08-31,6.85,11-30-2016,Jyske Bank
Q4-16,2016-10-05,6.75,11-30-2016,Jyske Bank
Q4-16,2016-11-01,6.83,11-30-2016,Jyske Bank
Q1-17,2016-04-04,6.65,11-30-2016,Jyske Bank
Q1-17,2016-05-03,6.65,11-30-2016,Jyske Bank
Q1-17,2016-10-05,6.85,11-30-2016,Jyske Bank
Q1-17,2016-11-01,6.85,11-30-2016,Jyske Bank
Q2-17,2016-05-30,6.7,11-30-2016,Jyske Bank
Q2-17,2016-07-11,6.85,11-30-2016,Jyske Bank
Q2-17,2016-08-31,6.9,11-30-2016,Jyske Bank
Q3-17,2016-10-05,6.9,11-30-2016,Jyske Bank
Q3-17,2016-11-01,6.95,11-30-2016,Jyske Bank
2017,2016-07-11,6.95,11-30-2016,Jyske Bank
2017,2016-08-31,6.95,11-30-2016,Jyske Bank
2017,2016-10-05,6.95,11-30-2016,Jyske Bank
2018,2016-11-01,7.0,11-30-2016,Jyske Bank
Q3-16,2015-09-07,6.66,08-31-2016,Jyske Bank
Q3-16,2015-10-02,6.66,08-31-2016,Jyske Bank
Q3-16,2015-10-30,6.55,08-31-2016,Jyske Bank
Q3-16,2016-01-15,6.75,08-31-2016,Jyske Bank
Q3-16,2016-02-01,6.75,08-31-2016,Jyske Bank
Q3-16,2016-02-29,6.75,08-31-2016,Jyske Bank
Q3-16,2016-04-04,6.6,08-31-2016,Jyske Bank
Q3-16,2016-05-03,6.6,08-31-2016,Jyske Bank
Q3-16,2016-05-30,6.55,08-31-2016,Jyske Bank
Q3-16,2016-07-11,6.75,08-31-2016,Jyske Bank
