period,change_date,change,file,company
Q3-20,2019-10-14,7.1,08-31-2020,KasikornBank
Q3-20,2019-11-07,7.1,08-31-2020,KasikornBank
Q3-20,2019-12-03,7.1,08-31-2020,KasikornBank
Q3-20,2020-01-15,7.02,08-31-2020,KasikornBank
Q3-20,2020-02-18,7.15,08-31-2020,KasikornBank
Q3-20,2020-04-22,7.06,08-31-2020,KasikornBank
Q3-20,2020-06-09,7.06,08-31-2020,KasikornBank
Q3-20,2020-07-13,7.06,08-31-2020,KasikornBank
Q3-20,2020-07-30,7.06,08-31-2020,KasikornBank
Q3-20,2020-08-06,7.06,08-31-2020,KasikornBank
Q4-20,2019-10-14,7.09,08-31-2020,KasikornBank
Q4-20,2019-11-07,7.09,08-31-2020,KasikornBank
Q4-20,2019-12-03,7.09,08-31-2020,KasikornBank
Q4-20,2020-01-15,7.03,08-31-2020,KasikornBank
Q4-20,2020-02-18,6.98,08-31-2020,KasikornBank
Q4-20,2020-04-22,7.05,08-31-2020,KasikornBank
Q4-20,2020-06-09,7.05,08-31-2020,KasikornBank
Q4-20,2020-07-13,7.05,08-31-2020,KasikornBank
Q4-20,2020-07-30,7.05,08-31-2020,KasikornBank
Q4-20,2020-08-06,7.05,08-31-2020,KasikornBank
Q4-20,2019-10-14,7.09,11-30-2020,KasikornBank
Q4-20,2019-11-07,7.09,11-30-2020,KasikornBank
Q4-20,2019-12-03,7.09,11-30-2020,KasikornBank
Q4-20,2020-01-15,7.03,11-30-2020,KasikornBank
Q4-20,2020-02-18,6.98,11-30-2020,KasikornBank
Q4-20,2020-04-22,7.05,11-30-2020,KasikornBank
Q4-20,2020-06-09,7.05,11-30-2020,KasikornBank
Q4-20,2020-07-13,7.05,11-30-2020,KasikornBank
Q4-20,2020-07-30,7.05,11-30-2020,KasikornBank
Q4-20,2020-08-06,7.05,11-30-2020,KasikornBank
Q4-20,2020-09-09,7.05,11-30-2020,KasikornBank
Q4-20,2020-10-01,6.7,11-30-2020,KasikornBank
Q4-20,2020-11-17,6.7,11-30-2020,KasikornBank
Q4-20,2020-11-20,6.7,11-30-2020,KasikornBank
Q4-21,2020-12-15,6.4,11-30-2021,KasikornBank
Q4-21,2021-01-15,6.4,11-30-2021,KasikornBank
Q4-21,2021-03-19,6.4,11-30-2021,KasikornBank
Q4-21,2021-04-07,6.4,11-30-2021,KasikornBank
Q4-21,2021-05-13,6.4,11-30-2021,KasikornBank
Q4-21,2021-06-09,6.4,11-30-2021,KasikornBank
Q4-21,2021-06-29,6.4,11-30-2021,KasikornBank
Q4-21,2021-07-13,6.4,11-30-2021,KasikornBank
Q3-21,2020-12-15,6.4,08-31-2021,KasikornBank
Q3-21,2021-01-15,6.4,08-31-2021,KasikornBank
Q3-21,2021-03-19,6.4,08-31-2021,KasikornBank
Q3-21,2021-04-07,6.4,08-31-2021,KasikornBank
Q3-21,2021-05-13,6.4,08-31-2021,KasikornBank
Q3-21,2021-06-09,6.4,08-31-2021,KasikornBank
Q3-21,2021-06-29,6.4,08-31-2021,KasikornBank
Q3-21,2021-07-13,6.4,08-31-2021,KasikornBank
Q4-21,2020-12-15,6.4,08-31-2021,KasikornBank
Q4-21,2021-01-15,6.4,08-31-2021,KasikornBank
Q4-21,2021-03-19,6.4,08-31-2021,KasikornBank
Q4-21,2021-04-07,6.4,08-31-2021,KasikornBank
Q4-21,2021-05-13,6.4,08-31-2021,KasikornBank
Q4-21,2021-06-09,6.4,08-31-2021,KasikornBank
Q4-21,2021-06-29,6.4,08-31-2021,KasikornBank
Q4-21,2021-07-13,6.4,08-31-2021,KasikornBank
Q2-21,2020-12-15,6.5,05-31-2021,KasikornBank
Q2-21,2021-01-15,6.5,05-31-2021,KasikornBank
Q2-21,2021-03-19,6.5,05-31-2021,KasikornBank
Q2-21,2021-04-07,6.5,05-31-2021,KasikornBank
Q2-21,2021-05-13,6.5,05-31-2021,KasikornBank
Q3-21,2020-12-15,6.4,05-31-2021,KasikornBank
Q3-21,2021-01-15,6.4,05-31-2021,KasikornBank
Q3-21,2021-03-19,6.4,05-31-2021,KasikornBank
Q3-21,2021-04-07,6.4,05-31-2021,KasikornBank
Q3-21,2021-05-13,6.4,05-31-2021,KasikornBank
Q4-21,2020-12-15,6.4,05-31-2021,KasikornBank
Q4-21,2021-01-15,6.4,05-31-2021,KasikornBank
Q4-21,2021-03-19,6.4,05-31-2021,KasikornBank
Q4-21,2021-04-07,6.4,05-31-2021,KasikornBank
Q4-21,2021-05-13,6.4,05-31-2021,KasikornBank
Q1-21,2020-12-15,6.6,02-28-2021,KasikornBank
