period,change_date,change,file,company
Q3-20,2019-09-05,7.25,08-31-2020,Klarity FX
Q3-20,2019-10-09,7.25,08-31-2020,Klarity FX
Q3-20,2019-11-22,7.15,08-31-2020,Klarity FX
Q3-20,2019-12-09,7.15,08-31-2020,Klarity FX
Q3-20,2020-01-15,7.08,08-31-2020,Klarity FX
Q3-20,2020-02-25,7.1,08-31-2020,Klarity FX
Q3-20,2020-03-05,7.05,08-31-2020,Klarity FX
Q3-20,2020-04-16,7.05,08-31-2020,Klarity FX
Q3-20,2020-06-04,7.0,08-31-2020,Klarity FX
Q3-20,2020-07-28,6.98,08-31-2020,Klarity FX
Q4-20,2019-10-09,7.2,08-31-2020,Klarity FX
Q4-20,2019-11-22,7.1,08-31-2020,Klarity FX
Q4-20,2019-12-09,7.1,08-31-2020,Klarity FX
Q4-20,2020-01-15,7.12,08-31-2020,Klarity FX
Q4-20,2020-02-25,7.1,08-31-2020,Klarity FX
Q4-20,2020-03-05,7.05,08-31-2020,Klarity FX
Q4-20,2020-04-16,7.1,08-31-2020,Klarity FX
Q4-20,2020-06-04,7.05,08-31-2020,Klarity FX
Q4-20,2020-07-28,7.02,08-31-2020,Klarity FX
Q1-21,2020-03-05,7.0,08-31-2020,Klarity FX
Q1-21,2020-04-16,7.15,08-31-2020,Klarity FX
Q1-21,2020-06-04,7.1,08-31-2020,Klarity FX
Q1-21,2020-07-28,7.05,08-31-2020,Klarity FX
Q2-21,2020-06-04,7.15,08-31-2020,Klarity FX
Q2-21,2020-07-28,7.1,08-31-2020,Klarity FX
Q4-16,2016-10-26,6.77,11-30-2016,Klarity FX
Q1-17,2016-10-26,6.79,11-30-2016,Klarity FX
Q2-17,2016-10-26,6.8,11-30-2016,Klarity FX
Q3-17,2016-10-26,6.9,11-30-2016,Klarity FX
2017,2016-10-26,6.9,11-30-2016,Klarity FX
Q4-20,2019-10-09,7.2,11-30-2020,Klarity FX
Q4-20,2019-11-22,7.1,11-30-2020,Klarity FX
Q4-20,2019-12-09,7.1,11-30-2020,Klarity FX
Q4-20,2020-01-15,7.12,11-30-2020,Klarity FX
Q4-20,2020-02-25,7.1,11-30-2020,Klarity FX
Q4-20,2020-03-05,7.05,11-30-2020,Klarity FX
Q4-20,2020-04-16,7.1,11-30-2020,Klarity FX
Q4-20,2020-06-04,7.05,11-30-2020,Klarity FX
Q4-20,2020-07-28,7.02,11-30-2020,Klarity FX
Q4-20,2020-09-08,6.9,11-30-2020,Klarity FX
Q4-20,2020-10-20,6.7,11-30-2020,Klarity FX
Q1-21,2020-03-05,7.0,11-30-2020,Klarity FX
Q1-21,2020-04-16,7.15,11-30-2020,Klarity FX
Q1-21,2020-06-04,7.1,11-30-2020,Klarity FX
Q1-21,2020-07-28,7.05,11-30-2020,Klarity FX
Q1-21,2020-09-08,6.95,11-30-2020,Klarity FX
Q1-21,2020-10-20,6.75,11-30-2020,Klarity FX
Q2-21,2020-06-04,7.15,11-30-2020,Klarity FX
Q2-21,2020-07-28,7.1,11-30-2020,Klarity FX
Q2-21,2020-09-08,7.0,11-30-2020,Klarity FX
Q2-21,2020-10-20,6.75,11-30-2020,Klarity FX
Q3-21,2020-09-08,7.05,11-30-2020,Klarity FX
Q3-21,2020-10-20,6.85,11-30-2020,Klarity FX
Q4-21,2020-12-15,6.55,11-30-2021,Klarity FX
Q4-21,2021-02-17,6.5,11-30-2021,Klarity FX
Q4-21,2021-03-03,6.48,11-30-2021,Klarity FX
Q4-21,2021-04-14,6.56,11-30-2021,Klarity FX
Q4-21,2021-05-24,6.53,11-30-2021,Klarity FX
Q4-21,2021-06-29,6.54,11-30-2021,Klarity FX
Q4-21,2021-08-05,6.53,11-30-2021,Klarity FX
Q4-21,2021-10-18,6.47,11-30-2021,Klarity FX
