period,change_date,change,file,company
Q3-20,2019-09-26,6.5,08-31-2020,Krung Thai Bank PCL
Q3-20,2019-10-24,6.5,08-31-2020,Krung Thai Bank PCL
Q3-20,2019-12-04,6.7,08-31-2020,Krung Thai Bank PCL
Q3-20,2020-02-27,6.9,08-31-2020,Krung Thai Bank PCL
Q3-20,2020-06-01,7.0,08-31-2020,Krung Thai Bank PCL
Q4-20,2018-09-04,7.0,08-31-2020,Krung Thai Bank PCL
Q4-20,2018-09-28,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2018-10-29,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2018-11-28,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2018-12-27,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-01-28,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-03-04,6.2,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-03-06,6.2,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-04-02,6.25,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-04-30,6.25,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-06-07,6.25,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-07-02,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-08-05,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-08-27,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-09-26,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-10-24,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2019-12-04,6.5,08-31-2020,Krung Thai Bank PCL
Q4-20,2020-02-27,6.75,08-31-2020,Krung Thai Bank PCL
Q4-20,2020-06-01,6.95,08-31-2020,Krung Thai Bank PCL
Q1-21,2020-06-01,6.9,08-31-2020,Krung Thai Bank PCL
Q2-21,2020-06-01,6.85,08-31-2020,Krung Thai Bank PCL
2021,2018-09-04,7.25,08-31-2020,Krung Thai Bank PCL
2021,2018-09-28,6.3,08-31-2020,Krung Thai Bank PCL
2021,2018-10-29,6.3,08-31-2020,Krung Thai Bank PCL
2021,2018-11-28,6.3,08-31-2020,Krung Thai Bank PCL
2021,2018-12-27,6.25,08-31-2020,Krung Thai Bank PCL
2021,2019-01-28,6.25,08-31-2020,Krung Thai Bank PCL
2021,2019-03-04,6.2,08-31-2020,Krung Thai Bank PCL
2021,2019-03-06,6.2,08-31-2020,Krung Thai Bank PCL
2021,2019-04-02,6.0,08-31-2020,Krung Thai Bank PCL
2021,2019-04-30,6.0,08-31-2020,Krung Thai Bank PCL
2021,2019-06-07,6.0,08-31-2020,Krung Thai Bank PCL
2021,2019-07-02,6.0,08-31-2020,Krung Thai Bank PCL
2021,2019-08-05,6.0,08-31-2020,Krung Thai Bank PCL
2021,2019-08-27,6.5,08-31-2020,Krung Thai Bank PCL
2021,2019-09-26,6.5,08-31-2020,Krung Thai Bank PCL
2021,2019-10-24,6.5,08-31-2020,Krung Thai Bank PCL
2021,2019-12-04,6.5,08-31-2020,Krung Thai Bank PCL
2021,2020-02-27,6.5,08-31-2020,Krung Thai Bank PCL
2021,2020-06-01,6.75,08-31-2020,Krung Thai Bank PCL
2022,2018-12-27,5.75,08-31-2020,Krung Thai Bank PCL
2022,2019-01-28,5.75,08-31-2020,Krung Thai Bank PCL
2022,2019-03-04,5.75,08-31-2020,Krung Thai Bank PCL
2022,2019-03-06,5.75,08-31-2020,Krung Thai Bank PCL
2022,2019-04-02,5.9,08-31-2020,Krung Thai Bank PCL
2022,2019-04-30,5.9,08-31-2020,Krung Thai Bank PCL
2022,2019-06-07,6.0,08-31-2020,Krung Thai Bank PCL
2022,2019-07-02,6.0,08-31-2020,Krung Thai Bank PCL
2022,2019-08-05,6.0,08-31-2020,Krung Thai Bank PCL
2022,2019-08-27,6.5,08-31-2020,Krung Thai Bank PCL
2022,2019-09-26,6.5,08-31-2020,Krung Thai Bank PCL
2022,2019-10-24,6.5,08-31-2020,Krung Thai Bank PCL
2022,2019-12-04,6.3,08-31-2020,Krung Thai Bank PCL
2022,2020-02-27,6.3,08-31-2020,Krung Thai Bank PCL
2022,2020-06-01,6.6,08-31-2020,Krung Thai Bank PCL
2023,2019-12-04,6.2,08-31-2020,Krung Thai Bank PCL
2023,2020-02-27,6.2,08-31-2020,Krung Thai Bank PCL
2023,2020-06-01,6.5,08-31-2020,Krung Thai Bank PCL
2024,2019-12-04,6.1,08-31-2020,Krung Thai Bank PCL
2024,2020-06-01,6.4,08-31-2020,Krung Thai Bank PCL
Q4-20,2018-12-27,6.5,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-01-28,6.5,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-03-04,6.2,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-03-06,6.2,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-04-02,6.25,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-04-30,6.25,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-06-07,6.25,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-07-02,6.5,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-08-05,6.5,11-30-2020,Krung Thai Bank PCL
Q4-20,2019-08-27,6.5,11-30-2020,Krung Thai Bank PCL
