period,change_date,change,file,company
Q3-17,2017-06-14,6.9,08-31-2017,LGT Bank Singapore Ltd
Q3-17,2017-06-30,6.9,08-31-2017,LGT Bank Singapore Ltd
Q3-17,2017-07-13,6.9,08-31-2017,LGT Bank Singapore Ltd
Q3-17,2017-08-01,6.8,08-31-2017,LGT Bank Singapore Ltd
Q4-17,2017-06-14,7.0,08-31-2017,LGT Bank Singapore Ltd
Q4-17,2017-06-30,7.0,08-31-2017,LGT Bank Singapore Ltd
Q4-17,2017-07-13,7.0,08-31-2017,LGT Bank Singapore Ltd
Q4-17,2017-08-01,6.9,08-31-2017,LGT Bank Singapore Ltd
Q1-18,2017-01-16,7.05,08-31-2017,LGT Bank Singapore Ltd
Q1-18,2017-06-14,7.05,08-31-2017,LGT Bank Singapore Ltd
Q1-18,2017-06-30,7.05,08-31-2017,LGT Bank Singapore Ltd
Q1-18,2017-07-13,7.05,08-31-2017,LGT Bank Singapore Ltd
Q1-18,2017-08-01,6.95,08-31-2017,LGT Bank Singapore Ltd
Q2-18,2017-01-16,7.1,08-31-2017,LGT Bank Singapore Ltd
Q2-18,2017-06-14,7.1,08-31-2017,LGT Bank Singapore Ltd
Q2-18,2017-06-30,7.1,08-31-2017,LGT Bank Singapore Ltd
Q2-18,2017-07-13,7.1,08-31-2017,LGT Bank Singapore Ltd
Q2-18,2017-08-01,7.0,08-31-2017,LGT Bank Singapore Ltd
Q4-17,2017-06-14,7.0,11-30-2017,LGT Bank Singapore Ltd
Q4-17,2017-06-30,7.0,11-30-2017,LGT Bank Singapore Ltd
Q4-17,2017-07-13,7.0,11-30-2017,LGT Bank Singapore Ltd
Q4-17,2017-08-01,6.9,11-30-2017,LGT Bank Singapore Ltd
Q4-17,2017-09-04,6.9,11-30-2017,LGT Bank Singapore Ltd
Q4-17,2017-09-18,6.9,11-30-2017,LGT Bank Singapore Ltd
Q4-17,2017-09-29,6.75,11-30-2017,LGT Bank Singapore Ltd
Q4-17,2017-10-27,6.75,11-30-2017,LGT Bank Singapore Ltd
