period,change_date,change,file,company
Q2-07,2006-08-08,7.6,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-08-11,7.6,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-08-18,7.6,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-09-01,7.7,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-09-08,7.7,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-09-15,7.7,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-09-22,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-09-29,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-10-06,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-10-13,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-10-27,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-11-03,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-12-04,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2006-12-15,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-01-09,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-01-18,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-02-09,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-03-02,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-03-16,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-03-30,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-04-05,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-04-13,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-04-20,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-05-04,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-05-11,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q2-07,2007-05-25,7.65,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-09-01,7.6,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-09-08,7.6,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-09-15,7.6,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-09-22,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-09-29,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-10-06,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-10-13,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-10-27,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-11-03,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-12-04,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2006-12-15,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2007-01-09,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2007-01-18,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2007-02-09,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2007-03-02,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
Q3-07,2007-03-16,7.55,05-31-2007,Landesbank Baden-Wuerttemberg
