period,change_date,change,file,company
Q2-07,2006-06-16,7.62,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2006-06-23,7.62,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2006-07-07,7.62,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2006-08-17,7.62,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2006-09-20,7.62,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2006-10-25,7.66,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2006-11-29,7.66,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2006-12-14,7.66,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2007-01-19,7.64,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2007-02-22,7.57,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2007-04-02,7.57,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2007-04-23,7.57,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2007-05-23,7.57,05-31-2007,Lloyds Bank Commercial Banking
Q2-07,2007-05-24,7.57,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2006-09-20,7.56,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2006-10-25,7.58,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2006-11-29,7.58,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2006-12-14,7.58,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2007-01-19,7.55,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2007-02-22,7.48,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2007-04-02,7.48,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2007-04-23,7.48,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2007-05-23,7.43,05-31-2007,Lloyds Bank Commercial Banking
Q3-07,2007-05-24,7.43,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-05-03,7.31,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-05-12,7.54,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-06-16,7.56,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-06-23,7.56,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-07-07,7.56,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-08-17,7.56,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-09-20,7.56,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-10-25,7.54,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-11-29,7.54,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2006-12-14,7.54,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2007-01-19,7.45,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2007-02-22,7.39,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2007-04-02,7.39,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2007-04-23,7.39,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2007-05-23,7.31,05-31-2007,Lloyds Bank Commercial Banking
Q4-07,2007-05-24,7.31,05-31-2007,Lloyds Bank Commercial Banking
Q1-08,2007-04-02,7.31,05-31-2007,Lloyds Bank Commercial Banking
Q1-08,2007-04-23,7.31,05-31-2007,Lloyds Bank Commercial Banking
Q1-08,2007-05-23,7.24,05-31-2007,Lloyds Bank Commercial Banking
Q1-08,2007-05-24,7.24,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-05-12,7.09,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-06-16,7.09,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-06-23,7.09,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-07-07,7.09,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-08-17,7.09,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-09-20,7.09,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-10-25,7.28,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-11-29,7.28,05-31-2007,Lloyds Bank Commercial Banking
2008,2006-12-14,7.28,05-31-2007,Lloyds Bank Commercial Banking
2008,2007-01-19,7.13,05-31-2007,Lloyds Bank Commercial Banking
2008,2007-02-22,7.11,05-31-2007,Lloyds Bank Commercial Banking
2008,2007-04-02,7.11,05-31-2007,Lloyds Bank Commercial Banking
2008,2007-04-23,7.11,05-31-2007,Lloyds Bank Commercial Banking
2008,2007-05-23,7.11,05-31-2007,Lloyds Bank Commercial Banking
2008,2007-05-24,7.11,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-05-12,6.91,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-06-16,6.91,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-06-23,6.91,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-07-07,6.91,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-08-17,6.91,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-09-20,6.91,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-10-25,7.17,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-11-29,7.17,05-31-2007,Lloyds Bank Commercial Banking
2009,2006-12-14,7.17,05-31-2007,Lloyds Bank Commercial Banking
2009,2007-01-19,7.1,05-31-2007,Lloyds Bank Commercial Banking
2009,2007-02-22,6.8,05-31-2007,Lloyds Bank Commercial Banking
2009,2007-04-23,6.8,05-31-2007,Lloyds Bank Commercial Banking
2009,2007-05-23,6.8,05-31-2007,Lloyds Bank Commercial Banking
2009,2007-05-24,6.8,05-31-2007,Lloyds Bank Commercial Banking
2010,2006-05-12,6.79,05-31-2007,Lloyds Bank Commercial Banking
2010,2006-06-16,6.79,05-31-2007,Lloyds Bank Commercial Banking
2010,2006-06-23,6.79,05-31-2007,Lloyds Bank Commercial Banking
2010,2006-07-07,6.79,05-31-2007,Lloyds Bank Commercial Banking
2010,2006-08-17,6.79,05-31-2007,Lloyds Bank Commercial Banking
2010,2006-09-20,6.79,05-31-2007,Lloyds Bank Commercial Banking
2010,2006-10-25,7.1,05-31-2007,Lloyds Bank Commercial Banking
2010,2006-11-29,7.1,05-31-2007,Lloyds Bank Commercial Banking
