period,change_date,change,file,company
Q2-11,2010-06-01,6.45,05-31-2011,MUFG
Q2-11,2010-06-21,6.6,05-31-2011,MUFG
Q2-11,2010-07-01,6.6,05-31-2011,MUFG
Q2-11,2010-08-02,6.6,05-31-2011,MUFG
Q2-11,2010-09-01,6.63,05-31-2011,MUFG
Q2-11,2010-10-01,6.45,05-31-2011,MUFG
Q2-11,2010-11-01,6.45,05-31-2011,MUFG
Q2-11,2010-12-01,6.48,05-31-2011,MUFG
Q2-11,2011-01-04,6.46,05-31-2011,MUFG
Q2-11,2011-02-01,6.46,05-31-2011,MUFG
Q2-11,2011-03-01,6.52,05-31-2011,MUFG
Q2-11,2011-04-04,6.5,05-31-2011,MUFG
Q2-11,2011-05-03,6.44,05-31-2011,MUFG
Q3-11,2010-09-01,6.57,05-31-2011,MUFG
Q3-11,2010-10-01,6.4,05-31-2011,MUFG
Q3-11,2010-11-01,6.4,05-31-2011,MUFG
Q3-11,2010-12-01,6.43,05-31-2011,MUFG
Q3-11,2011-01-04,6.39,05-31-2011,MUFG
Q3-11,2011-02-01,6.39,05-31-2011,MUFG
Q3-11,2011-03-01,6.44,05-31-2011,MUFG
Q3-11,2011-04-04,6.44,05-31-2011,MUFG
Q3-11,2011-05-03,6.36,05-31-2011,MUFG
Q4-11,2010-12-01,6.37,05-31-2011,MUFG
Q4-11,2011-01-04,6.34,05-31-2011,MUFG
Q4-11,2011-02-01,6.34,05-31-2011,MUFG
Q4-11,2011-03-01,6.37,05-31-2011,MUFG
Q4-11,2011-04-04,6.39,05-31-2011,MUFG
Q4-11,2011-05-03,6.3,05-31-2011,MUFG
Q1-12,2011-03-01,6.3,05-31-2011,MUFG
Q1-12,2011-04-04,6.33,05-31-2011,MUFG
Q1-12,2011-05-03,6.25,05-31-2011,MUFG
Q3-20,2019-10-03,7.3,08-31-2020,MUFG
Q3-20,2019-11-04,7.21,08-31-2020,MUFG
Q3-20,2019-12-04,7.18,08-31-2020,MUFG
Q3-20,2020-01-07,7.18,08-31-2020,MUFG
Q3-20,2020-02-03,7.05,08-31-2020,MUFG
Q3-20,2020-03-02,7.05,08-31-2020,MUFG
Q3-20,2020-05-14,7.0,08-31-2020,MUFG
Q3-20,2020-06-08,7.15,08-31-2020,MUFG
Q3-20,2020-07-17,7.05,08-31-2020,MUFG
Q4-20,2020-01-07,7.21,08-31-2020,MUFG
Q4-20,2020-02-03,7.12,08-31-2020,MUFG
Q4-20,2020-03-02,7.12,08-31-2020,MUFG
Q4-20,2020-05-14,7.05,08-31-2020,MUFG
Q4-20,2020-06-08,7.2,08-31-2020,MUFG
Q4-20,2020-07-17,7.1,08-31-2020,MUFG
Q1-21,2020-05-14,7.0,08-31-2020,MUFG
Q1-21,2020-06-08,7.1,08-31-2020,MUFG
Q1-21,2020-07-17,7.0,08-31-2020,MUFG
Q2-21,2020-07-17,7.07,08-31-2020,MUFG
Q4-16,2016-01-06,6.45,11-30-2016,MUFG
Q4-16,2016-01-12,6.45,11-30-2016,MUFG
Q4-16,2016-02-01,6.51,11-30-2016,MUFG
Q4-16,2016-02-05,6.45,11-30-2016,MUFG
Q4-16,2016-02-29,6.45,11-30-2016,MUFG
Q4-16,2016-03-04,6.45,11-30-2016,MUFG
Q4-16,2016-04-01,6.45,11-30-2016,MUFG
Q4-16,2016-04-07,6.45,11-30-2016,MUFG
Q4-16,2016-04-29,6.45,11-30-2016,MUFG
Q4-16,2016-05-13,6.45,11-30-2016,MUFG
Q4-16,2016-06-01,6.55,11-30-2016,MUFG
Q4-16,2016-06-15,6.55,11-30-2016,MUFG
Q4-16,2016-07-01,6.55,11-30-2016,MUFG
Q4-16,2016-08-01,6.85,11-30-2016,MUFG
Q4-16,2016-08-10,6.85,11-30-2016,MUFG
Q4-16,2016-09-01,6.85,11-30-2016,MUFG
Q4-16,2016-09-05,6.85,11-30-2016,MUFG
Q4-16,2016-09-07,6.85,11-30-2016,MUFG
Q4-16,2016-09-30,6.8,11-30-2016,MUFG
Q4-16,2016-11-01,6.8,11-30-2016,MUFG
Q1-17,2016-02-29,6.4,11-30-2016,MUFG
Q1-17,2016-04-01,6.4,11-30-2016,MUFG
Q1-17,2016-04-07,6.4,11-30-2016,MUFG
Q1-17,2016-04-29,6.4,11-30-2016,MUFG
Q1-17,2016-05-13,6.4,11-30-2016,MUFG
Q1-17,2016-06-01,6.5,11-30-2016,MUFG
Q1-17,2016-06-15,6.5,11-30-2016,MUFG
Q1-17,2016-07-01,6.5,11-30-2016,MUFG
Q1-17,2016-08-01,6.75,11-30-2016,MUFG
Q1-17,2016-08-10,6.75,11-30-2016,MUFG
Q1-17,2016-09-01,6.75,11-30-2016,MUFG
Q1-17,2016-09-05,6.75,11-30-2016,MUFG
Q1-17,2016-09-07,6.75,11-30-2016,MUFG
Q1-17,2016-09-30,6.85,11-30-2016,MUFG
Q1-17,2016-11-01,6.9,11-30-2016,MUFG
Q2-17,2016-07-01,6.45,11-30-2016,MUFG
Q2-17,2016-08-01,6.65,11-30-2016,MUFG
Q2-17,2016-08-10,6.65,11-30-2016,MUFG
Q2-17,2016-09-01,6.65,11-30-2016,MUFG
Q2-17,2016-09-05,6.65,11-30-2016,MUFG
Q2-17,2016-09-07,6.65,11-30-2016,MUFG
Q2-17,2016-09-30,6.65,11-30-2016,MUFG
Q2-17,2016-11-01,6.7,11-30-2016,MUFG
Q3-17,2016-09-30,6.6,11-30-2016,MUFG
Q3-17,2016-11-01,6.65,11-30-2016,MUFG
Q1-11,2010-03-01,6.5,02-28-2011,MUFG
Q1-11,2010-04-01,6.5,02-28-2011,MUFG
Q1-11,2010-05-04,6.5,02-28-2011,MUFG
Q1-11,2010-06-01,6.55,02-28-2011,MUFG
Q1-11,2010-06-21,6.67,02-28-2011,MUFG
Q1-11,2010-07-01,6.67,02-28-2011,MUFG
Q1-11,2010-08-02,6.67,02-28-2011,MUFG
Q1-11,2010-09-01,6.69,02-28-2011,MUFG
Q1-11,2010-10-01,6.5,02-28-2011,MUFG
Q1-11,2010-11-01,6.5,02-28-2011,MUFG
Q1-11,2010-12-01,6.54,02-28-2011,MUFG
Q1-11,2011-01-04,6.53,02-28-2011,MUFG
Q1-11,2011-02-01,6.53,02-28-2011,MUFG
Q2-11,2010-06-01,6.45,02-28-2011,MUFG
Q2-11,2010-06-21,6.6,02-28-2011,MUFG
Q2-11,2010-07-01,6.6,02-28-2011,MUFG
Q2-11,2010-08-02,6.6,02-28-2011,MUFG
Q2-11,2010-09-01,6.63,02-28-2011,MUFG
Q2-11,2010-10-01,6.45,02-28-2011,MUFG
Q2-11,2010-11-01,6.45,02-28-2011,MUFG
Q2-11,2010-12-01,6.48,02-28-2011,MUFG
Q2-11,2011-01-04,6.46,02-28-2011,MUFG
Q2-11,2011-02-01,6.46,02-28-2011,MUFG
Q3-11,2010-09-01,6.57,02-28-2011,MUFG
Q3-11,2010-10-01,6.4,02-28-2011,MUFG
Q3-11,2010-11-01,6.4,02-28-2011,MUFG
Q3-11,2010-12-01,6.43,02-28-2011,MUFG
Q3-11,2011-01-04,6.39,02-28-2011,MUFG
Q3-11,2011-02-01,6.39,02-28-2011,MUFG
Q4-11,2010-12-01,6.37,02-28-2011,MUFG
Q4-11,2011-01-04,6.34,02-28-2011,MUFG
Q4-11,2011-02-01,6.34,02-28-2011,MUFG
Q3-16,2015-09-30,6.25,08-31-2016,MUFG
Q3-16,2015-10-07,6.35,08-31-2016,MUFG
Q3-16,2015-10-30,6.35,08-31-2016,MUFG
Q3-16,2015-11-23,6.35,08-31-2016,MUFG
Q3-16,2015-11-30,6.35,08-31-2016,MUFG
Q3-16,2015-12-04,6.35,08-31-2016,MUFG
Q3-16,2016-01-06,6.71,08-31-2016,MUFG
Q3-16,2016-01-12,6.71,08-31-2016,MUFG
Q3-16,2016-02-01,6.77,08-31-2016,MUFG
Q3-16,2016-02-05,6.71,08-31-2016,MUFG
Q3-16,2016-02-29,6.71,08-31-2016,MUFG
Q3-16,2016-03-04,6.71,08-31-2016,MUFG
Q3-16,2016-04-01,6.61,08-31-2016,MUFG
Q3-16,2016-04-07,6.61,08-31-2016,MUFG
Q3-16,2016-04-29,6.61,08-31-2016,MUFG
Q3-16,2016-05-13,6.61,08-31-2016,MUFG
Q3-16,2016-06-01,6.68,08-31-2016,MUFG
Q3-16,2016-06-15,6.68,08-31-2016,MUFG
Q3-16,2016-07-01,6.75,08-31-2016,MUFG
Q3-16,2016-08-01,6.75,08-31-2016,MUFG
Q3-16,2016-08-10,6.75,08-31-2016,MUFG
Q4-16,2016-01-06,6.45,08-31-2016,MUFG
Q4-16,2016-01-12,6.45,08-31-2016,MUFG
Q4-16,2016-02-01,6.51,08-31-2016,MUFG
Q4-16,2016-02-05,6.45,08-31-2016,MUFG
Q4-16,2016-02-29,6.45,08-31-2016,MUFG
Q4-16,2016-03-04,6.45,08-31-2016,MUFG
Q4-16,2016-04-01,6.45,08-31-2016,MUFG
Q4-16,2016-04-07,6.45,08-31-2016,MUFG
Q4-16,2016-04-29,6.45,08-31-2016,MUFG
Q4-16,2016-05-13,6.45,08-31-2016,MUFG
Q4-16,2016-06-01,6.55,08-31-2016,MUFG
Q4-16,2016-06-15,6.55,08-31-2016,MUFG
Q4-16,2016-07-01,6.55,08-31-2016,MUFG
Q4-16,2016-08-01,6.85,08-31-2016,MUFG
Q4-16,2016-08-10,6.85,08-31-2016,MUFG
Q1-17,2016-02-29,6.4,08-31-2016,MUFG
Q1-17,2016-04-01,6.4,08-31-2016,MUFG
Q1-17,2016-04-07,6.4,08-31-2016,MUFG
Q1-17,2016-04-29,6.4,08-31-2016,MUFG
Q1-17,2016-05-13,6.4,08-31-2016,MUFG
Q1-17,2016-06-01,6.5,08-31-2016,MUFG
Q1-17,2016-06-15,6.5,08-31-2016,MUFG
Q1-17,2016-07-01,6.5,08-31-2016,MUFG
Q1-17,2016-08-01,6.75,08-31-2016,MUFG
Q1-17,2016-08-10,6.75,08-31-2016,MUFG
Q2-17,2016-07-01,6.45,08-31-2016,MUFG
Q2-17,2016-08-01,6.65,08-31-2016,MUFG
Q2-17,2016-08-10,6.65,08-31-2016,MUFG
Q4-20,2020-01-07,7.21,11-30-2020,MUFG
Q4-20,2020-02-03,7.12,11-30-2020,MUFG
Q4-20,2020-03-02,7.12,11-30-2020,MUFG
Q4-20,2020-05-14,7.05,11-30-2020,MUFG
Q4-20,2020-06-08,7.2,11-30-2020,MUFG
Q4-20,2020-07-17,7.1,11-30-2020,MUFG
Q4-20,2020-09-08,6.82,11-30-2020,MUFG
Q4-20,2020-10-13,6.85,11-30-2020,MUFG
Q1-21,2020-05-14,7.0,11-30-2020,MUFG
Q1-21,2020-06-08,7.1,11-30-2020,MUFG
Q1-21,2020-07-17,7.0,11-30-2020,MUFG
Q1-21,2020-09-08,6.79,11-30-2020,MUFG
Q1-21,2020-10-13,6.8,11-30-2020,MUFG
Q2-21,2020-07-17,7.07,11-30-2020,MUFG
Q2-21,2020-09-08,6.75,11-30-2020,MUFG
Q2-21,2020-10-13,6.75,11-30-2020,MUFG
Q3-21,2020-10-13,6.78,11-30-2020,MUFG
Q4-21,2021-01-13,6.25,11-30-2021,MUFG
Q4-21,2021-02-02,6.25,11-30-2021,MUFG
Q4-21,2021-03-17,6.3,11-30-2021,MUFG
Q4-21,2021-04-14,6.45,11-30-2021,MUFG
Q4-21,2021-05-05,6.4,11-30-2021,MUFG
Q4-21,2021-06-09,6.4,11-30-2021,MUFG
Q4-21,2021-07-07,6.4,11-30-2021,MUFG
Q4-21,2021-08-03,6.55,11-30-2021,MUFG
Q4-21,2021-09-03,6.55,11-30-2021,MUFG
