period,change_date,change,file,company
Q4-16,2016-04-12,6.7,11-30-2016,Macquarie Bank
Q4-16,2016-06-10,6.8,11-30-2016,Macquarie Bank
Q4-16,2016-07-08,7.0,11-30-2016,Macquarie Bank
Q4-16,2016-09-16,6.85,11-30-2016,Macquarie Bank
Q1-17,2016-09-16,7.0,11-30-2016,Macquarie Bank
Q3-16,2016-02-12,6.9,08-31-2016,Macquarie Bank
Q3-16,2016-03-17,6.65,08-31-2016,Macquarie Bank
Q3-16,2016-04-12,6.55,08-31-2016,Macquarie Bank
Q3-16,2016-06-10,6.7,08-31-2016,Macquarie Bank
Q3-16,2016-07-08,6.85,08-31-2016,Macquarie Bank
Q4-16,2016-04-12,6.7,08-31-2016,Macquarie Bank
Q4-16,2016-06-10,6.8,08-31-2016,Macquarie Bank
Q4-16,2016-07-08,7.0,08-31-2016,Macquarie Bank
Q3-17,2017-03-27,7.0,08-31-2017,Macquarie Bank
Q3-17,2017-06-16,6.8,08-31-2017,Macquarie Bank
Q3-17,2017-07-03,6.8,08-31-2017,Macquarie Bank
Q4-17,2017-06-16,6.9,08-31-2017,Macquarie Bank
Q4-17,2017-07-03,6.9,08-31-2017,Macquarie Bank
Q4-17,2017-06-16,6.9,11-30-2017,Macquarie Bank
Q4-17,2017-07-03,6.9,11-30-2017,Macquarie Bank
Q4-17,2017-10-05,6.7,11-30-2017,Macquarie Bank
Q1-18,2017-10-05,6.6,11-30-2017,Macquarie Bank
Q2-18,2017-10-05,6.7,11-30-2017,Macquarie Bank
Q1-17,2016-09-16,7.0,02-28-2017,Macquarie Bank
Q1-17,2016-12-05,7.0,02-28-2017,Macquarie Bank
Q1-17,2017-01-16,7.1,02-28-2017,Macquarie Bank
Q2-17,2016-12-05,7.2,02-28-2017,Macquarie Bank
Q2-17,2017-01-16,7.2,02-28-2017,Macquarie Bank
Q2-17,2016-12-05,7.2,05-31-2017,Macquarie Bank
Q2-17,2017-01-16,7.2,05-31-2017,Macquarie Bank
Q2-17,2017-03-27,6.95,05-31-2017,Macquarie Bank
Q3-17,2017-03-27,7.0,05-31-2017,Macquarie Bank
Q2-16,2015-10-05,6.6,05-31-2016,Macquarie Bank
Q2-16,2015-10-14,6.6,05-31-2016,Macquarie Bank
