period,change_date,change,file,company
Q3-20,2019-09-10,7.1,08-31-2020,Maybank Singapore
Q3-20,2019-10-23,7.1,08-31-2020,Maybank Singapore
Q3-20,2019-11-21,7.03,08-31-2020,Maybank Singapore
Q3-20,2020-01-22,7.03,08-31-2020,Maybank Singapore
Q3-20,2020-05-13,7.03,08-31-2020,Maybank Singapore
Q3-20,2020-07-02,7.05,08-31-2020,Maybank Singapore
Q4-20,2018-09-06,6.4,08-31-2020,Maybank Singapore
Q4-20,2018-11-20,7.02,08-31-2020,Maybank Singapore
Q4-20,2018-11-29,7.02,08-31-2020,Maybank Singapore
Q4-20,2018-12-24,6.9,08-31-2020,Maybank Singapore
Q4-20,2019-02-27,6.88,08-31-2020,Maybank Singapore
Q4-20,2019-03-12,6.88,08-31-2020,Maybank Singapore
Q4-20,2019-05-07,6.65,08-31-2020,Maybank Singapore
Q4-20,2019-07-02,6.75,08-31-2020,Maybank Singapore
Q4-20,2019-08-19,6.83,08-31-2020,Maybank Singapore
Q4-20,2019-09-10,7.05,08-31-2020,Maybank Singapore
Q4-20,2019-10-23,7.05,08-31-2020,Maybank Singapore
Q4-20,2019-11-21,7.05,08-31-2020,Maybank Singapore
Q4-20,2020-01-22,7.03,08-31-2020,Maybank Singapore
Q4-20,2020-05-13,7.03,08-31-2020,Maybank Singapore
Q4-20,2020-07-02,7.0,08-31-2020,Maybank Singapore
Q1-21,2020-05-13,7.03,08-31-2020,Maybank Singapore
Q1-21,2020-07-02,6.95,08-31-2020,Maybank Singapore
Q2-21,2020-07-02,6.9,08-31-2020,Maybank Singapore
2021,2018-11-20,6.98,08-31-2020,Maybank Singapore
2021,2018-11-29,6.98,08-31-2020,Maybank Singapore
2021,2018-12-24,6.8,08-31-2020,Maybank Singapore
2021,2019-02-27,6.7,08-31-2020,Maybank Singapore
2021,2019-03-12,6.7,08-31-2020,Maybank Singapore
2021,2019-05-07,6.45,08-31-2020,Maybank Singapore
2021,2019-08-19,6.78,08-31-2020,Maybank Singapore
2021,2019-09-10,7.0,08-31-2020,Maybank Singapore
2021,2019-10-23,7.0,08-31-2020,Maybank Singapore
2021,2019-11-21,7.1,08-31-2020,Maybank Singapore
2021,2020-01-22,7.0,08-31-2020,Maybank Singapore
2021,2020-05-13,7.0,08-31-2020,Maybank Singapore
2021,2020-07-02,6.95,08-31-2020,Maybank Singapore
2022,2018-12-24,6.7,08-31-2020,Maybank Singapore
2022,2019-02-27,6.5,08-31-2020,Maybank Singapore
2022,2019-03-12,6.5,08-31-2020,Maybank Singapore
2022,2019-05-07,6.25,08-31-2020,Maybank Singapore
2022,2019-09-10,6.95,08-31-2020,Maybank Singapore
2022,2019-10-23,6.95,08-31-2020,Maybank Singapore
2022,2019-11-21,7.0,08-31-2020,Maybank Singapore
2022,2020-01-22,6.95,08-31-2020,Maybank Singapore
2022,2020-05-13,6.95,08-31-2020,Maybank Singapore
2022,2020-07-02,6.95,08-31-2020,Maybank Singapore
2023,2019-05-07,6.6,08-31-2020,Maybank Singapore
2023,2019-09-10,6.9,08-31-2020,Maybank Singapore
2023,2019-10-23,6.9,08-31-2020,Maybank Singapore
2023,2019-11-21,6.9,08-31-2020,Maybank Singapore
2023,2020-01-22,6.9,08-31-2020,Maybank Singapore
2023,2020-05-13,6.9,08-31-2020,Maybank Singapore
2023,2020-07-02,6.95,08-31-2020,Maybank Singapore
2024,2019-05-07,6.6,08-31-2020,Maybank Singapore
2024,2020-01-22,6.9,08-31-2020,Maybank Singapore
2024,2020-05-13,6.9,08-31-2020,Maybank Singapore
2024,2020-07-02,6.95,08-31-2020,Maybank Singapore
Q4-16,2014-12-15,6.05,11-30-2016,Maybank Singapore
Q4-16,2015-02-02,6.15,11-30-2016,Maybank Singapore
Q4-16,2015-03-04,6.15,11-30-2016,Maybank Singapore
Q4-16,2015-04-01,6.15,11-30-2016,Maybank Singapore
Q4-16,2015-05-11,6.15,11-30-2016,Maybank Singapore
Q4-16,2015-05-29,6.15,11-30-2016,Maybank Singapore
Q4-16,2015-07-01,6.2,11-30-2016,Maybank Singapore
Q4-16,2015-07-31,6.22,11-30-2016,Maybank Singapore
Q4-16,2015-08-19,6.22,11-30-2016,Maybank Singapore
Q4-16,2015-08-20,6.22,11-30-2016,Maybank Singapore
Q4-16,2015-09-02,6.65,11-30-2016,Maybank Singapore
Q4-16,2015-10-06,6.65,11-30-2016,Maybank Singapore
Q4-16,2015-11-16,6.8,11-30-2016,Maybank Singapore
