period,change_date,change,file,company
Q2-11,2010-09-13,6.7,05-31-2011,Monex Europe Ltd
Q2-11,2010-10-18,6.5,05-31-2011,Monex Europe Ltd
Q2-11,2011-01-10,6.5,05-31-2011,Monex Europe Ltd
Q2-11,2011-01-31,6.5,05-31-2011,Monex Europe Ltd
Q2-11,2011-02-28,6.5,05-31-2011,Monex Europe Ltd
Q2-11,2011-03-10,6.5,05-31-2011,Monex Europe Ltd
Q2-11,2011-04-01,6.48,05-31-2011,Monex Europe Ltd
Q2-11,2011-04-06,6.48,05-31-2011,Monex Europe Ltd
Q2-11,2011-05-03,6.48,05-31-2011,Monex Europe Ltd
Q2-11,2011-05-06,6.48,05-31-2011,Monex Europe Ltd
Q2-11,2011-05-31,6.48,05-31-2011,Monex Europe Ltd
Q3-11,2010-09-13,6.6,05-31-2011,Monex Europe Ltd
Q3-11,2010-10-18,6.35,05-31-2011,Monex Europe Ltd
Q3-11,2011-01-10,6.35,05-31-2011,Monex Europe Ltd
Q3-11,2011-01-31,6.35,05-31-2011,Monex Europe Ltd
Q3-11,2011-02-28,6.35,05-31-2011,Monex Europe Ltd
Q3-11,2011-03-10,6.35,05-31-2011,Monex Europe Ltd
Q3-11,2011-04-01,6.45,05-31-2011,Monex Europe Ltd
Q3-11,2011-04-06,6.45,05-31-2011,Monex Europe Ltd
Q3-11,2011-05-03,6.45,05-31-2011,Monex Europe Ltd
Q3-11,2011-05-06,6.45,05-31-2011,Monex Europe Ltd
Q3-11,2011-05-31,6.45,05-31-2011,Monex Europe Ltd
Q4-11,2010-02-01,6.12,05-31-2011,Monex Europe Ltd
Q4-11,2010-09-13,6.5,05-31-2011,Monex Europe Ltd
Q4-11,2010-10-18,6.0,05-31-2011,Monex Europe Ltd
Q4-11,2011-01-10,6.0,05-31-2011,Monex Europe Ltd
Q4-11,2011-01-31,6.0,05-31-2011,Monex Europe Ltd
Q4-11,2011-02-28,6.0,05-31-2011,Monex Europe Ltd
Q4-11,2011-03-10,6.0,05-31-2011,Monex Europe Ltd
Q4-11,2011-04-01,6.5,05-31-2011,Monex Europe Ltd
Q4-11,2011-04-06,6.5,05-31-2011,Monex Europe Ltd
Q4-11,2011-05-03,6.5,05-31-2011,Monex Europe Ltd
Q4-11,2011-05-06,6.5,05-31-2011,Monex Europe Ltd
Q4-11,2011-05-31,6.5,05-31-2011,Monex Europe Ltd
Q1-12,2011-03-10,5.98,05-31-2011,Monex Europe Ltd
Q1-12,2011-04-01,6.4,05-31-2011,Monex Europe Ltd
Q1-12,2011-04-06,6.4,05-31-2011,Monex Europe Ltd
Q1-12,2011-05-03,6.4,05-31-2011,Monex Europe Ltd
Q1-12,2011-05-06,6.4,05-31-2011,Monex Europe Ltd
Q1-12,2011-05-31,6.4,05-31-2011,Monex Europe Ltd
2012,2010-02-01,5.99,05-31-2011,Monex Europe Ltd
2012,2010-09-13,6.1,05-31-2011,Monex Europe Ltd
2012,2010-10-18,5.88,05-31-2011,Monex Europe Ltd
